datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-01-17 15:08:00+00:00,,1,100,0,,,,1,1,1,100,100,100,,KXRTCAPTAINAMERICA-45
2025-01-17 15:23:00+00:00,,2,100,0,,,,1,2,1,100,100,100,,KXRTCAPTAINAMERICA-45
2025-01-17 15:25:00+00:00,,5,100,0,,,,2,5,2,100,100,100,,KXRTCAPTAINAMERICA-45
2025-01-17 15:26:00+00:00,,20,100,0,,,,5,20,5,100,100,100,,KXRTCAPTAINAMERICA-45
2025-01-17 15:27:00+00:00,,40,100,0,,,,20,40,20,100,100,100,,KXRTCAPTAINAMERICA-45
2025-01-17 15:31:00+00:00,,50,100,0,,,,40,50,40,100,100,50,,KXRTCAPTAINAMERICA-45
2025-01-17 15:54:00+00:00,,70,100,0,,,,50,70,50,100,100,100,,KXRTCAPTAINAMERICA-45
2025-01-17 17:17:00+00:00,,75,100,0,,,,70,75,70,100,100,100,,KXRTCAPTAINAMERICA-45
2025-01-17 18:28:00+00:00,,85,95,0,,,,75,85,75,100,100,95,,KXRTCAPTAINAMERICA-45
2025-01-17 21:17:00+00:00,,86,96,0,,,,85,86,70,95,99,95,,KXRTCAPTAINAMERICA-45
2025-01-18 00:28:00+00:00,,87,97,0,,,,86,87,79,96,99,96,,KXRTCAPTAINAMERICA-45
2025-01-18 01:20:00+00:00,97.0,87,97,5,97.0,97.0,97.0,87,87,87,97,97,97,,KXRTCAPTAINAMERICA-45
2025-01-18 03:39:00+00:00,,87,97,0,,,,87,88,87,97,97,97,,KXRTCAPTAINAMERICA-45
2025-01-18 07:37:00+00:00,86.0,86,96,172,87.0,87.0,86.0,87,87,86,97,99,96,,KXRTCAPTAINAMERICA-45
2025-01-18 08:12:00+00:00,,86,99,0,,,,86,86,86,96,99,96,,KXRTCAPTAINAMERICA-45
2025-01-18 14:18:00+00:00,,86,96,0,,,,86,86,86,99,99,96,,KXRTCAPTAINAMERICA-45
2025-01-18 14:36:00+00:00,,86,99,0,,,,86,86,86,96,99,96,,KXRTCAPTAINAMERICA-45
2025-01-18 14:39:00+00:00,,86,94,0,,,,86,86,86,99,99,94,,KXRTCAPTAINAMERICA-45
2025-01-18 17:26:00+00:00,94.0,86,94,10,94.0,94.0,94.0,86,86,86,94,94,94,,KXRTCAPTAINAMERICA-45
2025-01-18 17:31:00+00:00,,87,94,0,,,,86,87,86,94,94,94,,KXRTCAPTAINAMERICA-45
2025-01-18 22:55:00+00:00,,88,94,0,,,,87,88,87,94,94,94,,KXRTCAPTAINAMERICA-45
2025-01-19 00:02:00+00:00,,88,93,0,,,,88,88,88,94,95,93,,KXRTCAPTAINAMERICA-45
2025-01-19 00:24:00+00:00,93.0,88,93,296,93.0,93.0,93.0,88,88,88,93,93,93,,KXRTCAPTAINAMERICA-45
2025-01-19 00:25:00+00:00,93.0,88,95,2,93.0,93.0,93.0,88,88,88,93,95,93,,KXRTCAPTAINAMERICA-45
2025-01-19 00:26:00+00:00,,88,93,0,,,,88,88,88,95,95,93,,KXRTCAPTAINAMERICA-45
2025-01-19 03:15:00+00:00,93.0,88,95,1,93.0,93.0,93.0,88,88,88,93,95,93,,KXRTCAPTAINAMERICA-45
2025-01-19 03:34:00+00:00,,88,94,0,,,,88,88,88,95,95,94,,KXRTCAPTAINAMERICA-45
2025-01-19 16:42:00+00:00,,88,93,0,,,,88,88,88,94,94,93,,KXRTCAPTAINAMERICA-45
2025-01-20 02:32:00+00:00,86.0,86,93,150,88.0,88.0,86.0,88,88,86,93,93,93,,KXRTCAPTAINAMERICA-45
2025-01-20 02:34:00+00:00,,84,93,0,,,,86,86,84,93,93,93,,KXRTCAPTAINAMERICA-45
2025-01-20 02:35:00+00:00,,83,93,0,,,,84,84,83,93,93,93,,KXRTCAPTAINAMERICA-45
2025-01-20 02:37:00+00:00,,83,93,0,,,,83,83,83,93,93,92,,KXRTCAPTAINAMERICA-45
2025-01-20 04:20:00+00:00,,82,92,0,,,,83,83,78,93,93,92,,KXRTCAPTAINAMERICA-45
2025-01-20 05:56:00+00:00,,82,91,0,,,,82,82,82,92,92,91,,KXRTCAPTAINAMERICA-45
2025-01-20 06:00:00+00:00,,82,90,0,,,,82,82,82,91,91,90,,KXRTCAPTAINAMERICA-45
2025-01-20 06:37:00+00:00,,83,89,0,,,,82,83,82,90,90,89,,KXRTCAPTAINAMERICA-45
2025-01-20 06:41:00+00:00,,83,88,0,,,,83,83,83,89,89,88,,KXRTCAPTAINAMERICA-45
2025-01-20 11:33:00+00:00,,83,89,0,,,,83,83,83,88,89,88,,KXRTCAPTAINAMERICA-45
2025-01-20 13:32:00+00:00,,83,88,0,,,,83,83,83,89,89,88,,KXRTCAPTAINAMERICA-45
2025-01-20 16:20:00+00:00,89.0,83,89,110,88.0,89.0,88.0,83,83,83,88,89,88,,KXRTCAPTAINAMERICA-45
2025-01-20 18:14:00+00:00,83.0,83,89,1,83.0,83.0,83.0,83,83,83,89,89,89,,KXRTCAPTAINAMERICA-45
2025-01-20 18:22:00+00:00,,84,89,0,,,,83,84,83,89,89,89,,KXRTCAPTAINAMERICA-45
2025-01-20 19:27:00+00:00,89.0,85,91,14,89.0,89.0,89.0,84,85,84,89,91,89,,KXRTCAPTAINAMERICA-45
2025-01-20 19:29:00+00:00,91.0,86,91,2,91.0,91.0,91.0,85,86,85,91,91,91,,KXRTCAPTAINAMERICA-45
2025-01-20 21:50:00+00:00,91.0,86,91,1,91.0,91.0,91.0,86,86,86,91,91,91,,KXRTCAPTAINAMERICA-45
2025-01-20 23:51:00+00:00,91.0,86,93,72,91.0,91.0,91.0,86,86,86,91,93,91,,KXRTCAPTAINAMERICA-45
2025-01-21 01:03:00+00:00,,87,93,0,,,,86,87,86,93,93,93,,KXRTCAPTAINAMERICA-45
2025-01-21 03:06:00+00:00,87.0,87,93,50,87.0,87.0,87.0,87,87,87,93,93,93,,KXRTCAPTAINAMERICA-45
2025-01-21 03:15:00+00:00,,86,93,0,,,,87,87,86,93,93,93,,KXRTCAPTAINAMERICA-45
2025-01-21 04:15:00+00:00,,87,93,0,,,,86,87,86,93,93,93,,KXRTCAPTAINAMERICA-45
2025-01-21 05:20:00+00:00,,88,93,0,,,,87,88,87,93,93,93,,KXRTCAPTAINAMERICA-45
2025-01-21 07:13:00+00:00,,89,93,0,,,,88,89,88,93,93,93,,KXRTCAPTAINAMERICA-45
2025-01-21 10:29:00+00:00,,88,93,0,,,,89,89,88,93,93,93,,KXRTCAPTAINAMERICA-45
2025-01-21 13:05:00+00:00,,89,93,0,,,,88,89,88,93,93,93,,KXRTCAPTAINAMERICA-45
