datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-02-19 15:01:00+00:00,,1,99,0,,,,1,1,1,100,100,99,,KXRTMINECRAFT-55
2025-02-19 15:11:00+00:00,,35,55,0,,,,1,35,1,99,99,55,,KXRTMINECRAFT-55
2025-02-19 15:12:00+00:00,,1,99,0,,,,35,35,1,55,99,55,,KXRTMINECRAFT-55
2025-02-19 15:13:00+00:00,,41,61,0,,,,1,41,1,99,99,61,,KXRTMINECRAFT-55
2025-02-19 15:21:00+00:00,,49,69,0,,,,41,49,37,61,73,61,,KXRTMINECRAFT-55
2025-02-19 15:27:00+00:00,45.0,0,100,2450,49.0,49.0,45.0,49,49,0,69,100,69,,KXRTMINECRAFT-55
2025-02-19 15:29:00+00:00,,17,57,0,,,,0,17,0,100,100,57,,KXRTMINECRAFT-55
2025-02-19 15:33:00+00:00,,18,56,0,,,,17,18,17,57,57,56,,KXRTMINECRAFT-55
2025-02-19 15:34:00+00:00,,18,55,0,,,,18,18,18,56,56,55,,KXRTMINECRAFT-55
2025-02-19 15:38:00+00:00,,0,55,0,,,,18,18,0,55,55,55,,KXRTMINECRAFT-55
2025-02-19 15:45:00+00:00,,0,38,0,,,,0,0,0,55,55,38,,KXRTMINECRAFT-55
2025-02-19 16:23:00+00:00,,2,38,0,,,,0,2,0,38,38,38,,KXRTMINECRAFT-55
2025-02-19 16:26:00+00:00,,3,38,0,,,,2,3,2,38,38,38,,KXRTMINECRAFT-55
2025-02-19 16:32:00+00:00,,3,38,0,,,,3,3,2,38,38,38,,KXRTMINECRAFT-55
2025-02-19 16:38:00+00:00,,3,38,0,,,,3,3,2,38,38,38,,KXRTMINECRAFT-55
2025-02-19 16:44:00+00:00,,3,38,0,,,,3,3,2,38,38,38,,KXRTMINECRAFT-55
2025-02-19 16:50:00+00:00,,3,38,0,,,,3,3,2,38,38,38,,KXRTMINECRAFT-55
2025-02-19 16:56:00+00:00,,3,38,0,,,,3,3,2,38,38,38,,KXRTMINECRAFT-55
2025-02-19 17:02:00+00:00,,3,38,0,,,,3,3,2,38,38,38,,KXRTMINECRAFT-55
2025-02-19 17:08:00+00:00,,3,38,0,,,,3,3,2,38,38,38,,KXRTMINECRAFT-55
2025-02-19 17:14:00+00:00,,3,38,0,,,,3,3,2,38,38,38,,KXRTMINECRAFT-55
2025-02-19 17:20:00+00:00,,0,38,0,,,,3,3,0,38,38,38,,KXRTMINECRAFT-55
2025-02-19 17:39:00+00:00,,0,34,0,,,,0,0,0,38,38,34,,KXRTMINECRAFT-55
2025-02-19 18:54:00+00:00,34.0,0,34,20,34.0,34.0,34.0,0,0,0,34,34,34,,KXRTMINECRAFT-55
2025-02-20 01:11:00+00:00,,7,34,0,,,,0,7,0,34,34,34,,KXRTMINECRAFT-55
2025-02-20 01:13:00+00:00,,8,33,0,,,,7,8,7,34,34,33,,KXRTMINECRAFT-55
2025-02-20 01:18:00+00:00,,8,33,0,,,,8,8,7,33,34,33,,KXRTMINECRAFT-55
2025-02-20 01:24:00+00:00,,8,33,0,,,,8,8,7,33,34,33,,KXRTMINECRAFT-55
2025-02-20 01:30:00+00:00,,8,33,0,,,,8,8,7,33,34,33,,KXRTMINECRAFT-55
2025-02-20 01:36:00+00:00,,8,33,0,,,,8,8,7,33,34,33,,KXRTMINECRAFT-55
2025-02-20 01:41:00+00:00,,7,34,0,,,,8,8,7,33,34,33,,KXRTMINECRAFT-55
2025-02-20 01:42:00+00:00,,8,33,0,,,,7,8,7,34,34,33,,KXRTMINECRAFT-55
2025-02-20 01:47:00+00:00,,7,34,0,,,,8,8,7,33,34,33,,KXRTMINECRAFT-55
2025-02-20 01:48:00+00:00,,8,33,0,,,,7,8,7,34,34,33,,KXRTMINECRAFT-55
2025-02-20 01:53:00+00:00,,8,33,0,,,,8,8,7,33,34,33,,KXRTMINECRAFT-55
2025-02-20 01:59:00+00:00,,8,33,0,,,,8,8,7,33,34,33,,KXRTMINECRAFT-55
2025-02-20 02:05:00+00:00,,0,34,0,,,,8,8,0,33,34,33,,KXRTMINECRAFT-55
2025-02-20 04:38:00+00:00,34.0,0,34,41,34.0,34.0,34.0,0,0,0,34,34,34,,KXRTMINECRAFT-55
2025-02-20 05:44:00+00:00,,1,34,0,,,,0,1,0,34,34,34,,KXRTMINECRAFT-55
2025-02-20 05:49:00+00:00,,2,33,0,,,,1,2,1,34,34,33,,KXRTMINECRAFT-55
2025-02-20 05:55:00+00:00,,2,33,0,,,,2,2,1,33,34,33,,KXRTMINECRAFT-55
2025-02-20 06:01:00+00:00,,2,33,0,,,,2,2,1,33,34,33,,KXRTMINECRAFT-55
2025-02-20 06:07:00+00:00,,2,33,0,,,,2,2,1,33,34,33,,KXRTMINECRAFT-55
2025-02-20 06:13:00+00:00,,2,33,0,,,,2,2,1,33,34,33,,KXRTMINECRAFT-55
2025-02-20 06:19:00+00:00,,2,33,0,,,,2,2,1,33,34,33,,KXRTMINECRAFT-55
2025-02-20 06:25:00+00:00,,2,33,0,,,,2,2,1,33,34,33,,KXRTMINECRAFT-55
2025-02-20 06:31:00+00:00,,2,33,0,,,,2,2,1,33,34,33,,KXRTMINECRAFT-55
2025-02-20 06:37:00+00:00,,2,33,0,,,,2,2,1,33,34,33,,KXRTMINECRAFT-55
