datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-01-25 20:13:00+00:00,,15,100,0,,,,15,15,15,100,100,100,,KXSBADS-25-AP
2025-01-25 20:46:00+00:00,,15,95,0,,,,15,15,15,100,100,95,,KXSBADS-25-AP
2025-01-25 20:47:00+00:00,,25,95,0,,,,15,25,15,95,95,95,,KXSBADS-25-AP
2025-01-25 20:53:00+00:00,,30,95,0,,,,25,30,25,95,95,95,,KXSBADS-25-AP
2025-01-25 21:57:00+00:00,,44,95,0,,,,30,44,30,95,95,95,,KXSBADS-25-AP
2025-01-25 22:21:00+00:00,,65,95,0,,,,44,65,44,95,95,95,,KXSBADS-25-AP
2025-01-25 22:22:00+00:00,,65,97,0,,,,65,65,65,95,97,95,,KXSBADS-25-AP
2025-01-25 23:41:00+00:00,,66,97,0,,,,65,66,65,97,97,97,,KXSBADS-25-AP
2025-01-26 00:58:00+00:00,,67,97,0,,,,66,67,66,97,97,97,,KXSBADS-25-AP
2025-01-26 01:55:00+00:00,,75,97,0,,,,67,75,67,97,97,97,,KXSBADS-25-AP
2025-01-26 02:07:00+00:00,,80,98,0,,,,75,80,75,97,98,97,,KXSBADS-25-AP
2025-01-26 02:08:00+00:00,,80,97,0,,,,80,80,80,98,98,97,,KXSBADS-25-AP
2025-01-26 02:09:00+00:00,,81,97,0,,,,80,81,80,97,97,97,,KXSBADS-25-AP
2025-01-26 02:13:00+00:00,,82,96,0,,,,81,82,81,97,97,96,,KXSBADS-25-AP
2025-01-26 03:00:00+00:00,,85,96,0,,,,82,85,82,96,96,96,,KXSBADS-25-AP
2025-01-26 05:00:00+00:00,,85,97,0,,,,85,85,85,96,97,96,,KXSBADS-25-AP
2025-01-26 05:51:00+00:00,,86,97,0,,,,85,86,85,97,97,97,,KXSBADS-25-AP
2025-01-26 06:02:00+00:00,85.0,85,97,200,86.0,86.0,85.0,86,86,85,97,97,97,,KXSBADS-25-AP
2025-01-26 06:03:00+00:00,,85,86,0,,,,85,85,85,97,97,86,,KXSBADS-25-AP
2025-01-26 06:06:00+00:00,85.0,85,97,50,85.0,85.0,85.0,85,85,85,86,97,86,,KXSBADS-25-AP
