datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2024-12-19 23:16:00+00:00,,1,100,0,,,,1,1,1,100,100,100,,KXSBADS-25-B
2024-12-19 23:54:00+00:00,,50,100,0,,,,1,50,1,100,100,100,,KXSBADS-25-B
2024-12-20 00:56:00+00:00,,51,100,0,,,,50,51,50,100,100,100,,KXSBADS-25-B
2024-12-20 15:48:00+00:00,,52,100,0,,,,51,52,51,100,100,100,,KXSBADS-25-B
2024-12-20 17:24:00+00:00,,53,100,0,,,,52,53,52,100,100,100,,KXSBADS-25-B
2024-12-20 18:15:00+00:00,,52,100,0,,,,53,53,52,100,100,100,,KXSBADS-25-B
2024-12-20 20:29:00+00:00,,50,100,0,,,,52,52,50,100,100,100,,KXSBADS-25-B
2024-12-21 06:59:00+00:00,,55,100,0,,,,50,55,50,100,100,100,,KXSBADS-25-B
2024-12-23 04:29:00+00:00,,99,100,0,,,,55,99,55,100,100,100,,KXSBADS-25-B
2024-12-23 19:37:00+00:00,99.0,56,100,1,99.0,99.0,99.0,99,99,55,100,100,100,,KXSBADS-25-B
2024-12-24 20:13:00+00:00,,75,100,0,,,,56,75,56,100,100,100,,KXSBADS-25-B
2024-12-25 03:24:00+00:00,,76,100,0,,,,75,76,75,100,100,100,,KXSBADS-25-B
2024-12-25 17:55:00+00:00,,76,99,0,,,,76,76,76,100,100,99,,KXSBADS-25-B
2024-12-26 04:29:00+00:00,,77,99,0,,,,76,77,76,99,99,99,,KXSBADS-25-B
2024-12-27 00:38:00+00:00,,80,99,0,,,,77,80,77,99,99,99,,KXSBADS-25-B
2024-12-27 02:29:00+00:00,,81,99,0,,,,80,81,80,99,99,99,,KXSBADS-25-B
2024-12-27 04:29:00+00:00,,80,99,0,,,,81,81,80,99,99,99,,KXSBADS-25-B
2024-12-27 15:50:00+00:00,99.0,80,100,1,99.0,99.0,99.0,80,80,80,99,100,99,,KXSBADS-25-B
2024-12-28 14:42:00+00:00,,81,100,0,,,,80,81,80,100,100,100,,KXSBADS-25-B
2024-12-28 19:28:00+00:00,,85,100,0,,,,81,85,81,100,100,100,,KXSBADS-25-B
2024-12-29 18:07:00+00:00,,86,100,0,,,,85,86,85,100,100,100,,KXSBADS-25-B
2024-12-29 18:31:00+00:00,,87,100,0,,,,86,87,86,100,100,100,,KXSBADS-25-B
2024-12-29 19:09:00+00:00,,88,100,0,,,,87,88,87,100,100,100,,KXSBADS-25-B
2024-12-29 19:28:00+00:00,,89,100,0,,,,88,89,88,100,100,100,,KXSBADS-25-B
2024-12-29 19:34:00+00:00,,90,100,0,,,,89,90,89,100,100,100,,KXSBADS-25-B
2024-12-30 04:49:00+00:00,,90,99,0,,,,90,90,90,100,100,99,,KXSBADS-25-B
2024-12-30 04:52:00+00:00,,90,100,0,,,,90,90,90,99,100,99,,KXSBADS-25-B
2024-12-30 04:53:00+00:00,,90,99,0,,,,90,90,90,100,100,99,,KXSBADS-25-B
2024-12-30 06:04:00+00:00,90.0,90,99,9,90.0,90.0,90.0,90,90,90,99,99,99,,KXSBADS-25-B
2024-12-30 17:52:00+00:00,90.0,90,99,18,90.0,90.0,90.0,90,90,90,99,99,99,,KXSBADS-25-B
2024-12-30 19:23:00+00:00,,91,99,0,,,,90,91,90,99,99,99,,KXSBADS-25-B
2024-12-30 19:28:00+00:00,,91,98,0,,,,91,91,91,99,99,98,,KXSBADS-25-B
2024-12-30 21:52:00+00:00,,92,98,0,,,,91,92,91,98,98,98,,KXSBADS-25-B
2024-12-31 02:13:00+00:00,,91,98,0,,,,92,92,91,98,98,98,,KXSBADS-25-B
2024-12-31 05:00:00+00:00,,91,99,0,,,,91,91,91,98,99,98,,KXSBADS-25-B
2024-12-31 12:01:00+00:00,,91,100,0,,,,91,91,91,99,100,99,,KXSBADS-25-B
2024-12-31 17:54:00+00:00,,92,100,0,,,,91,92,91,100,100,100,,KXSBADS-25-B
2024-12-31 23:33:00+00:00,91.0,91,100,31,92.0,92.0,91.0,92,92,91,100,100,100,,KXSBADS-25-B
2025-01-01 00:11:00+00:00,91.0,91,100,21,91.0,91.0,91.0,91,91,91,100,100,100,,KXSBADS-25-B
2025-01-01 00:25:00+00:00,91.0,91,100,19,91.0,91.0,91.0,91,91,91,100,100,100,,KXSBADS-25-B
2025-01-01 00:29:00+00:00,90.0,90,100,297,91.0,91.0,90.0,91,91,90,100,100,100,,KXSBADS-25-B
2025-01-01 01:09:00+00:00,,88,100,0,,,,90,90,88,100,100,100,,KXSBADS-25-B
2025-01-01 01:11:00+00:00,,88,95,0,,,,88,88,88,100,100,95,,KXSBADS-25-B
2025-01-01 01:53:00+00:00,,89,95,0,,,,88,89,88,95,95,95,,KXSBADS-25-B
2025-01-01 04:33:00+00:00,99.0,89,99,316,95.0,99.0,95.0,89,89,89,95,99,95,,KXSBADS-25-B
2025-01-01 04:34:00+00:00,,90,99,0,,,,89,90,89,99,99,99,,KXSBADS-25-B
2025-01-01 13:50:00+00:00,,90,96,0,,,,90,90,90,99,99,96,,KXSBADS-25-B
2025-01-01 14:41:00+00:00,,91,96,0,,,,90,91,90,96,96,96,,KXSBADS-25-B
2025-01-01 15:35:00+00:00,,92,96,0,,,,91,92,91,96,96,96,,KXSBADS-25-B
2025-01-01 15:36:00+00:00,,93,96,0,,,,92,93,92,96,96,96,,KXSBADS-25-B
2025-01-01 16:18:00+00:00,96.0,93,99,65,96.0,96.0,96.0,93,93,93,96,99,96,,KXSBADS-25-B
2025-01-01 17:50:00+00:00,,94,99,0,,,,93,94,93,99,99,99,,KXSBADS-25-B
2025-01-01 19:11:00+00:00,,95,99,0,,,,94,95,94,99,99,99,,KXSBADS-25-B
2025-01-01 21:10:00+00:00,,96,99,0,,,,95,96,95,99,99,99,,KXSBADS-25-B
2025-01-01 21:26:00+00:00,,96,98,0,,,,96,96,96,99,99,98,,KXSBADS-25-B
2025-01-01 22:08:00+00:00,96.0,96,98,9,96.0,96.0,96.0,96,96,96,98,98,98,,KXSBADS-25-B
2025-01-02 00:16:00+00:00,,97,98,0,,,,96,97,96,98,98,98,,KXSBADS-25-B
2025-01-02 02:01:00+00:00,97.0,97,98,200,97.0,97.0,97.0,97,97,97,98,98,98,,KXSBADS-25-B
2025-01-02 03:01:00+00:00,98.0,97,98,43,98.0,98.0,98.0,97,97,97,98,98,98,,KXSBADS-25-B
