datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-02-03 22:46:00+00:00,,0,99,0,,,,0,0,0,99,99,99,,KXSBADS-25-CB
2025-02-03 22:49:00+00:00,,1,60,0,,,,0,1,0,99,99,60,,KXSBADS-25-CB
2025-02-03 22:50:00+00:00,,20,60,0,,,,1,20,1,60,60,60,,KXSBADS-25-CB
2025-02-03 22:51:00+00:00,,15,55,0,,,,20,20,15,60,60,50,,KXSBADS-25-CB
2025-02-04 01:26:00+00:00,,20,55,0,,,,15,20,15,55,55,55,,KXSBADS-25-CB
2025-02-04 01:58:00+00:00,,22,55,0,,,,20,22,20,55,55,55,,KXSBADS-25-CB
2025-02-04 02:02:00+00:00,,23,54,0,,,,22,23,22,55,55,54,,KXSBADS-25-CB
2025-02-04 02:20:00+00:00,,23,49,0,,,,23,23,23,54,54,49,,KXSBADS-25-CB
2025-02-04 02:21:00+00:00,23.0,23,49,19,23.0,23.0,23.0,23,23,22,49,50,49,,KXSBADS-25-CB
2025-02-04 02:22:00+00:00,23.0,23,45,8,23.0,23.0,23.0,23,23,22,49,50,23,,KXSBADS-25-CB
2025-02-04 02:23:00+00:00,,23,45,0,,,,23,23,22,45,45,45,,KXSBADS-25-CB
2025-02-04 02:26:00+00:00,,22,45,0,,,,23,23,22,45,45,45,,KXSBADS-25-CB
2025-02-04 02:27:00+00:00,,23,45,0,,,,22,23,22,45,45,45,,KXSBADS-25-CB
2025-02-04 02:28:00+00:00,,23,45,0,,,,23,23,22,45,45,45,,KXSBADS-25-CB
2025-02-04 02:29:00+00:00,,23,45,0,,,,23,23,22,45,45,45,,KXSBADS-25-CB
2025-02-04 02:30:00+00:00,,24,44,0,,,,23,24,23,45,45,44,,KXSBADS-25-CB
2025-02-04 02:35:00+00:00,,24,47,0,,,,24,24,23,44,49,44,,KXSBADS-25-CB
2025-02-04 02:36:00+00:00,,23,47,0,,,,24,24,23,47,47,47,,KXSBADS-25-CB
2025-02-04 02:39:00+00:00,48.0,24,48,30,47.0,48.0,47.0,23,24,23,47,49,47,,KXSBADS-25-CB
2025-02-04 02:41:00+00:00,49.0,40,48,19,48.0,49.0,48.0,24,40,23,48,49,48,,KXSBADS-25-CB
2025-02-04 02:51:00+00:00,,40,48,0,,,,40,40,40,48,49,48,,KXSBADS-25-CB
2025-02-04 02:57:00+00:00,40.0,24,48,7,40.0,40.0,40.0,40,40,24,48,48,48,,KXSBADS-25-CB
2025-02-04 02:58:00+00:00,24.0,24,48,5,24.0,24.0,24.0,24,24,24,48,49,48,,KXSBADS-25-CB
2025-02-04 02:59:00+00:00,,25,47,0,,,,24,25,24,48,48,47,,KXSBADS-25-CB
2025-02-04 03:05:00+00:00,,25,47,0,,,,25,25,24,47,48,47,,KXSBADS-25-CB
2025-02-04 03:11:00+00:00,,25,47,0,,,,25,25,24,47,48,47,,KXSBADS-25-CB
2025-02-04 03:16:00+00:00,48.0,25,49,20,47.0,48.0,47.0,25,25,25,47,49,47,,KXSBADS-25-CB
2025-02-04 03:17:00+00:00,,25,48,0,,,,25,25,23,49,49,48,,KXSBADS-25-CB
2025-02-04 03:23:00+00:00,,25,47,0,,,,25,25,23,48,48,47,,KXSBADS-25-CB
2025-02-04 03:29:00+00:00,,26,47,0,,,,25,26,24,47,48,47,,KXSBADS-25-CB
2025-02-04 03:35:00+00:00,,26,47,0,,,,26,26,24,47,48,47,,KXSBADS-25-CB
2025-02-04 03:41:00+00:00,,27,47,0,,,,26,27,25,47,48,47,,KXSBADS-25-CB
2025-02-04 03:47:00+00:00,,27,47,0,,,,27,27,25,47,48,47,,KXSBADS-25-CB
2025-02-04 03:48:00+00:00,,27,48,0,,,,27,27,27,47,48,47,,KXSBADS-25-CB
2025-02-04 03:49:00+00:00,,27,48,0,,,,27,27,27,48,48,47,,KXSBADS-25-CB
2025-02-04 03:52:00+00:00,49.0,27,49,99,48.0,49.0,48.0,27,27,27,48,49,48,,KXSBADS-25-CB
2025-02-04 03:53:00+00:00,,28,48,0,,,,27,28,27,49,49,48,,KXSBADS-25-CB
2025-02-04 03:57:00+00:00,,43,48,0,,,,28,43,28,48,48,48,,KXSBADS-25-CB
2025-02-04 03:58:00+00:00,48.0,44,48,1,48.0,48.0,48.0,43,44,43,48,48,48,,KXSBADS-25-CB
2025-02-04 03:59:00+00:00,,44,49,0,,,,44,44,43,48,49,48,,KXSBADS-25-CB
2025-02-04 04:00:00+00:00,,44,49,0,,,,44,44,43,49,49,49,,KXSBADS-25-CB
2025-02-04 04:01:00+00:00,,44,49,0,,,,44,44,43,49,49,49,,KXSBADS-25-CB
2025-02-04 04:02:00+00:00,,44,49,0,,,,44,44,43,49,49,48,,KXSBADS-25-CB
2025-02-04 04:23:00+00:00,,45,49,0,,,,44,45,44,49,49,49,,KXSBADS-25-CB
2025-02-04 04:32:00+00:00,51.0,45,51,195,49.0,51.0,49.0,45,45,45,49,51,49,,KXSBADS-25-CB
2025-02-04 04:33:00+00:00,,45,50,0,,,,45,45,45,51,51,50,,KXSBADS-25-CB
2025-02-04 04:35:00+00:00,,46,50,0,,,,45,46,45,50,50,50,,KXSBADS-25-CB
2025-02-04 04:36:00+00:00,,46,50,0,,,,46,47,46,50,50,50,,KXSBADS-25-CB
2025-02-04 04:37:00+00:00,,47,50,0,,,,46,47,46,50,50,50,,KXSBADS-25-CB
2025-02-04 04:38:00+00:00,,47,50,0,,,,47,47,46,50,50,50,,KXSBADS-25-CB
2025-02-04 04:39:00+00:00,,47,50,0,,,,47,47,46,50,50,50,,KXSBADS-25-CB
2025-02-04 04:40:00+00:00,,47,50,0,,,,47,47,46,50,50,50,,KXSBADS-25-CB
2025-02-04 04:41:00+00:00,,47,50,0,,,,47,47,46,50,50,50,,KXSBADS-25-CB
2025-02-04 04:42:00+00:00,,47,50,0,,,,47,47,46,50,50,50,,KXSBADS-25-CB
2025-02-04 04:43:00+00:00,,47,50,0,,,,47,47,46,50,50,50,,KXSBADS-25-CB
2025-02-04 04:44:00+00:00,50.0,47,50,30,50.0,50.0,50.0,47,47,46,50,50,50,,KXSBADS-25-CB
2025-02-04 04:45:00+00:00,,47,50,0,,,,47,47,46,50,50,50,,KXSBADS-25-CB
2025-02-04 04:46:00+00:00,,46,50,0,,,,47,47,46,50,50,50,,KXSBADS-25-CB
2025-02-04 04:47:00+00:00,,47,50,0,,,,46,47,46,50,50,50,,KXSBADS-25-CB
2025-02-04 04:49:00+00:00,50.0,47,50,4,50.0,50.0,50.0,47,47,47,50,50,50,,KXSBADS-25-CB
2025-02-04 04:51:00+00:00,,49,50,0,,,,47,49,47,50,50,50,,KXSBADS-25-CB
2025-02-04 04:52:00+00:00,,49,50,0,,,,49,49,48,50,50,50,,KXSBADS-25-CB
2025-02-04 04:55:00+00:00,,49,51,0,,,,49,49,49,50,51,50,,KXSBADS-25-CB
2025-02-04 04:58:00+00:00,51.0,49,51,198,51.0,51.0,51.0,49,49,49,51,51,51,,KXSBADS-25-CB
2025-02-04 05:09:00+00:00,,48,51,0,,,,49,49,48,51,51,51,,KXSBADS-25-CB
2025-02-04 05:35:00+00:00,,49,51,0,,,,48,49,48,51,51,51,,KXSBADS-25-CB
2025-02-04 05:36:00+00:00,48.0,48,50,16,49.0,49.0,48.0,49,49,48,51,51,50,,KXSBADS-25-CB
2025-02-04 05:37:00+00:00,,49,51,0,,,,48,49,48,50,51,50,,KXSBADS-25-CB
2025-02-04 05:38:00+00:00,,48,51,0,,,,49,49,48,51,51,50,,KXSBADS-25-CB
2025-02-04 05:52:00+00:00,60.0,48,60,176,51.0,60.0,51.0,48,48,48,51,60,51,,KXSBADS-25-CB
2025-02-04 05:53:00+00:00,,49,59,0,,,,48,49,48,60,60,59,,KXSBADS-25-CB
2025-02-04 05:54:00+00:00,60.0,49,60,61,59.0,60.0,59.0,49,49,49,59,60,59,,KXSBADS-25-CB
2025-02-04 05:55:00+00:00,60.0,49,75,16,60.0,60.0,60.0,49,49,49,60,75,60,,KXSBADS-25-CB
2025-02-04 05:57:00+00:00,,50,73,0,,,,49,50,49,75,75,73,,KXSBADS-25-CB
2025-02-04 05:58:00+00:00,,50,73,0,,,,50,50,50,73,74,73,,KXSBADS-25-CB
2025-02-04 06:01:00+00:00,,50,71,0,,,,50,50,50,73,73,71,,KXSBADS-25-CB
2025-02-04 06:02:00+00:00,,50,71,0,,,,50,50,50,71,72,71,,KXSBADS-25-CB
2025-02-04 06:03:00+00:00,,51,69,0,,,,50,51,50,71,72,69,,KXSBADS-25-CB
2025-02-04 06:04:00+00:00,,51,69,0,,,,51,51,51,69,70,69,,KXSBADS-25-CB
2025-02-04 06:09:00+00:00,,52,67,0,,,,51,53,50,69,69,67,,KXSBADS-25-CB
2025-02-04 06:10:00+00:00,,52,67,0,,,,52,52,52,67,68,67,,KXSBADS-25-CB
2025-02-04 06:11:00+00:00,,52,64,0,,,,52,52,52,67,67,64,,KXSBADS-25-CB
2025-02-04 06:15:00+00:00,,53,63,0,,,,52,53,52,64,64,62,,KXSBADS-25-CB
2025-02-04 06:16:00+00:00,,53,62,0,,,,53,53,53,63,63,62,,KXSBADS-25-CB
2025-02-04 06:17:00+00:00,,53,62,0,,,,53,53,53,62,63,62,,KXSBADS-25-CB
2025-02-04 06:18:00+00:00,,55,60,0,,,,53,55,53,62,62,60,,KXSBADS-25-CB
2025-02-04 06:19:00+00:00,,55,60,0,,,,55,55,54,60,61,60,,KXSBADS-25-CB
2025-02-04 06:20:00+00:00,,54,60,0,,,,55,55,54,60,61,60,,KXSBADS-25-CB
2025-02-04 06:21:00+00:00,,55,60,0,,,,54,55,53,60,63,60,,KXSBADS-25-CB
2025-02-04 06:25:00+00:00,65.0,55,64,10,60.0,65.0,60.0,55,55,55,60,65,60,,KXSBADS-25-CB
2025-02-04 06:26:00+00:00,,57,62,0,,,,55,57,55,64,65,62,,KXSBADS-25-CB
2025-02-04 06:27:00+00:00,,57,63,0,,,,57,57,57,62,63,62,,KXSBADS-25-CB
2025-02-04 06:29:00+00:00,,57,64,0,,,,57,57,56,63,65,62,,KXSBADS-25-CB
2025-02-04 06:32:00+00:00,,59,63,0,,,,57,59,57,64,64,62,,KXSBADS-25-CB
2025-02-04 06:33:00+00:00,,59,63,0,,,,59,59,58,63,63,62,,KXSBADS-25-CB
2025-02-04 06:34:00+00:00,,59,62,0,,,,59,59,58,63,63,62,,KXSBADS-25-CB
2025-02-04 06:44:00+00:00,64.0,59,64,15,62.0,64.0,62.0,59,59,59,62,64,62,,KXSBADS-25-CB
2025-02-04 06:47:00+00:00,,59,63,0,,,,59,59,59,64,64,63,,KXSBADS-25-CB
2025-02-04 06:48:00+00:00,,59,63,0,,,,59,59,59,63,64,63,,KXSBADS-25-CB
2025-02-04 07:08:00+00:00,59.0,52,58,1,59.0,59.0,59.0,59,59,51,63,63,58,,KXSBADS-25-CB
2025-02-04 07:09:00+00:00,,52,58,0,,,,52,52,51,58,59,58,,KXSBADS-25-CB
2025-02-04 07:21:00+00:00,,52,59,0,,,,52,52,52,58,59,58,,KXSBADS-25-CB
2025-02-04 07:22:00+00:00,,52,59,0,,,,52,52,52,59,59,58,,KXSBADS-25-CB
2025-02-04 07:23:00+00:00,,54,58,0,,,,52,54,52,59,59,58,,KXSBADS-25-CB
2025-02-04 07:25:00+00:00,,54,59,0,,,,54,54,54,58,59,58,,KXSBADS-25-CB
2025-02-04 07:43:00+00:00,,54,58,0,,,,54,54,54,59,59,58,,KXSBADS-25-CB
2025-02-04 08:02:00+00:00,,54,59,0,,,,54,54,54,58,59,58,,KXSBADS-25-CB
2025-02-04 13:15:00+00:00,,54,58,0,,,,54,54,54,59,59,58,,KXSBADS-25-CB
2025-02-04 13:46:00+00:00,40.0,31,58,115,54.0,54.0,40.0,54,54,31,58,58,58,,KXSBADS-25-CB
2025-02-04 13:49:00+00:00,,32,57,0,,,,31,32,31,58,58,57,,KXSBADS-25-CB
2025-02-04 13:55:00+00:00,,33,56,0,,,,32,33,32,57,57,56,,KXSBADS-25-CB
2025-02-04 14:01:00+00:00,,34,55,0,,,,33,34,33,56,56,55,,KXSBADS-25-CB
2025-02-04 14:07:00+00:00,,35,54,0,,,,34,35,34,55,55,54,,KXSBADS-25-CB
2025-02-04 14:13:00+00:00,,36,53,0,,,,35,36,35,54,54,53,,KXSBADS-25-CB
2025-02-04 14:15:00+00:00,58.0,36,58,87,53.0,58.0,53.0,36,36,36,53,58,53,,KXSBADS-25-CB
2025-02-04 14:19:00+00:00,,37,57,0,,,,36,37,36,58,58,57,,KXSBADS-25-CB
2025-02-04 14:25:00+00:00,,38,57,0,,,,37,38,37,57,58,57,,KXSBADS-25-CB
