datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-01-25 20:14:00+00:00,,15,100,0,,,,20,20,15,100,100,100,,KXSBADS-25-CC
2025-01-25 20:33:00+00:00,,16,100,0,,,,15,16,15,100,100,100,,KXSBADS-25-CC
2025-01-25 20:42:00+00:00,,25,100,0,,,,16,25,16,100,100,100,,KXSBADS-25-CC
2025-01-25 20:46:00+00:00,,25,95,0,,,,25,25,25,100,100,95,,KXSBADS-25-CC
2025-01-25 20:57:00+00:00,,33,95,0,,,,25,33,25,95,95,95,,KXSBADS-25-CC
2025-01-25 21:01:00+00:00,,40,95,0,,,,33,40,33,95,95,95,,KXSBADS-25-CC
2025-01-25 21:35:00+00:00,,35,95,0,,,,40,40,35,95,95,95,,KXSBADS-25-CC
2025-01-25 22:30:00+00:00,,35,90,0,,,,35,35,35,95,95,90,,KXSBADS-25-CC
2025-01-25 23:33:00+00:00,,36,90,0,,,,35,36,35,90,90,90,,KXSBADS-25-CC
2025-01-26 00:38:00+00:00,,50,90,0,,,,36,50,36,90,90,90,,KXSBADS-25-CC
2025-01-26 00:43:00+00:00,,89,90,0,,,,50,89,50,90,90,90,,KXSBADS-25-CC
2025-01-26 00:59:00+00:00,89.0,67,93,100,89.0,89.0,89.0,89,89,50,90,93,90,,KXSBADS-25-CC
2025-01-26 01:09:00+00:00,,67,89,0,,,,67,67,67,93,93,89,,KXSBADS-25-CC
2025-01-26 01:13:00+00:00,,67,88,0,,,,67,67,67,89,89,88,,KXSBADS-25-CC
2025-01-26 01:16:00+00:00,,68,88,0,,,,67,68,67,88,88,88,,KXSBADS-25-CC
2025-01-26 01:28:00+00:00,,69,88,0,,,,68,69,68,88,88,88,,KXSBADS-25-CC
2025-01-26 02:07:00+00:00,,70,88,0,,,,69,70,69,88,88,88,,KXSBADS-25-CC
2025-01-26 02:13:00+00:00,70.0,70,88,158,70.0,70.0,70.0,70,70,70,88,88,88,,KXSBADS-25-CC
2025-01-26 02:29:00+00:00,,70,87,0,,,,70,70,70,88,88,87,,KXSBADS-25-CC
2025-01-26 02:38:00+00:00,,70,86,0,,,,70,70,70,87,87,86,,KXSBADS-25-CC
2025-01-26 02:39:00+00:00,,71,86,0,,,,70,71,70,86,86,86,,KXSBADS-25-CC
2025-01-26 02:44:00+00:00,68.0,68,86,160,71.0,71.0,68.0,71,71,68,86,86,86,,KXSBADS-25-CC
2025-01-26 03:25:00+00:00,,68,85,0,,,,68,68,68,86,86,85,,KXSBADS-25-CC
2025-01-26 03:29:00+00:00,68.0,68,85,15,68.0,68.0,68.0,68,68,68,85,85,85,,KXSBADS-25-CC
2025-01-26 03:32:00+00:00,,68,84,0,,,,68,68,68,85,85,84,,KXSBADS-25-CC
2025-01-26 03:55:00+00:00,,68,83,0,,,,68,68,68,84,84,83,,KXSBADS-25-CC
2025-01-26 04:03:00+00:00,,68,82,0,,,,68,68,68,83,83,82,,KXSBADS-25-CC
2025-01-26 04:08:00+00:00,,68,81,0,,,,68,68,68,82,82,81,,KXSBADS-25-CC
2025-01-26 04:15:00+00:00,,68,80,0,,,,68,68,68,81,81,80,,KXSBADS-25-CC
2025-01-26 04:26:00+00:00,,68,79,0,,,,68,68,68,80,80,79,,KXSBADS-25-CC
2025-01-26 04:36:00+00:00,,68,78,0,,,,68,68,68,79,79,78,,KXSBADS-25-CC
2025-01-26 05:03:00+00:00,78.0,68,78,31,78.0,78.0,78.0,68,68,68,78,78,78,,KXSBADS-25-CC
2025-01-26 05:07:00+00:00,,69,78,0,,,,68,69,68,78,78,78,,KXSBADS-25-CC
2025-01-26 05:11:00+00:00,78.0,69,78,1,78.0,78.0,78.0,69,69,69,78,78,78,,KXSBADS-25-CC
2025-01-26 05:28:00+00:00,,69,77,0,,,,69,69,69,78,79,77,,KXSBADS-25-CC
2025-01-26 05:40:00+00:00,,69,78,0,,,,69,69,69,77,79,77,,KXSBADS-25-CC
2025-01-26 06:14:00+00:00,,69,77,0,,,,69,69,69,78,78,77,,KXSBADS-25-CC
2025-01-26 06:22:00+00:00,,69,76,0,,,,69,69,69,77,77,76,,KXSBADS-25-CC
2025-01-26 06:36:00+00:00,76.0,69,76,1,76.0,76.0,76.0,69,69,69,76,76,76,,KXSBADS-25-CC
2025-01-26 07:08:00+00:00,,70,76,0,,,,69,70,69,76,76,76,,KXSBADS-25-CC
2025-01-26 07:13:00+00:00,,71,76,0,,,,70,71,70,76,76,76,,KXSBADS-25-CC
2025-01-26 08:04:00+00:00,,70,77,0,,,,71,71,70,76,77,76,,KXSBADS-25-CC
2025-01-26 13:21:00+00:00,,71,76,0,,,,70,71,70,77,77,76,,KXSBADS-25-CC
2025-01-26 13:27:00+00:00,,71,76,0,,,,71,71,71,76,76,75,,KXSBADS-25-CC
2025-01-26 13:38:00+00:00,77.0,71,77,102,76.0,77.0,76.0,71,71,71,76,77,76,,KXSBADS-25-CC
2025-01-26 13:52:00+00:00,,71,76,0,,,,71,71,71,77,77,76,,KXSBADS-25-CC
2025-01-26 14:23:00+00:00,77.0,71,77,128,76.0,77.0,76.0,71,71,71,76,77,76,,KXSBADS-25-CC
2025-01-26 14:32:00+00:00,,71,76,0,,,,71,71,71,77,77,76,,KXSBADS-25-CC
2025-01-26 15:31:00+00:00,,72,76,0,,,,71,72,70,76,76,76,,KXSBADS-25-CC
2025-01-26 15:41:00+00:00,,71,76,0,,,,72,72,70,76,76,76,,KXSBADS-25-CC
2025-01-26 16:03:00+00:00,76.0,71,77,50,76.0,76.0,76.0,71,71,71,76,77,76,,KXSBADS-25-CC
2025-01-26 16:10:00+00:00,,71,76,0,,,,71,71,71,77,77,76,,KXSBADS-25-CC
2025-01-26 16:13:00+00:00,76.0,71,76,1,76.0,76.0,76.0,71,71,71,76,76,76,,KXSBADS-25-CC
2025-01-26 17:03:00+00:00,77.0,71,77,19,76.0,77.0,76.0,71,71,71,76,77,76,,KXSBADS-25-CC
2025-01-26 17:20:00+00:00,,71,76,0,,,,71,71,71,77,77,76,,KXSBADS-25-CC
2025-01-26 17:50:00+00:00,76.0,71,76,25,76.0,76.0,76.0,71,71,71,76,76,76,,KXSBADS-25-CC
2025-01-26 18:51:00+00:00,76.0,71,76,19,76.0,76.0,76.0,71,71,71,76,76,76,,KXSBADS-25-CC
2025-01-26 18:59:00+00:00,77.0,71,77,44,77.0,77.0,77.0,71,71,71,76,77,76,,KXSBADS-25-CC
2025-01-26 19:13:00+00:00,,71,76,0,,,,71,71,71,77,77,76,,KXSBADS-25-CC
