datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2024-12-18 15:10:00+00:00,,1,99,0,,,,1,1,1,100,100,99,,KXSBADS-25-P
2024-12-18 15:31:00+00:00,,2,99,0,,,,1,2,1,99,99,99,,KXSBADS-25-P
2024-12-18 15:32:00+00:00,,2,98,0,,,,2,2,2,99,99,98,,KXSBADS-25-P
2024-12-18 16:54:00+00:00,,2,97,0,,,,2,2,2,98,98,97,,KXSBADS-25-P
2024-12-18 17:04:00+00:00,,3,97,0,,,,2,3,2,97,97,97,,KXSBADS-25-P
2024-12-18 19:46:00+00:00,,3,85,0,,,,3,3,3,97,97,85,,KXSBADS-25-P
2024-12-18 20:54:00+00:00,,20,30,0,,,,3,20,3,85,85,30,,KXSBADS-25-P
2024-12-19 20:19:00+00:00,30.0,20,30,6,30.0,30.0,30.0,20,20,20,30,30,30,,KXSBADS-25-P
2024-12-19 20:27:00+00:00,,21,29,0,,,,20,21,20,30,30,29,,KXSBADS-25-P
2024-12-19 20:33:00+00:00,,20,30,0,,,,21,21,20,29,30,29,,KXSBADS-25-P
2024-12-19 20:39:00+00:00,,21,29,0,,,,20,21,20,30,30,29,,KXSBADS-25-P
2024-12-19 20:45:00+00:00,,20,30,0,,,,21,21,20,29,30,29,,KXSBADS-25-P
2024-12-19 20:46:00+00:00,,21,29,0,,,,20,21,20,30,30,29,,KXSBADS-25-P
2024-12-19 20:52:00+00:00,,20,30,0,,,,21,21,20,29,30,29,,KXSBADS-25-P
2024-12-19 20:53:00+00:00,,21,29,0,,,,20,21,20,30,30,29,,KXSBADS-25-P
2024-12-19 20:56:00+00:00,29.0,21,29,3,29.0,29.0,29.0,21,21,21,29,29,29,,KXSBADS-25-P
2024-12-19 20:59:00+00:00,,20,30,0,,,,21,21,20,29,30,29,,KXSBADS-25-P
2024-12-19 21:00:00+00:00,,21,29,0,,,,20,21,20,30,30,29,,KXSBADS-25-P
2024-12-19 21:06:00+00:00,,20,30,0,,,,21,21,20,29,30,29,,KXSBADS-25-P
2024-12-19 21:07:00+00:00,,21,29,0,,,,20,21,20,30,30,29,,KXSBADS-25-P
2024-12-19 21:13:00+00:00,,20,30,0,,,,21,21,20,29,30,29,,KXSBADS-25-P
