datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2024-12-19 22:45:00+00:00,,10,100,0,,,,10,10,10,100,100,100,,KXSBADS-25-PR
2024-12-19 22:46:00+00:00,,5,100,0,,,,10,10,5,100,100,100,,KXSBADS-25-PR
2024-12-20 15:47:00+00:00,,6,100,0,,,,5,6,5,100,100,100,,KXSBADS-25-PR
2024-12-20 17:23:00+00:00,,6,99,0,,,,6,6,6,100,100,99,,KXSBADS-25-PR
2024-12-20 17:25:00+00:00,,7,99,0,,,,6,7,6,99,99,99,,KXSBADS-25-PR
2024-12-20 18:15:00+00:00,,6,100,0,,,,7,7,6,99,100,99,,KXSBADS-25-PR
2024-12-21 20:40:00+00:00,,7,99,0,,,,6,7,6,100,100,99,,KXSBADS-25-PR
2024-12-25 01:04:00+00:00,,6,99,0,,,,7,7,6,99,99,99,,KXSBADS-25-PR
2024-12-26 04:32:00+00:00,,7,99,0,,,,6,7,6,99,99,99,,KXSBADS-25-PR
2024-12-26 20:46:00+00:00,,10,99,0,,,,7,10,7,99,99,99,,KXSBADS-25-PR
2024-12-27 00:40:00+00:00,,50,99,0,,,,10,50,10,99,99,99,,KXSBADS-25-PR
2024-12-27 04:59:00+00:00,,51,99,0,,,,50,51,50,99,99,99,,KXSBADS-25-PR
2024-12-27 06:06:00+00:00,,52,99,0,,,,51,52,51,99,99,99,,KXSBADS-25-PR
2024-12-28 04:14:00+00:00,,53,99,0,,,,52,53,52,99,99,99,,KXSBADS-25-PR
2024-12-28 19:29:00+00:00,,55,99,0,,,,53,55,53,99,99,99,,KXSBADS-25-PR
2024-12-29 03:50:00+00:00,,56,99,0,,,,55,56,55,99,99,99,,KXSBADS-25-PR
2024-12-29 15:36:00+00:00,,60,99,0,,,,56,60,56,99,99,99,,KXSBADS-25-PR
2024-12-29 18:25:00+00:00,,61,99,0,,,,60,61,60,99,99,99,,KXSBADS-25-PR
2024-12-29 18:29:00+00:00,,65,99,0,,,,61,65,61,99,99,99,,KXSBADS-25-PR
2024-12-29 20:36:00+00:00,65.0,65,99,27,65.0,65.0,65.0,65,65,65,99,99,99,,KXSBADS-25-PR
2024-12-29 20:46:00+00:00,,66,98,0,,,,65,66,65,99,99,98,,KXSBADS-25-PR
2024-12-29 20:52:00+00:00,,65,99,0,,,,66,66,65,98,99,98,,KXSBADS-25-PR
2024-12-29 20:53:00+00:00,,66,98,0,,,,65,66,65,99,99,98,,KXSBADS-25-PR
2024-12-29 20:59:00+00:00,,66,98,0,,,,66,66,65,98,99,98,,KXSBADS-25-PR
2024-12-29 21:06:00+00:00,,66,98,0,,,,66,66,65,98,99,98,,KXSBADS-25-PR
2024-12-29 21:12:00+00:00,,65,99,0,,,,66,66,65,98,99,98,,KXSBADS-25-PR
