datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2024-12-19 22:46:00+00:00,,8,100,0,,,,8,8,8,100,100,100,,KXSBADS-25-SF
2024-12-19 23:17:00+00:00,,9,100,0,,,,8,9,8,100,100,100,,KXSBADS-25-SF
2024-12-19 23:55:00+00:00,,50,100,0,,,,9,50,9,100,100,100,,KXSBADS-25-SF
2024-12-20 15:47:00+00:00,,51,100,0,,,,50,51,50,100,100,100,,KXSBADS-25-SF
2024-12-20 17:22:00+00:00,,52,100,0,,,,51,52,51,100,100,100,,KXSBADS-25-SF
2024-12-20 17:23:00+00:00,,52,99,0,,,,52,52,52,100,100,99,,KXSBADS-25-SF
2024-12-20 18:15:00+00:00,,51,100,0,,,,52,52,51,99,100,99,,KXSBADS-25-SF
2024-12-20 20:29:00+00:00,,50,100,0,,,,51,51,50,100,100,100,,KXSBADS-25-SF
2024-12-21 20:39:00+00:00,,51,100,0,,,,50,51,50,100,100,100,,KXSBADS-25-SF
2024-12-23 04:30:00+00:00,,99,100,0,,,,51,99,51,100,100,100,,KXSBADS-25-SF
2024-12-25 01:13:00+00:00,99.0,50,99,1,99.0,99.0,99.0,99,99,50,100,100,99,,KXSBADS-25-SF
2024-12-25 01:19:00+00:00,,51,98,0,,,,50,51,50,99,99,98,,KXSBADS-25-SF
2024-12-25 01:25:00+00:00,,50,99,0,,,,51,51,50,98,99,98,,KXSBADS-25-SF
2024-12-25 01:26:00+00:00,,51,98,0,,,,50,51,50,99,99,98,,KXSBADS-25-SF
2024-12-25 01:32:00+00:00,,51,98,0,,,,51,51,50,98,99,98,,KXSBADS-25-SF
2024-12-25 01:38:00+00:00,,50,99,0,,,,51,51,50,98,99,98,,KXSBADS-25-SF
2024-12-25 01:39:00+00:00,,51,98,0,,,,50,51,50,99,99,98,,KXSBADS-25-SF
2024-12-25 01:45:00+00:00,,51,98,0,,,,51,51,50,98,99,98,,KXSBADS-25-SF
2024-12-25 01:52:00+00:00,,51,98,0,,,,51,51,50,98,99,98,,KXSBADS-25-SF
2024-12-25 01:58:00+00:00,,50,99,0,,,,51,51,50,98,99,98,,KXSBADS-25-SF
2024-12-25 01:59:00+00:00,,51,98,0,,,,50,51,50,99,99,98,,KXSBADS-25-SF
2024-12-25 02:05:00+00:00,,51,98,0,,,,51,51,50,98,99,98,,KXSBADS-25-SF
2024-12-25 02:11:00+00:00,,50,99,0,,,,51,51,50,98,99,98,,KXSBADS-25-SF
2024-12-25 02:12:00+00:00,,51,98,0,,,,50,51,50,99,99,98,,KXSBADS-25-SF
2024-12-25 02:18:00+00:00,,51,98,0,,,,51,51,50,98,99,98,,KXSBADS-25-SF
2024-12-25 02:24:00+00:00,,50,99,0,,,,51,51,50,98,99,98,,KXSBADS-25-SF
2024-12-25 02:25:00+00:00,,51,98,0,,,,50,51,50,99,99,98,,KXSBADS-25-SF
2024-12-25 02:31:00+00:00,,51,98,0,,,,51,51,50,98,99,98,,KXSBADS-25-SF
2024-12-25 02:37:00+00:00,,50,99,0,,,,51,51,50,98,99,98,,KXSBADS-25-SF
2024-12-25 02:38:00+00:00,,51,98,0,,,,50,51,50,99,99,98,,KXSBADS-25-SF
2024-12-25 02:44:00+00:00,,51,98,0,,,,51,51,50,98,99,98,,KXSBADS-25-SF
