datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-01-25 20:14:00+00:00,,15,100,0,,,,15,15,15,100,100,100,,KXSBADS-25-T
2025-01-25 20:41:00+00:00,,15,84,0,,,,15,15,15,100,100,84,,KXSBADS-25-T
2025-01-25 20:42:00+00:00,,25,84,0,,,,15,25,15,84,84,84,,KXSBADS-25-T
2025-01-25 20:55:00+00:00,,25,71,0,,,,25,25,25,84,84,71,,KXSBADS-25-T
2025-01-25 20:56:00+00:00,,33,71,0,,,,25,33,25,71,71,71,,KXSBADS-25-T
2025-01-25 21:35:00+00:00,25.0,15,71,125,33.0,33.0,25.0,33,33,15,71,71,71,,KXSBADS-25-T
2025-01-25 21:36:00+00:00,,15,50,0,,,,15,15,15,71,71,50,,KXSBADS-25-T
2025-01-25 21:38:00+00:00,,20,50,0,,,,15,20,15,50,50,50,,KXSBADS-25-T
2025-01-25 21:46:00+00:00,,20,33,0,,,,20,20,20,50,50,33,,KXSBADS-25-T
2025-01-25 22:07:00+00:00,24.0,20,33,58,24.0,24.0,24.0,20,20,20,33,33,24,,KXSBADS-25-T
2025-01-25 22:08:00+00:00,25.0,20,33,59,25.0,25.0,25.0,20,20,20,33,33,25,,KXSBADS-25-T
2025-01-25 22:11:00+00:00,20.0,15,30,50,20.0,20.0,20.0,20,20,15,33,33,30,,KXSBADS-25-T
2025-01-25 22:17:00+00:00,,15,24,0,,,,15,15,15,30,30,24,,KXSBADS-25-T
2025-01-25 22:21:00+00:00,,16,24,0,,,,15,16,15,24,24,24,,KXSBADS-25-T
2025-01-25 22:51:00+00:00,24.0,16,24,2,24.0,24.0,24.0,16,16,16,24,24,24,,KXSBADS-25-T
2025-01-25 22:52:00+00:00,24.0,16,24,40,24.0,24.0,24.0,16,16,16,24,24,24,,KXSBADS-25-T
2025-01-25 23:00:00+00:00,,16,30,0,,,,16,16,16,24,30,24,,KXSBADS-25-T
2025-01-25 23:01:00+00:00,,16,28,0,,,,16,16,16,30,30,27,,KXSBADS-25-T
2025-01-25 23:20:00+00:00,,16,27,0,,,,16,16,16,28,28,27,,KXSBADS-25-T
2025-01-25 23:49:00+00:00,28.0,16,28,171,27.0,28.0,27.0,16,16,16,27,28,27,,KXSBADS-25-T
2025-01-26 00:03:00+00:00,28.0,16,28,34,28.0,28.0,28.0,16,16,16,28,28,28,,KXSBADS-25-T
2025-01-26 00:56:00+00:00,,16,27,0,,,,16,16,16,28,28,27,,KXSBADS-25-T
2025-01-26 01:00:00+00:00,15.0,2,27,308,16.0,16.0,15.0,16,16,2,27,27,27,,KXSBADS-25-T
2025-01-26 01:01:00+00:00,,2,25,0,,,,2,2,2,27,27,25,,KXSBADS-25-T
2025-01-26 01:05:00+00:00,24.0,2,24,3,24.0,24.0,24.0,2,2,2,25,25,24,,KXSBADS-25-T
2025-01-26 01:08:00+00:00,,2,23,0,,,,2,2,2,24,24,23,,KXSBADS-25-T
2025-01-26 01:11:00+00:00,,3,23,0,,,,2,3,2,23,23,23,,KXSBADS-25-T
2025-01-26 01:25:00+00:00,23.0,3,23,20,23.0,23.0,23.0,3,3,3,23,23,23,,KXSBADS-25-T
2025-01-26 02:07:00+00:00,,6,23,0,,,,3,6,3,23,23,23,,KXSBADS-25-T
2025-01-26 02:08:00+00:00,23.0,6,23,20,23.0,23.0,23.0,6,6,6,23,23,23,,KXSBADS-25-T
2025-01-26 02:11:00+00:00,,6,22,0,,,,6,6,6,23,23,22,,KXSBADS-25-T
2025-01-26 02:14:00+00:00,,7,21,0,,,,6,7,6,22,22,21,,KXSBADS-25-T
2025-01-26 02:18:00+00:00,25.0,7,25,440,21.0,25.0,21.0,7,7,7,21,25,21,,KXSBADS-25-T
2025-01-26 02:22:00+00:00,,7,24,0,,,,7,7,7,25,25,24,,KXSBADS-25-T
2025-01-26 02:53:00+00:00,29.0,10,94,500,24.0,29.0,24.0,7,10,7,24,94,24,,KXSBADS-25-T
2025-01-26 02:54:00+00:00,,11,93,0,,,,10,11,10,94,94,93,,KXSBADS-25-T
2025-01-26 02:55:00+00:00,11.0,11,90,45,11.0,11.0,11.0,11,11,11,93,93,90,,KXSBADS-25-T
2025-01-26 02:56:00+00:00,,11,30,0,,,,11,11,11,90,90,30,,KXSBADS-25-T
2025-01-26 03:01:00+00:00,,12,29,0,,,,11,12,11,30,30,29,,KXSBADS-25-T
2025-01-26 03:02:00+00:00,29.0,12,29,9,29.0,29.0,29.0,12,12,12,29,29,29,,KXSBADS-25-T
2025-01-26 03:11:00+00:00,29.0,12,29,32,29.0,29.0,29.0,12,12,12,29,29,29,,KXSBADS-25-T
2025-01-26 04:04:00+00:00,30.0,12,30,160,29.0,30.0,29.0,12,12,12,29,30,29,,KXSBADS-25-T
2025-01-26 04:05:00+00:00,,13,30,0,,,,12,13,12,30,30,30,,KXSBADS-25-T
2025-01-26 04:06:00+00:00,30.0,13,30,50,30.0,30.0,30.0,13,13,13,30,30,30,,KXSBADS-25-T
2025-01-26 04:07:00+00:00,,13,29,0,,,,13,13,13,30,30,29,,KXSBADS-25-T
2025-01-26 04:08:00+00:00,,14,29,0,,,,13,14,13,29,29,29,,KXSBADS-25-T
