datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2024-12-19 23:17:00+00:00,,1,100,0,,,,1,1,1,100,100,100,,KXSBADS-25-TM
2024-12-20 17:23:00+00:00,,1,99,0,,,,1,1,1,100,100,99,,KXSBADS-25-TM
2024-12-20 17:25:00+00:00,,2,99,0,,,,1,2,1,99,99,99,,KXSBADS-25-TM
2024-12-20 18:15:00+00:00,,1,100,0,,,,2,2,1,99,100,99,,KXSBADS-25-TM
2024-12-21 20:41:00+00:00,,5,100,0,,,,1,5,1,100,100,100,,KXSBADS-25-TM
2024-12-25 01:04:00+00:00,,0,100,0,,,,5,5,0,100,100,100,,KXSBADS-25-TM
2024-12-25 01:12:00+00:00,,1,100,0,,,,0,1,0,100,100,100,,KXSBADS-25-TM
2024-12-25 03:24:00+00:00,,50,100,0,,,,1,50,1,100,100,100,,KXSBADS-25-TM
2024-12-26 04:32:00+00:00,,51,99,0,,,,50,51,50,100,100,99,,KXSBADS-25-TM
2024-12-27 00:39:00+00:00,,70,99,0,,,,51,70,51,99,99,99,,KXSBADS-25-TM
2024-12-27 06:07:00+00:00,,71,99,0,,,,70,71,70,99,99,99,,KXSBADS-25-TM
2024-12-28 04:14:00+00:00,,72,99,0,,,,71,72,71,99,99,99,,KXSBADS-25-TM
2024-12-28 19:29:00+00:00,,75,99,0,,,,72,75,72,99,99,99,,KXSBADS-25-TM
2024-12-28 20:40:00+00:00,,76,99,0,,,,75,76,75,99,99,99,,KXSBADS-25-TM
2024-12-29 00:27:00+00:00,,76,98,0,,,,76,76,76,99,99,98,,KXSBADS-25-TM
2024-12-29 15:36:00+00:00,,80,98,0,,,,76,80,76,98,98,98,,KXSBADS-25-TM
2024-12-29 18:25:00+00:00,,81,98,0,,,,80,81,80,98,98,98,,KXSBADS-25-TM
2024-12-29 19:10:00+00:00,,82,98,0,,,,81,82,81,98,98,98,,KXSBADS-25-TM
2024-12-29 19:29:00+00:00,,83,98,0,,,,82,83,82,98,98,98,,KXSBADS-25-TM
2024-12-30 03:37:00+00:00,,84,98,0,,,,83,84,83,98,98,98,,KXSBADS-25-TM
2024-12-30 04:29:00+00:00,,85,98,0,,,,84,85,84,98,98,98,,KXSBADS-25-TM
2024-12-30 19:39:00+00:00,,86,98,0,,,,85,86,85,98,98,98,,KXSBADS-25-TM
2025-01-01 19:13:00+00:00,,88,98,0,,,,86,88,86,98,98,98,,KXSBADS-25-TM
2025-01-01 21:25:00+00:00,,88,97,0,,,,88,88,88,98,98,97,,KXSBADS-25-TM
2025-01-02 04:27:00+00:00,,89,97,0,,,,88,89,88,97,97,97,,KXSBADS-25-TM
2025-01-02 05:00:00+00:00,,89,98,0,,,,89,89,89,97,98,97,,KXSBADS-25-TM
2025-01-02 20:41:00+00:00,,89,97,0,,,,89,89,89,98,98,97,,KXSBADS-25-TM
2025-01-02 22:44:00+00:00,,89,98,0,,,,89,89,89,97,98,97,,KXSBADS-25-TM
2025-01-03 21:08:00+00:00,,89,97,0,,,,89,89,89,98,98,97,,KXSBADS-25-TM
2025-01-04 18:23:00+00:00,88.0,85,97,53,89.0,89.0,88.0,89,89,85,97,97,97,,KXSBADS-25-TM
2025-01-04 18:29:00+00:00,,86,96,0,,,,85,86,85,97,97,96,,KXSBADS-25-TM
2025-01-04 18:35:00+00:00,,85,97,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 18:36:00+00:00,,86,96,0,,,,85,86,85,97,97,96,,KXSBADS-25-TM
2025-01-04 18:42:00+00:00,,85,97,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 18:43:00+00:00,,86,96,0,,,,85,86,85,97,97,96,,KXSBADS-25-TM
2025-01-04 18:49:00+00:00,,86,96,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 18:55:00+00:00,,85,97,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 18:56:00+00:00,,86,96,0,,,,85,86,85,97,97,96,,KXSBADS-25-TM
2025-01-04 19:02:00+00:00,,85,97,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 19:03:00+00:00,,86,96,0,,,,85,86,85,97,97,96,,KXSBADS-25-TM
2025-01-04 19:09:00+00:00,,85,97,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 19:10:00+00:00,,86,96,0,,,,85,86,85,97,97,96,,KXSBADS-25-TM
2025-01-04 19:16:00+00:00,,86,96,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 19:23:00+00:00,,86,96,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 19:29:00+00:00,,85,97,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 19:30:00+00:00,,86,96,0,,,,85,86,85,97,97,96,,KXSBADS-25-TM
2025-01-04 19:36:00+00:00,,85,97,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 19:37:00+00:00,,86,96,0,,,,85,86,85,97,97,96,,KXSBADS-25-TM
2025-01-04 19:43:00+00:00,,86,96,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 19:50:00+00:00,,86,96,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 19:56:00+00:00,,85,97,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 19:57:00+00:00,,86,96,0,,,,85,86,85,97,97,96,,KXSBADS-25-TM
2025-01-04 20:03:00+00:00,,85,97,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 20:04:00+00:00,,86,96,0,,,,85,86,85,97,97,96,,KXSBADS-25-TM
2025-01-04 20:10:00+00:00,,85,97,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 20:11:00+00:00,,86,96,0,,,,85,86,85,97,97,96,,KXSBADS-25-TM
2025-01-04 20:17:00+00:00,,86,96,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 20:24:00+00:00,,86,96,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 20:30:00+00:00,,85,97,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 20:31:00+00:00,,86,96,0,,,,85,86,85,97,97,96,,KXSBADS-25-TM
2025-01-04 20:37:00+00:00,,85,97,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 20:38:00+00:00,,86,96,0,,,,85,86,85,97,97,96,,KXSBADS-25-TM
2025-01-04 20:44:00+00:00,,86,96,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 20:51:00+00:00,,86,96,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 20:57:00+00:00,,85,97,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 20:58:00+00:00,,86,96,0,,,,85,86,85,97,97,96,,KXSBADS-25-TM
2025-01-04 21:04:00+00:00,,85,97,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 21:05:00+00:00,,86,96,0,,,,85,86,85,97,97,96,,KXSBADS-25-TM
2025-01-04 21:11:00+00:00,,86,96,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 21:18:00+00:00,,86,96,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 21:24:00+00:00,,85,97,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 21:25:00+00:00,,86,96,0,,,,85,86,85,97,97,96,,KXSBADS-25-TM
2025-01-04 21:31:00+00:00,,85,97,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 21:32:00+00:00,,86,96,0,,,,85,86,85,97,97,96,,KXSBADS-25-TM
2025-01-04 21:38:00+00:00,,86,96,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 21:44:00+00:00,,85,97,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 21:45:00+00:00,,86,96,0,,,,85,86,85,97,97,96,,KXSBADS-25-TM
2025-01-04 21:51:00+00:00,,85,97,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 21:52:00+00:00,,86,96,0,,,,85,86,85,97,97,96,,KXSBADS-25-TM
2025-01-04 21:58:00+00:00,,86,96,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 22:04:00+00:00,,85,97,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 22:05:00+00:00,,86,96,0,,,,85,86,85,97,97,96,,KXSBADS-25-TM
2025-01-04 22:11:00+00:00,,85,97,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 22:12:00+00:00,,86,96,0,,,,85,86,85,97,97,96,,KXSBADS-25-TM
2025-01-04 22:18:00+00:00,,86,96,0,,,,86,86,85,96,97,96,,KXSBADS-25-TM
2025-01-04 22:24:00+00:00,,86,97,0,,,,86,86,86,96,97,96,,KXSBADS-25-TM
2025-01-04 22:25:00+00:00,,87,96,0,,,,86,87,86,97,97,96,,KXSBADS-25-TM
2025-01-04 22:31:00+00:00,,87,96,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-04 22:38:00+00:00,,87,96,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-04 22:44:00+00:00,,86,97,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-04 22:45:00+00:00,,87,96,0,,,,86,87,86,97,97,96,,KXSBADS-25-TM
2025-01-04 22:51:00+00:00,,87,96,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-04 22:57:00+00:00,,86,97,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-04 22:58:00+00:00,,87,96,0,,,,86,87,86,97,97,96,,KXSBADS-25-TM
2025-01-04 23:04:00+00:00,,87,96,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-04 23:11:00+00:00,,87,96,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-04 23:17:00+00:00,,86,97,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-04 23:18:00+00:00,,87,96,0,,,,86,87,86,97,97,96,,KXSBADS-25-TM
2025-01-04 23:24:00+00:00,,87,96,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-04 23:30:00+00:00,,86,97,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-04 23:31:00+00:00,,87,96,0,,,,86,87,86,97,97,96,,KXSBADS-25-TM
2025-01-04 23:37:00+00:00,,87,96,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-04 23:43:00+00:00,,86,97,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-04 23:44:00+00:00,,87,96,0,,,,86,87,86,97,97,96,,KXSBADS-25-TM
2025-01-04 23:50:00+00:00,,87,96,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-04 23:57:00+00:00,,87,96,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-05 00:03:00+00:00,,86,97,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-05 00:04:00+00:00,,87,96,0,,,,86,87,86,97,97,96,,KXSBADS-25-TM
2025-01-05 00:10:00+00:00,,87,96,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-05 00:16:00+00:00,,86,97,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-05 00:17:00+00:00,,87,96,0,,,,86,87,86,97,97,96,,KXSBADS-25-TM
2025-01-05 00:23:00+00:00,,87,96,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-05 00:30:00+00:00,,87,96,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-05 00:36:00+00:00,,86,97,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-05 00:37:00+00:00,,87,96,0,,,,86,87,86,97,97,96,,KXSBADS-25-TM
2025-01-05 00:43:00+00:00,,87,96,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-05 00:49:00+00:00,,86,97,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-05 00:50:00+00:00,,87,96,0,,,,86,87,86,97,97,96,,KXSBADS-25-TM
2025-01-05 00:51:00+00:00,96.0,87,96,1,96.0,96.0,96.0,87,87,87,96,96,96,,KXSBADS-25-TM
2025-01-05 00:56:00+00:00,,87,96,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-05 01:02:00+00:00,,86,97,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-05 01:03:00+00:00,,87,96,0,,,,86,87,86,97,97,96,,KXSBADS-25-TM
2025-01-05 01:09:00+00:00,,87,96,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-05 01:16:00+00:00,,87,96,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-05 01:22:00+00:00,,86,97,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-05 01:23:00+00:00,,87,96,0,,,,86,87,86,97,97,96,,KXSBADS-25-TM
2025-01-05 01:27:00+00:00,97.0,87,97,20,96.0,97.0,96.0,87,87,87,96,97,96,,KXSBADS-25-TM
2025-01-05 01:29:00+00:00,,87,96,0,,,,87,87,86,97,97,96,,KXSBADS-25-TM
2025-01-05 01:35:00+00:00,,86,97,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-05 01:36:00+00:00,,87,96,0,,,,86,87,86,97,97,96,,KXSBADS-25-TM
2025-01-05 01:42:00+00:00,,87,96,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-05 01:48:00+00:00,,86,97,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-05 01:49:00+00:00,,87,96,0,,,,86,87,86,97,97,96,,KXSBADS-25-TM
2025-01-05 01:55:00+00:00,,87,96,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-05 02:02:00+00:00,,87,96,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-05 02:08:00+00:00,,86,97,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-05 02:09:00+00:00,,87,96,0,,,,86,87,86,97,97,96,,KXSBADS-25-TM
2025-01-05 02:15:00+00:00,,87,96,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-05 02:21:00+00:00,,86,97,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
2025-01-05 02:22:00+00:00,,87,96,0,,,,86,87,86,97,97,96,,KXSBADS-25-TM
2025-01-05 02:28:00+00:00,,87,96,0,,,,87,87,86,96,97,96,,KXSBADS-25-TM
