datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2024-12-19 23:17:00+00:00,,1,100,0,,,,1,1,1,100,100,100,,KXSBADS-25-V
2024-12-20 17:23:00+00:00,,1,99,0,,,,1,1,1,100,100,99,,KXSBADS-25-V
2024-12-20 17:25:00+00:00,,2,99,0,,,,1,2,1,99,99,99,,KXSBADS-25-V
2024-12-20 18:15:00+00:00,,1,100,0,,,,2,2,1,99,100,99,,KXSBADS-25-V
2024-12-21 20:39:00+00:00,,10,100,0,,,,1,10,1,100,100,100,,KXSBADS-25-V
2024-12-24 13:47:00+00:00,,0,100,0,,,,10,10,0,100,100,100,,KXSBADS-25-V
2024-12-25 03:25:00+00:00,,50,100,0,,,,0,50,0,100,100,100,,KXSBADS-25-V
2024-12-26 01:03:00+00:00,,51,100,0,,,,50,51,50,100,100,100,,KXSBADS-25-V
2024-12-26 04:32:00+00:00,,52,99,0,,,,51,52,51,100,100,99,,KXSBADS-25-V
2024-12-27 00:39:00+00:00,,80,99,0,,,,52,80,52,99,99,99,,KXSBADS-25-V
2024-12-27 06:06:00+00:00,,81,99,0,,,,80,81,80,99,99,99,,KXSBADS-25-V
2024-12-28 19:29:00+00:00,,85,99,0,,,,81,85,81,99,99,99,,KXSBADS-25-V
2024-12-28 19:30:00+00:00,85.0,85,99,5,85.0,85.0,85.0,85,85,85,99,99,99,,KXSBADS-25-V
2024-12-28 19:41:00+00:00,,86,98,0,,,,85,86,85,99,99,98,,KXSBADS-25-V
2024-12-28 19:47:00+00:00,,85,99,0,,,,86,86,85,98,99,98,,KXSBADS-25-V
2024-12-28 19:48:00+00:00,,86,98,0,,,,85,86,85,99,99,98,,KXSBADS-25-V
2024-12-28 19:54:00+00:00,,86,98,0,,,,86,86,85,98,99,98,,KXSBADS-25-V
2024-12-28 20:01:00+00:00,,86,98,0,,,,86,86,85,98,99,98,,KXSBADS-25-V
2024-12-28 20:07:00+00:00,,85,99,0,,,,86,86,85,98,99,98,,KXSBADS-25-V
2024-12-28 20:08:00+00:00,,86,98,0,,,,85,86,85,99,99,98,,KXSBADS-25-V
2024-12-28 20:14:00+00:00,,86,98,0,,,,86,86,85,98,99,98,,KXSBADS-25-V
2024-12-28 20:20:00+00:00,,85,99,0,,,,86,86,85,98,99,98,,KXSBADS-25-V
2024-12-28 20:21:00+00:00,,86,98,0,,,,85,86,85,99,99,98,,KXSBADS-25-V
2024-12-28 20:27:00+00:00,,86,98,0,,,,86,86,85,98,99,98,,KXSBADS-25-V
2024-12-28 20:33:00+00:00,,85,99,0,,,,86,86,85,98,99,98,,KXSBADS-25-V
2024-12-28 20:34:00+00:00,,86,98,0,,,,85,86,85,99,99,98,,KXSBADS-25-V
2024-12-28 20:40:00+00:00,,86,98,0,,,,86,86,85,98,99,98,,KXSBADS-25-V
2024-12-28 20:46:00+00:00,,85,99,0,,,,86,86,85,98,99,98,,KXSBADS-25-V
2024-12-28 20:47:00+00:00,,86,98,0,,,,85,86,85,99,99,98,,KXSBADS-25-V
2024-12-28 20:53:00+00:00,,86,98,0,,,,86,86,85,98,99,98,,KXSBADS-25-V
2024-12-28 20:59:00+00:00,,85,99,0,,,,86,86,85,98,99,98,,KXSBADS-25-V
2024-12-28 21:00:00+00:00,,86,98,0,,,,85,86,85,99,99,98,,KXSBADS-25-V
