datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-09-13 00:29:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 00:30:00+00:00,,0,4,0,,,,0,0,0,4,100,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 00:51:00+00:00,,0,4,0,,,,0,0,0,4,100,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 01:11:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 02:14:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 03:17:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 04:20:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 05:23:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 06:26:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 07:29:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 08:32:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 09:35:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 10:38:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 11:41:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 12:35:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 12:44:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 13:21:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 13:47:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 14:16:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 14:50:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 14:51:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 15:15:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 15:35:00+00:00,,0,92,0,,,,0,0,0,4,92,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 15:36:00+00:00,,0,4,0,,,,0,0,0,92,92,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 15:54:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 16:15:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 16:25:00+00:00,,0,4,0,,,,0,0,0,4,90,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 16:26:00+00:00,,0,4,0,,,,0,0,0,4,90,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 16:29:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 16:40:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 16:57:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 17:35:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 17:58:00+00:00,,0,4,0,,,,0,0,0,4,88,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 18:00:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 18:33:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 19:03:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXSUPERBOWLHEADLINE-26-ADE
2025-09-13 19:24:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXSUPERBOWLHEADLINE-26-ADE
