datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-06-13 14:01:00+00:00,,0,99,0,,,,0,0,0,99,99,99,,KXSUPERBOWLHEADLINE-26-BAD
2025-06-13 14:03:00+00:00,,10,20,0,,,,0,10,0,99,99,20,,KXSUPERBOWLHEADLINE-26-BAD
2025-06-13 14:21:00+00:00,,10,20,0,,,,10,10,10,20,20,20,,KXSUPERBOWLHEADLINE-26-BAD
2025-06-13 14:37:00+00:00,,10,20,0,,,,10,10,10,20,20,20,,KXSUPERBOWLHEADLINE-26-BAD
2025-06-13 14:41:00+00:00,,10,20,0,,,,10,10,10,20,20,20,,KXSUPERBOWLHEADLINE-26-BAD
2025-06-13 15:14:00+00:00,,10,20,0,,,,10,10,10,20,20,20,,KXSUPERBOWLHEADLINE-26-BAD
2025-06-13 15:35:00+00:00,,10,20,0,,,,10,10,10,20,20,20,,KXSUPERBOWLHEADLINE-26-BAD
2025-06-13 15:45:00+00:00,,10,20,0,,,,10,10,10,20,20,20,,KXSUPERBOWLHEADLINE-26-BAD
2025-06-13 16:28:00+00:00,,10,20,0,,,,10,10,10,20,20,20,,KXSUPERBOWLHEADLINE-26-BAD
2025-06-13 17:05:00+00:00,,10,20,0,,,,10,10,10,20,20,20,,KXSUPERBOWLHEADLINE-26-BAD
2025-06-13 17:47:00+00:00,,10,20,0,,,,10,10,10,20,20,20,,KXSUPERBOWLHEADLINE-26-BAD
2025-06-13 18:25:00+00:00,,10,20,0,,,,10,10,10,20,20,20,,KXSUPERBOWLHEADLINE-26-BAD
2025-06-13 19:06:00+00:00,,10,20,0,,,,10,10,10,20,20,20,,KXSUPERBOWLHEADLINE-26-BAD
2025-06-13 19:52:00+00:00,,10,20,0,,,,10,10,10,20,20,20,,KXSUPERBOWLHEADLINE-26-BAD
2025-06-13 20:30:00+00:00,,10,20,0,,,,10,10,10,20,20,20,,KXSUPERBOWLHEADLINE-26-BAD
2025-06-13 21:15:00+00:00,,10,20,0,,,,10,10,10,20,20,20,,KXSUPERBOWLHEADLINE-26-BAD
2025-06-13 21:51:00+00:00,,10,20,0,,,,10,10,10,20,20,20,,KXSUPERBOWLHEADLINE-26-BAD
2025-06-13 22:37:00+00:00,,10,20,0,,,,10,10,10,20,20,20,,KXSUPERBOWLHEADLINE-26-BAD
