datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-04-02 16:31:00+00:00,,1,99,0,,,,1,1,1,100,100,99,,KXAAAGASM-25APR30-3.15
2025-04-02 17:51:00+00:00,,85,99,0,,,,1,85,1,99,99,99,,KXAAAGASM-25APR30-3.15
2025-04-03 03:36:00+00:00,,80,99,0,,,,85,85,80,99,99,99,,KXAAAGASM-25APR30-3.15
2025-04-03 04:00:00+00:00,,1,99,0,,,,80,80,1,99,99,99,,KXAAAGASM-25APR30-3.15
2025-04-03 06:20:00+00:00,,85,99,0,,,,1,85,1,99,99,99,,KXAAAGASM-25APR30-3.15
2025-04-03 16:31:00+00:00,,85,100,0,,,,85,85,85,99,100,99,,KXAAAGASM-25APR30-3.15
2025-04-03 18:48:00+00:00,,87,100,0,,,,85,87,85,100,100,100,,KXAAAGASM-25APR30-3.15
2025-04-03 19:04:00+00:00,,87,100,0,,,,87,87,85,100,100,100,,KXAAAGASM-25APR30-3.15
2025-04-03 19:57:00+00:00,,87,100,0,,,,87,87,85,100,100,100,,KXAAAGASM-25APR30-3.15
2025-04-03 19:58:00+00:00,,87,100,0,,,,87,87,85,100,100,100,,KXAAAGASM-25APR30-3.15
2025-04-03 21:49:00+00:00,,87,100,0,,,,87,87,85,100,100,100,,KXAAAGASM-25APR30-3.15
2025-04-03 22:43:00+00:00,,88,100,0,,,,87,88,87,100,100,100,,KXAAAGASM-25APR30-3.15
2025-04-03 23:52:00+00:00,88.0,88,100,10,88.0,88.0,88.0,88,88,88,100,100,100,,KXAAAGASM-25APR30-3.15
2025-04-04 00:30:00+00:00,88.0,88,100,18,88.0,88.0,88.0,88,88,88,100,100,100,,KXAAAGASM-25APR30-3.15
2025-04-04 12:08:00+00:00,88.0,82,100,122,88.0,88.0,88.0,88,88,82,100,100,100,,KXAAAGASM-25APR30-3.15
2025-04-04 12:09:00+00:00,,0,100,0,,,,82,82,0,100,100,100,,KXAAAGASM-25APR30-3.15
2025-04-04 15:11:00+00:00,,60,100,0,,,,0,70,0,100,100,100,,KXAAAGASM-25APR30-3.15
2025-04-05 00:36:00+00:00,,60,89,0,,,,60,60,60,100,100,89,,KXAAAGASM-25APR30-3.15
2025-04-05 00:42:00+00:00,,61,88,0,,,,60,61,60,89,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 00:48:00+00:00,,61,88,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 00:54:00+00:00,,60,89,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 00:55:00+00:00,,61,88,0,,,,60,61,60,89,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 01:01:00+00:00,,61,88,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 01:08:00+00:00,,61,88,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 01:14:00+00:00,,60,89,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 01:15:00+00:00,,61,88,0,,,,60,61,60,89,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 01:21:00+00:00,,60,89,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 01:22:00+00:00,,61,88,0,,,,60,61,60,89,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 01:28:00+00:00,,61,88,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 01:34:00+00:00,,60,89,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 01:35:00+00:00,,61,88,0,,,,60,61,60,89,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 01:41:00+00:00,,61,88,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 01:47:00+00:00,,60,89,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 01:48:00+00:00,,61,88,0,,,,60,61,60,89,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 01:54:00+00:00,,61,88,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 02:01:00+00:00,,61,88,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 02:08:00+00:00,,61,88,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 02:14:00+00:00,,60,89,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 02:15:00+00:00,,61,88,0,,,,60,61,60,89,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 02:21:00+00:00,,61,88,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 02:28:00+00:00,,61,88,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 02:34:00+00:00,,60,89,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 02:35:00+00:00,,61,88,0,,,,60,61,60,89,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 02:37:00+00:00,88.0,61,88,2,88.0,88.0,88.0,61,61,61,88,88,88,,KXAAAGASM-25APR30-3.15
2025-04-05 02:41:00+00:00,,61,88,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 02:48:00+00:00,,61,88,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 02:54:00+00:00,,60,89,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 02:55:00+00:00,,61,88,0,,,,60,61,60,89,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 03:01:00+00:00,,61,88,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 03:08:00+00:00,,61,88,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 03:14:00+00:00,,60,89,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 03:15:00+00:00,,61,88,0,,,,60,61,60,89,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 03:21:00+00:00,,61,88,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 03:28:00+00:00,,61,88,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 03:35:00+00:00,,61,88,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 03:41:00+00:00,,60,89,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 03:42:00+00:00,,61,88,0,,,,60,61,60,89,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 03:48:00+00:00,,61,88,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 03:55:00+00:00,,61,88,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 04:02:00+00:00,,61,88,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 04:08:00+00:00,,60,89,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 04:09:00+00:00,,61,88,0,,,,60,61,60,89,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 04:15:00+00:00,,61,88,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 04:22:00+00:00,,61,88,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 04:28:00+00:00,,60,89,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 04:29:00+00:00,,61,88,0,,,,60,61,60,89,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 04:35:00+00:00,,60,89,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 04:36:00+00:00,,61,88,0,,,,60,61,60,89,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 04:42:00+00:00,,61,88,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 04:49:00+00:00,,61,88,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 04:55:00+00:00,,60,89,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 04:56:00+00:00,,61,88,0,,,,60,61,60,89,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 05:02:00+00:00,,60,89,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 05:03:00+00:00,,61,88,0,,,,60,61,60,89,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 05:09:00+00:00,,61,88,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 05:16:00+00:00,,61,88,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 05:22:00+00:00,,60,89,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 05:23:00+00:00,,61,88,0,,,,60,61,60,89,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 05:29:00+00:00,,61,88,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 05:36:00+00:00,,61,88,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 05:42:00+00:00,,60,89,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 05:43:00+00:00,,61,88,0,,,,60,61,60,89,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 05:49:00+00:00,,60,89,0,,,,61,61,60,88,89,88,,KXAAAGASM-25APR30-3.15
2025-04-05 05:50:00+00:00,,61,88,0,,,,60,61,60,89,89,88,,KXAAAGASM-25APR30-3.15
