datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-06-30 14:01:00+00:00,,1,99,0,,,,67,67,1,100,100,75,,KXAAAGASM-25JUL31-3.10
2025-06-30 14:02:00+00:00,,1,88,0,,,,1,1,1,99,99,88,,KXAAAGASM-25JUL31-3.10
2025-06-30 14:03:00+00:00,,1,84,0,,,,1,1,1,88,88,84,,KXAAAGASM-25JUL31-3.10
2025-06-30 14:11:00+00:00,,30,84,0,,,,1,30,1,84,84,84,,KXAAAGASM-25JUL31-3.10
2025-06-30 14:18:00+00:00,,30,84,0,,,,30,30,30,84,84,84,,KXAAAGASM-25JUL31-3.10
2025-06-30 14:20:00+00:00,,30,86,0,,,,30,30,30,84,86,84,,KXAAAGASM-25JUL31-3.10
2025-06-30 14:45:00+00:00,86.0,30,86,1,86.0,86.0,86.0,30,30,30,86,86,86,,KXAAAGASM-25JUL31-3.10
2025-06-30 15:20:00+00:00,,67,76,0,,,,30,67,30,86,86,76,,KXAAAGASM-25JUL31-3.10
2025-06-30 15:22:00+00:00,,68,75,0,,,,67,68,30,76,86,75,,KXAAAGASM-25JUL31-3.10
2025-06-30 15:28:00+00:00,,30,86,0,,,,68,68,30,75,86,75,,KXAAAGASM-25JUL31-3.10
2025-06-30 15:39:00+00:00,,68,75,0,,,,30,68,30,86,86,75,,KXAAAGASM-25JUL31-3.10
2025-06-30 16:02:00+00:00,,30,86,0,,,,68,68,30,75,86,75,,KXAAAGASM-25JUL31-3.10
2025-06-30 16:03:00+00:00,,68,75,0,,,,30,68,30,86,86,75,,KXAAAGASM-25JUL31-3.10
2025-06-30 16:06:00+00:00,,68,75,0,,,,68,68,68,75,75,75,,KXAAAGASM-25JUL31-3.10
2025-06-30 16:08:00+00:00,,30,86,0,,,,68,68,30,75,86,75,,KXAAAGASM-25JUL31-3.10
2025-06-30 16:11:00+00:00,,66,75,0,,,,30,66,30,86,86,75,,KXAAAGASM-25JUL31-3.10
2025-06-30 16:17:00+00:00,,66,74,0,,,,66,66,66,75,75,74,,KXAAAGASM-25JUL31-3.10
2025-06-30 16:26:00+00:00,,30,74,0,,,,66,66,30,74,74,74,,KXAAAGASM-25JUL31-3.10
2025-06-30 16:27:00+00:00,,66,74,0,,,,30,66,30,74,74,74,,KXAAAGASM-25JUL31-3.10
2025-06-30 16:29:00+00:00,,66,73,0,,,,66,66,66,74,74,73,,KXAAAGASM-25JUL31-3.10
2025-06-30 16:46:00+00:00,,65,73,0,,,,66,66,30,73,73,73,,KXAAAGASM-25JUL31-3.10
2025-06-30 16:50:00+00:00,,65,73,0,,,,65,65,65,73,73,73,,KXAAAGASM-25JUL31-3.10
2025-06-30 16:56:00+00:00,,66,73,0,,,,65,66,65,73,73,73,,KXAAAGASM-25JUL31-3.10
2025-06-30 17:06:00+00:00,,66,73,0,,,,66,66,66,73,73,73,,KXAAAGASM-25JUL31-3.10
2025-06-30 17:55:00+00:00,73.0,66,73,10,73.0,73.0,73.0,66,66,66,73,73,73,,KXAAAGASM-25JUL31-3.10
2025-06-30 18:00:00+00:00,73.0,66,73,1000,73.0,73.0,73.0,66,66,66,73,73,73,,KXAAAGASM-25JUL31-3.10
2025-06-30 18:05:00+00:00,,66,73,0,,,,66,66,66,73,73,73,,KXAAAGASM-25JUL31-3.10
2025-06-30 18:08:00+00:00,,67,73,0,,,,66,67,66,73,73,73,,KXAAAGASM-25JUL31-3.10
2025-06-30 18:09:00+00:00,,67,73,0,,,,67,67,67,73,73,73,,KXAAAGASM-25JUL31-3.10
2025-06-30 18:10:00+00:00,73.0,67,73,1,73.0,73.0,73.0,67,67,67,73,73,73,,KXAAAGASM-25JUL31-3.10
