datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-05-31 14:01:00+00:00,,1,99,0,,,,1,1,1,100,100,99,,KXAAAGASM-25JUN30-3.25
2025-05-31 14:02:00+00:00,,1,90,0,,,,1,1,1,99,99,90,,KXAAAGASM-25JUN30-3.25
2025-05-31 14:03:00+00:00,,21,25,0,,,,1,21,1,90,90,25,,KXAAAGASM-25JUN30-3.25
2025-05-31 14:04:00+00:00,,21,27,0,,,,21,21,21,25,27,25,,KXAAAGASM-25JUN30-3.25
2025-05-31 14:08:00+00:00,,21,27,0,,,,21,21,21,27,27,27,,KXAAAGASM-25JUN30-3.25
2025-05-31 14:09:00+00:00,,21,27,0,,,,21,21,21,27,27,27,,KXAAAGASM-25JUN30-3.25
2025-05-31 14:30:00+00:00,,21,27,0,,,,21,21,19,27,28,27,,KXAAAGASM-25JUN30-3.25
2025-05-31 14:31:00+00:00,,21,27,0,,,,21,21,19,27,27,27,,KXAAAGASM-25JUN30-3.25
2025-05-31 14:44:00+00:00,,21,27,0,,,,21,21,19,27,27,27,,KXAAAGASM-25JUN30-3.25
2025-05-31 14:57:00+00:00,,21,27,0,,,,21,21,19,27,28,27,,KXAAAGASM-25JUN30-3.25
2025-05-31 15:26:00+00:00,,21,27,0,,,,21,21,21,27,28,27,,KXAAAGASM-25JUN30-3.25
2025-05-31 15:53:00+00:00,,21,27,0,,,,21,21,21,27,27,27,,KXAAAGASM-25JUN30-3.25
2025-05-31 15:59:00+00:00,,21,27,0,,,,21,21,19,27,27,27,,KXAAAGASM-25JUN30-3.25
2025-05-31 16:12:00+00:00,,21,25,0,,,,21,21,21,27,27,25,,KXAAAGASM-25JUN30-3.25
2025-05-31 17:00:00+00:00,,21,25,0,,,,21,21,19,25,25,25,,KXAAAGASM-25JUN30-3.25
2025-05-31 17:07:00+00:00,,21,25,0,,,,21,21,21,25,25,25,,KXAAAGASM-25JUN30-3.25
2025-05-31 17:08:00+00:00,,21,25,0,,,,21,21,19,25,25,25,,KXAAAGASM-25JUN30-3.25
2025-05-31 17:17:00+00:00,,21,25,0,,,,21,21,19,25,25,25,,KXAAAGASM-25JUN30-3.25
2025-05-31 18:02:00+00:00,,21,25,0,,,,21,21,21,25,25,25,,KXAAAGASM-25JUN30-3.25
2025-05-31 20:06:00+00:00,,21,25,0,,,,21,21,19,25,25,25,,KXAAAGASM-25JUN30-3.25
2025-05-31 20:13:00+00:00,,21,24,0,,,,21,21,21,25,25,24,,KXAAAGASM-25JUN30-3.25
2025-05-31 20:14:00+00:00,,21,24,0,,,,21,21,19,24,24,24,,KXAAAGASM-25JUN30-3.25
2025-05-31 21:08:00+00:00,,21,24,0,,,,21,21,19,24,24,24,,KXAAAGASM-25JUN30-3.25
