datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-04-30 14:01:00+00:00,,1,99,0,,,,1,1,1,100,100,99,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:02:00+00:00,,55,64,0,,,,1,55,1,99,99,64,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:03:00+00:00,52.0,51,60,1714,55.0,55.0,52.0,55,55,1,64,64,60,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:04:00+00:00,,51,57,0,,,,51,51,51,60,60,57,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:05:00+00:00,,51,55,0,,,,51,51,51,57,57,55,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:06:00+00:00,,31,53,0,,,,51,51,31,55,55,53,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:08:00+00:00,,32,51,0,,,,31,32,31,53,53,51,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:09:00+00:00,,32,51,0,,,,32,32,32,51,51,51,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:10:00+00:00,,32,51,0,,,,32,32,32,51,52,51,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:12:00+00:00,,32,51,0,,,,32,32,32,51,51,51,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:13:00+00:00,,32,51,0,,,,32,32,32,51,52,51,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:14:00+00:00,,31,49,0,,,,32,32,31,51,52,49,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:15:00+00:00,,32,51,0,,,,31,32,31,49,51,46,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:16:00+00:00,,32,51,0,,,,32,32,32,51,52,51,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:17:00+00:00,51.0,34,51,2,51.0,51.0,51.0,32,36,32,51,52,50,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:18:00+00:00,,33,50,0,,,,34,36,33,51,51,49,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:19:00+00:00,,35,50,0,,,,33,35,32,50,50,48,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:20:00+00:00,,36,50,0,,,,35,36,32,50,50,49,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:21:00+00:00,,32,49,0,,,,36,36,32,50,50,49,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:22:00+00:00,,34,50,0,,,,32,34,31,49,50,49,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:23:00+00:00,,34,49,0,,,,34,34,32,50,50,49,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:24:00+00:00,,33,49,0,,,,34,35,33,49,50,48,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:25:00+00:00,,33,48,0,,,,33,34,32,49,49,48,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:26:00+00:00,,33,48,0,,,,33,33,32,48,49,48,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:27:00+00:00,,33,47,0,,,,33,33,32,48,49,47,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:28:00+00:00,,32,47,0,,,,33,33,32,47,47,47,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:29:00+00:00,,32,47,0,,,,32,32,31,47,47,47,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:30:00+00:00,,32,46,0,,,,32,33,32,47,47,46,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:31:00+00:00,,32,46,0,,,,32,33,32,46,46,46,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:32:00+00:00,,32,46,0,,,,32,32,32,46,46,46,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:33:00+00:00,,32,46,0,,,,32,33,32,46,46,46,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:34:00+00:00,,32,46,0,,,,32,33,32,46,46,46,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:35:00+00:00,,32,46,0,,,,32,33,32,46,46,46,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:36:00+00:00,,32,46,0,,,,32,32,31,46,46,46,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:37:00+00:00,,32,46,0,,,,32,33,32,46,46,46,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:38:00+00:00,,32,46,0,,,,32,33,32,46,46,46,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:39:00+00:00,,32,44,0,,,,32,33,32,46,46,44,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:40:00+00:00,,32,44,0,,,,32,33,32,44,44,44,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:41:00+00:00,,32,44,0,,,,32,33,32,44,44,44,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:42:00+00:00,,32,44,0,,,,32,33,32,44,44,44,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:43:00+00:00,,32,44,0,,,,32,32,31,44,44,44,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:44:00+00:00,,32,44,0,,,,32,34,32,44,44,44,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:45:00+00:00,,32,44,0,,,,32,33,32,44,44,44,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:46:00+00:00,,32,44,0,,,,32,33,32,44,44,44,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:47:00+00:00,,32,44,0,,,,32,33,32,44,44,44,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:48:00+00:00,,32,44,0,,,,32,33,32,44,44,44,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:49:00+00:00,,33,44,0,,,,32,33,32,44,44,44,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:50:00+00:00,,31,44,0,,,,33,33,31,44,44,44,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:51:00+00:00,,32,44,0,,,,31,33,31,44,44,44,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:52:00+00:00,,32,44,0,,,,32,33,32,44,44,44,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:53:00+00:00,,33,44,0,,,,32,33,32,44,44,44,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:54:00+00:00,,32,44,0,,,,33,33,32,44,44,44,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:55:00+00:00,,32,44,0,,,,32,33,32,44,44,44,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:56:00+00:00,,32,44,0,,,,32,33,32,44,44,44,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:57:00+00:00,,31,44,0,,,,32,33,31,44,44,44,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:58:00+00:00,,32,44,0,,,,31,33,31,44,44,44,,KXAAAGASM-25MAY31-3.20
2025-04-30 14:59:00+00:00,,32,44,0,,,,32,32,32,44,44,44,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:00:00+00:00,,32,44,0,,,,32,33,32,44,44,44,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:01:00+00:00,,33,44,0,,,,32,33,32,44,44,44,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:02:00+00:00,,33,44,0,,,,33,33,32,44,44,44,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:03:00+00:00,,33,44,0,,,,33,33,32,44,44,44,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:04:00+00:00,,31,44,0,,,,33,33,31,44,44,44,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:05:00+00:00,,32,44,0,,,,31,32,31,44,44,44,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:06:00+00:00,,37,44,0,,,,32,37,32,44,44,44,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:07:00+00:00,,37,43,0,,,,37,37,32,44,44,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:08:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:09:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:10:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:11:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:12:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:13:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:14:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:15:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:16:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:17:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:18:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:19:00+00:00,,37,43,0,,,,37,37,37,43,43,42,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:20:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:21:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:22:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:23:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:24:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:25:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:26:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:27:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:28:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:29:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:30:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:31:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:32:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:33:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:34:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:35:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:36:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:37:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:38:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:39:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:40:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:41:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:42:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:43:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:44:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:45:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:46:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:47:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:48:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:49:00+00:00,,37,43,0,,,,37,37,37,43,43,43,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:50:00+00:00,,37,42,0,,,,37,37,37,43,43,42,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:51:00+00:00,,37,42,0,,,,37,37,37,42,42,42,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:52:00+00:00,,37,41,0,,,,37,37,37,42,42,41,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:53:00+00:00,,37,41,0,,,,37,37,37,41,41,41,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:54:00+00:00,,37,41,0,,,,37,37,37,41,41,41,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:55:00+00:00,,37,41,0,,,,37,37,37,41,41,41,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:56:00+00:00,,37,41,0,,,,37,37,37,41,41,41,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:57:00+00:00,,37,41,0,,,,37,37,37,41,41,41,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:58:00+00:00,,37,41,0,,,,37,37,37,41,41,41,,KXAAAGASM-25MAY31-3.20
2025-04-30 15:59:00+00:00,,37,41,0,,,,37,37,37,41,41,41,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:00:00+00:00,,37,41,0,,,,37,37,37,41,41,41,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:01:00+00:00,,37,41,0,,,,37,37,37,41,41,41,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:02:00+00:00,,37,41,0,,,,37,37,37,41,41,41,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:03:00+00:00,,37,41,0,,,,37,37,37,41,41,41,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:04:00+00:00,,37,41,0,,,,37,37,37,41,41,41,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:05:00+00:00,,37,41,0,,,,37,37,37,41,41,41,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:06:00+00:00,,37,41,0,,,,37,37,37,41,41,41,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:07:00+00:00,,37,41,0,,,,37,37,37,41,41,41,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:08:00+00:00,,37,41,0,,,,37,37,37,41,41,41,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:09:00+00:00,,37,41,0,,,,37,37,37,41,41,41,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:10:00+00:00,,37,41,0,,,,37,37,37,41,41,41,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:11:00+00:00,,37,41,0,,,,37,37,37,41,41,41,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:12:00+00:00,,37,40,0,,,,37,37,37,41,41,40,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:13:00+00:00,,37,40,0,,,,37,37,37,40,40,40,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:14:00+00:00,,37,40,0,,,,37,37,37,40,40,40,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:15:00+00:00,,31,40,0,,,,37,37,31,40,40,40,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:16:00+00:00,,37,40,0,,,,31,37,31,40,40,40,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:17:00+00:00,,37,40,0,,,,37,37,37,40,40,40,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:18:00+00:00,,37,40,0,,,,37,37,37,40,40,40,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:19:00+00:00,,37,40,0,,,,37,37,37,40,40,40,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:20:00+00:00,,37,40,0,,,,37,37,37,40,40,40,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:21:00+00:00,,37,40,0,,,,37,37,37,40,40,40,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:22:00+00:00,,37,40,0,,,,37,37,37,40,40,40,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:23:00+00:00,,35,40,0,,,,37,37,31,40,40,40,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:24:00+00:00,,35,40,0,,,,35,35,35,40,40,40,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:25:00+00:00,,35,40,0,,,,35,35,35,40,40,40,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:26:00+00:00,,35,40,0,,,,35,35,35,40,40,40,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:27:00+00:00,,35,40,0,,,,35,35,35,40,40,40,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:28:00+00:00,,35,40,0,,,,35,35,35,40,40,40,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:29:00+00:00,,35,40,0,,,,35,35,35,40,40,40,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:30:00+00:00,,35,40,0,,,,35,35,35,40,40,40,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:31:00+00:00,,35,40,0,,,,35,35,35,40,40,40,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:32:00+00:00,,35,40,0,,,,35,35,35,40,40,40,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:33:00+00:00,,35,40,0,,,,35,35,35,40,40,40,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:34:00+00:00,,35,40,0,,,,35,35,35,40,40,40,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:35:00+00:00,,35,40,0,,,,35,35,35,40,40,40,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:36:00+00:00,,35,40,0,,,,35,35,35,40,40,40,,KXAAAGASM-25MAY31-3.20
2025-04-30 16:37:00+00:00,,35,39,0,,,,35,35,35,40,40,39,,KXAAAGASM-25MAY31-3.20
