datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-03-13 14:01:00+00:00,,1,99,0,,,,1,1,1,100,100,99,,KXCPI-25APR-T0.2
2025-03-14 16:28:00+00:00,,52,68,0,,,,1,52,1,99,99,68,,KXCPI-25APR-T0.2
2025-03-15 02:01:00+00:00,,53,67,0,,,,52,53,52,68,68,67,,KXCPI-25APR-T0.2
2025-03-15 07:01:00+00:00,,52,68,0,,,,53,53,52,67,68,67,,KXCPI-25APR-T0.2
2025-03-15 12:03:00+00:00,,53,67,0,,,,52,53,52,68,68,67,,KXCPI-25APR-T0.2
2025-03-16 07:01:00+00:00,,52,68,0,,,,53,53,52,67,68,67,,KXCPI-25APR-T0.2
2025-03-16 12:03:00+00:00,,53,67,0,,,,52,53,52,68,68,67,,KXCPI-25APR-T0.2
2025-03-17 07:01:00+00:00,,52,68,0,,,,53,53,52,67,68,67,,KXCPI-25APR-T0.2
2025-03-17 12:03:00+00:00,,53,67,0,,,,52,53,52,68,68,67,,KXCPI-25APR-T0.2
2025-03-18 07:02:00+00:00,,52,68,0,,,,53,53,52,67,68,67,,KXCPI-25APR-T0.2
2025-03-18 12:03:00+00:00,,53,67,0,,,,52,53,52,68,68,67,,KXCPI-25APR-T0.2
2025-03-18 12:32:00+00:00,,52,68,0,,,,53,53,52,67,68,67,,KXCPI-25APR-T0.2
2025-03-18 13:10:00+00:00,,53,67,0,,,,52,53,52,68,68,67,,KXCPI-25APR-T0.2
2025-03-18 18:04:00+00:00,,52,68,0,,,,53,53,52,67,68,67,,KXCPI-25APR-T0.2
2025-03-18 18:48:00+00:00,,53,67,0,,,,52,53,52,68,68,67,,KXCPI-25APR-T0.2
2025-03-19 04:00:00+00:00,,52,68,0,,,,53,53,52,67,68,67,,KXCPI-25APR-T0.2
2025-03-19 12:03:00+00:00,,53,67,0,,,,52,53,52,68,68,67,,KXCPI-25APR-T0.2
2025-03-19 19:05:00+00:00,,52,68,0,,,,53,53,52,67,68,67,,KXCPI-25APR-T0.2
2025-03-19 21:37:00+00:00,,53,67,0,,,,52,53,52,68,68,67,,KXCPI-25APR-T0.2
2025-03-20 06:13:00+00:00,,52,68,0,,,,53,53,52,67,68,67,,KXCPI-25APR-T0.2
2025-03-20 12:04:00+00:00,,53,67,0,,,,52,53,52,68,68,67,,KXCPI-25APR-T0.2
2025-03-21 07:02:00+00:00,,52,68,0,,,,53,53,52,67,68,67,,KXCPI-25APR-T0.2
2025-03-21 12:04:00+00:00,,53,67,0,,,,52,53,52,68,68,67,,KXCPI-25APR-T0.2
2025-03-22 07:02:00+00:00,,52,68,0,,,,53,53,52,67,68,67,,KXCPI-25APR-T0.2
2025-03-22 12:03:00+00:00,,53,67,0,,,,52,53,52,68,68,67,,KXCPI-25APR-T0.2
2025-03-22 12:29:00+00:00,,52,68,0,,,,53,53,52,67,68,67,,KXCPI-25APR-T0.2
2025-03-23 05:28:00+00:00,,53,67,0,,,,52,53,52,68,68,67,,KXCPI-25APR-T0.2
2025-03-23 07:02:00+00:00,,52,68,0,,,,53,53,52,67,68,67,,KXCPI-25APR-T0.2
2025-03-23 12:03:00+00:00,,53,67,0,,,,52,53,52,68,68,67,,KXCPI-25APR-T0.2
2025-03-24 07:02:00+00:00,,52,68,0,,,,53,53,52,67,68,67,,KXCPI-25APR-T0.2
2025-03-24 12:03:00+00:00,,53,67,0,,,,52,53,52,68,68,67,,KXCPI-25APR-T0.2
2025-03-25 07:02:00+00:00,,52,68,0,,,,53,53,52,67,68,67,,KXCPI-25APR-T0.2
2025-03-25 12:03:00+00:00,,53,67,0,,,,52,53,52,68,68,67,,KXCPI-25APR-T0.2
2025-03-26 07:02:00+00:00,,52,68,0,,,,53,53,52,67,68,67,,KXCPI-25APR-T0.2
2025-03-26 12:03:00+00:00,,53,67,0,,,,52,53,52,68,68,67,,KXCPI-25APR-T0.2
2025-03-27 06:17:00+00:00,,52,68,0,,,,53,53,52,67,68,67,,KXCPI-25APR-T0.2
2025-03-27 12:04:00+00:00,,53,67,0,,,,52,53,52,68,68,67,,KXCPI-25APR-T0.2
2025-03-27 12:10:00+00:00,,52,68,0,,,,53,53,52,67,68,67,,KXCPI-25APR-T0.2
2025-03-27 12:38:00+00:00,,52,68,0,,,,52,56,52,68,68,65,,KXCPI-25APR-T0.2
2025-03-27 12:39:00+00:00,,56,65,0,,,,52,56,52,68,68,65,,KXCPI-25APR-T0.2
2025-03-27 12:40:00+00:00,,52,68,0,,,,56,56,52,65,68,65,,KXCPI-25APR-T0.2
2025-03-27 12:45:00+00:00,,56,65,0,,,,52,56,52,68,68,65,,KXCPI-25APR-T0.2
2025-03-27 12:46:00+00:00,,59,68,0,,,,56,59,56,65,68,65,,KXCPI-25APR-T0.2
2025-03-27 12:50:00+00:00,,52,68,0,,,,59,59,52,68,68,68,,KXCPI-25APR-T0.2
2025-03-27 13:05:00+00:00,,59,68,0,,,,52,59,52,68,68,68,,KXCPI-25APR-T0.2
2025-03-27 13:15:00+00:00,,60,67,0,,,,59,60,59,68,68,67,,KXCPI-25APR-T0.2
2025-03-27 13:46:00+00:00,67.0,67,68,70,67.0,67.0,67.0,60,67,60,67,70,67,,KXCPI-25APR-T0.2
2025-03-27 21:01:00+00:00,,54,68,0,,,,67,67,54,68,68,68,,KXCPI-25APR-T0.2
2025-03-27 21:05:00+00:00,,55,67,0,,,,54,55,54,68,68,67,,KXCPI-25APR-T0.2
2025-03-27 21:10:00+00:00,,54,68,0,,,,55,55,54,67,68,67,,KXCPI-25APR-T0.2
2025-03-27 21:11:00+00:00,,55,67,0,,,,54,55,54,68,68,67,,KXCPI-25APR-T0.2
2025-03-27 21:16:00+00:00,,54,68,0,,,,55,55,54,67,68,67,,KXCPI-25APR-T0.2
2025-03-27 21:18:00+00:00,,55,67,0,,,,54,55,54,68,68,67,,KXCPI-25APR-T0.2
2025-03-27 21:23:00+00:00,,54,68,0,,,,55,55,54,67,68,67,,KXCPI-25APR-T0.2
2025-03-27 21:24:00+00:00,,55,67,0,,,,54,55,54,68,68,67,,KXCPI-25APR-T0.2
2025-03-27 21:29:00+00:00,,54,68,0,,,,55,55,54,67,68,67,,KXCPI-25APR-T0.2
2025-03-27 21:30:00+00:00,,55,67,0,,,,54,55,54,68,68,67,,KXCPI-25APR-T0.2
2025-03-27 21:36:00+00:00,,54,68,0,,,,55,55,54,67,68,67,,KXCPI-25APR-T0.2
2025-03-27 21:37:00+00:00,,55,67,0,,,,54,55,54,68,68,67,,KXCPI-25APR-T0.2
2025-03-27 21:42:00+00:00,,54,68,0,,,,55,55,54,67,68,67,,KXCPI-25APR-T0.2
2025-03-27 21:43:00+00:00,,55,67,0,,,,54,55,54,68,68,67,,KXCPI-25APR-T0.2
2025-03-27 21:49:00+00:00,,54,68,0,,,,55,55,54,67,68,67,,KXCPI-25APR-T0.2
2025-03-27 21:50:00+00:00,,55,67,0,,,,54,55,54,68,68,67,,KXCPI-25APR-T0.2
2025-03-27 21:55:00+00:00,,54,68,0,,,,55,55,54,67,68,67,,KXCPI-25APR-T0.2
2025-03-27 21:56:00+00:00,,55,67,0,,,,54,55,54,68,68,67,,KXCPI-25APR-T0.2
2025-03-27 22:02:00+00:00,,54,68,0,,,,55,55,54,67,68,67,,KXCPI-25APR-T0.2
2025-03-27 22:03:00+00:00,,55,67,0,,,,54,55,54,68,68,67,,KXCPI-25APR-T0.2
2025-03-27 22:08:00+00:00,,54,68,0,,,,55,55,54,67,68,67,,KXCPI-25APR-T0.2
2025-03-27 22:09:00+00:00,,55,67,0,,,,54,55,54,68,68,67,,KXCPI-25APR-T0.2
2025-03-27 22:15:00+00:00,,54,68,0,,,,55,55,54,67,68,67,,KXCPI-25APR-T0.2
2025-03-27 22:16:00+00:00,,55,67,0,,,,54,55,54,68,68,67,,KXCPI-25APR-T0.2
2025-03-27 22:21:00+00:00,,53,68,0,,,,55,55,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-27 22:23:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-27 22:28:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-27 22:29:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-27 22:34:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-27 22:36:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-27 22:41:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-27 22:42:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-27 22:47:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-27 22:49:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-27 22:54:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-27 22:55:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-27 23:01:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-27 23:02:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-27 23:07:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-27 23:09:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-27 23:14:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-27 23:15:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-27 23:21:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-27 23:22:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-27 23:27:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-27 23:28:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-27 23:34:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-27 23:35:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-27 23:40:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-27 23:42:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-27 23:47:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-27 23:48:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-27 23:54:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-27 23:55:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-28 00:00:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-28 00:02:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-28 00:07:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-28 00:08:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-28 00:14:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-28 00:15:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-28 00:20:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-28 00:22:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-28 00:27:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-28 00:28:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-28 00:34:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-28 00:35:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-28 00:41:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-28 00:42:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-28 00:48:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-28 00:49:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-28 00:54:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-28 00:56:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-28 01:01:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-28 01:03:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-28 01:08:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-28 01:09:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-28 01:15:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-28 01:16:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-28 01:21:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-28 01:23:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-28 01:28:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-28 01:29:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-28 01:35:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-28 01:36:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-28 01:41:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-28 01:42:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-28 01:48:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-28 01:49:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-28 01:54:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-28 01:56:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-28 02:01:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-28 02:02:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-28 02:08:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-28 02:09:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-28 02:14:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
2025-03-28 02:15:00+00:00,,54,67,0,,,,53,54,53,68,68,67,,KXCPI-25APR-T0.2
2025-03-28 02:21:00+00:00,,53,68,0,,,,54,54,53,67,68,67,,KXCPI-25APR-T0.2
