datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-07-16 14:01:00+00:00,,30,40,0,,,,26,30,26,100,100,40,,KXCPI-25AUG-T0.3
2025-07-16 18:27:00+00:00,,30,40,0,,,,30,30,30,40,40,40,,KXCPI-25AUG-T0.3
2025-07-20 19:59:00+00:00,,37,46,0,,,,30,37,0,40,100,40,,KXCPI-25AUG-T0.3
2025-07-21 13:47:00+00:00,,37,46,0,,,,37,37,37,46,46,46,,KXCPI-25AUG-T0.3
2025-07-21 16:57:00+00:00,,37,46,0,,,,37,37,0,46,55,46,,KXCPI-25AUG-T0.3
2025-07-29 14:47:00+00:00,,37,46,0,,,,37,37,37,46,46,46,,KXCPI-25AUG-T0.3
2025-07-29 20:58:00+00:00,,37,46,0,,,,37,37,37,46,46,46,,KXCPI-25AUG-T0.3
2025-07-30 13:44:00+00:00,,37,46,0,,,,37,37,37,46,46,46,,KXCPI-25AUG-T0.3
2025-07-30 14:47:00+00:00,,37,46,0,,,,37,37,37,46,46,46,,KXCPI-25AUG-T0.3
2025-07-31 14:10:00+00:00,,37,46,0,,,,37,37,37,46,46,46,,KXCPI-25AUG-T0.3
2025-07-31 19:13:00+00:00,,37,46,0,,,,37,37,37,46,46,46,,KXCPI-25AUG-T0.3
2025-08-01 15:59:00+00:00,,37,46,0,,,,37,37,30,46,100,46,,KXCPI-25AUG-T0.3
2025-08-01 20:34:00+00:00,,37,46,0,,,,37,37,37,46,46,46,,KXCPI-25AUG-T0.3
2025-08-02 04:10:00+00:00,,37,46,0,,,,37,37,37,46,46,46,,KXCPI-25AUG-T0.3
2025-08-04 12:33:00+00:00,,37,46,0,,,,37,37,37,46,46,46,,KXCPI-25AUG-T0.3
2025-08-04 13:33:00+00:00,,37,46,0,,,,37,37,37,46,46,46,,KXCPI-25AUG-T0.3
2025-08-05 17:48:00+00:00,,37,46,0,,,,37,37,37,46,47,46,,KXCPI-25AUG-T0.3
2025-08-06 18:50:00+00:00,,38,47,0,,,,37,38,0,46,47,46,,KXCPI-25AUG-T0.3
2025-08-06 19:06:00+00:00,,38,47,0,,,,38,38,36,47,47,47,,KXCPI-25AUG-T0.3
2025-08-07 19:47:00+00:00,,36,45,0,,,,38,38,0,47,47,45,,KXCPI-25AUG-T0.3
2025-08-07 19:53:00+00:00,,34,44,0,,,,36,36,0,45,47,44,,KXCPI-25AUG-T0.3
2025-08-08 01:48:00+00:00,,34,44,0,,,,34,34,34,44,44,44,,KXCPI-25AUG-T0.3
2025-08-09 21:09:00+00:00,,34,44,0,,,,34,34,34,44,44,44,,KXCPI-25AUG-T0.3
2025-08-11 03:52:00+00:00,,34,42,0,,,,34,34,34,44,44,42,,KXCPI-25AUG-T0.3
2025-08-11 04:01:00+00:00,,34,44,0,,,,34,34,34,42,44,42,,KXCPI-25AUG-T0.3
2025-08-11 16:35:00+00:00,,37,45,0,,,,34,37,0,44,45,44,,KXCPI-25AUG-T0.3
2025-08-11 19:49:00+00:00,,0,45,0,,,,37,37,0,45,45,45,,KXCPI-25AUG-T0.3
2025-08-11 20:13:00+00:00,,37,45,0,,,,0,37,0,45,45,45,,KXCPI-25AUG-T0.3
2025-08-12 02:48:00+00:00,,37,47,0,,,,37,37,37,45,47,45,,KXCPI-25AUG-T0.3
2025-08-12 12:05:00+00:00,,37,47,0,,,,37,37,37,47,47,47,,KXCPI-25AUG-T0.3
2025-08-12 12:24:00+00:00,,4,90,0,,,,37,37,4,47,90,47,,KXCPI-25AUG-T0.3
2025-08-12 12:37:00+00:00,,37,90,0,,,,4,37,4,90,90,47,,KXCPI-25AUG-T0.3
2025-08-12 12:38:00+00:00,,37,46,0,,,,37,37,4,90,90,46,,KXCPI-25AUG-T0.3
2025-08-12 12:42:00+00:00,50.0,41,51,207,46.0,50.0,46.0,37,41,4,46,90,46,,KXCPI-25AUG-T0.3
2025-08-12 12:44:00+00:00,,41,51,0,,,,41,41,41,51,51,51,,KXCPI-25AUG-T0.3
2025-08-12 12:45:00+00:00,33.0,31,43,424,41.0,41.0,33.0,41,41,4,51,63,43,,KXCPI-25AUG-T0.3
2025-08-12 12:48:00+00:00,,30,40,0,,,,31,31,4,43,63,37,,KXCPI-25AUG-T0.3
2025-08-12 12:50:00+00:00,,30,40,0,,,,30,30,30,40,40,40,,KXCPI-25AUG-T0.3
2025-08-12 12:51:00+00:00,,30,39,0,,,,30,30,30,40,89,39,,KXCPI-25AUG-T0.3
2025-08-12 12:52:00+00:00,,32,39,0,,,,30,32,4,39,89,39,,KXCPI-25AUG-T0.3
2025-08-12 12:53:00+00:00,,32,37,0,,,,32,32,32,39,39,37,,KXCPI-25AUG-T0.3
2025-08-12 13:03:00+00:00,,32,34,0,,,,32,32,32,37,37,34,,KXCPI-25AUG-T0.3
2025-08-12 13:11:00+00:00,,32,34,0,,,,32,32,30,34,34,34,,KXCPI-25AUG-T0.3
2025-08-12 13:16:00+00:00,,32,34,0,,,,32,32,32,34,34,34,,KXCPI-25AUG-T0.3
2025-08-12 13:19:00+00:00,,33,34,0,,,,32,33,4,34,34,34,,KXCPI-25AUG-T0.3
2025-08-12 13:20:00+00:00,29.0,26,34,2483,33.0,33.0,29.0,33,33,4,34,34,34,,KXCPI-25AUG-T0.3
2025-08-12 13:24:00+00:00,,26,30,0,,,,26,26,26,34,34,27,,KXCPI-25AUG-T0.3
2025-08-12 13:25:00+00:00,,26,31,0,,,,26,26,26,30,34,30,,KXCPI-25AUG-T0.3
2025-08-12 13:26:00+00:00,,26,30,0,,,,26,26,26,31,31,30,,KXCPI-25AUG-T0.3
2025-08-12 13:29:00+00:00,,25,30,0,,,,26,26,4,30,30,30,,KXCPI-25AUG-T0.3
2025-08-12 13:31:00+00:00,,26,30,0,,,,25,26,4,30,30,30,,KXCPI-25AUG-T0.3
2025-08-12 13:56:00+00:00,,26,30,0,,,,26,26,26,30,30,30,,KXCPI-25AUG-T0.3
2025-08-12 13:58:00+00:00,26.0,26,30,13,26.0,26.0,26.0,26,26,26,30,30,30,,KXCPI-25AUG-T0.3
2025-08-12 13:59:00+00:00,,26,30,0,,,,26,26,24,30,30,30,,KXCPI-25AUG-T0.3
2025-08-12 14:03:00+00:00,,25,30,0,,,,26,26,18,30,30,30,,KXCPI-25AUG-T0.3
2025-08-12 14:04:00+00:00,,25,30,0,,,,25,25,25,30,30,30,,KXCPI-25AUG-T0.3
2025-08-12 14:17:00+00:00,,26,30,0,,,,25,26,18,30,30,30,,KXCPI-25AUG-T0.3
2025-08-12 14:18:00+00:00,,26,30,0,,,,26,26,26,30,30,30,,KXCPI-25AUG-T0.3
2025-08-12 14:23:00+00:00,,26,30,0,,,,26,26,26,30,30,30,,KXCPI-25AUG-T0.3
2025-08-12 14:26:00+00:00,,26,30,0,,,,26,26,26,30,30,30,,KXCPI-25AUG-T0.3
2025-08-12 14:29:00+00:00,,26,30,0,,,,26,26,26,30,30,30,,KXCPI-25AUG-T0.3
2025-08-12 14:35:00+00:00,,26,30,0,,,,26,26,26,30,30,30,,KXCPI-25AUG-T0.3
2025-08-12 14:47:00+00:00,26.0,26,30,15,26.0,26.0,26.0,26,26,26,30,30,30,,KXCPI-25AUG-T0.3
2025-08-12 15:04:00+00:00,,26,30,0,,,,26,26,26,30,30,30,,KXCPI-25AUG-T0.3
2025-08-12 15:14:00+00:00,,26,30,0,,,,26,26,26,30,30,30,,KXCPI-25AUG-T0.3
2025-08-12 15:15:00+00:00,33.0,28,33,35,30.0,33.0,30.0,26,28,26,30,33,30,,KXCPI-25AUG-T0.3
2025-08-12 15:16:00+00:00,,28,33,0,,,,28,28,28,33,33,33,,KXCPI-25AUG-T0.3
2025-08-12 15:17:00+00:00,,28,33,0,,,,28,28,27,33,33,33,,KXCPI-25AUG-T0.3
2025-08-12 15:20:00+00:00,33.0,28,33,25,33.0,33.0,33.0,28,28,27,33,34,33,,KXCPI-25AUG-T0.3
2025-08-12 15:27:00+00:00,,28,33,0,,,,28,28,28,33,34,33,,KXCPI-25AUG-T0.3
2025-08-12 15:28:00+00:00,,28,33,0,,,,28,28,27,33,33,33,,KXCPI-25AUG-T0.3
2025-08-12 15:30:00+00:00,,28,33,0,,,,28,28,28,33,33,33,,KXCPI-25AUG-T0.3
2025-08-12 15:43:00+00:00,,28,33,0,,,,28,28,28,33,33,33,,KXCPI-25AUG-T0.3
2025-08-12 15:57:00+00:00,,28,33,0,,,,28,28,28,33,33,33,,KXCPI-25AUG-T0.3
2025-08-12 15:58:00+00:00,,28,33,0,,,,28,28,27,33,33,33,,KXCPI-25AUG-T0.3
2025-08-12 16:01:00+00:00,,28,33,0,,,,28,28,28,33,34,33,,KXCPI-25AUG-T0.3
2025-08-12 16:10:00+00:00,,28,33,0,,,,28,28,28,33,33,33,,KXCPI-25AUG-T0.3
2025-08-12 16:24:00+00:00,,28,33,0,,,,28,28,27,33,34,33,,KXCPI-25AUG-T0.3
2025-08-12 16:25:00+00:00,,28,33,0,,,,28,28,27,33,33,33,,KXCPI-25AUG-T0.3
2025-08-12 16:26:00+00:00,,28,33,0,,,,28,28,27,33,34,33,,KXCPI-25AUG-T0.3
2025-08-12 16:27:00+00:00,,30,33,0,,,,28,30,28,33,33,33,,KXCPI-25AUG-T0.3
2025-08-12 16:28:00+00:00,,28,33,0,,,,30,30,28,33,33,33,,KXCPI-25AUG-T0.3
2025-08-12 16:33:00+00:00,,28,33,0,,,,28,28,28,33,33,33,,KXCPI-25AUG-T0.3
