datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-06-12 14:01:00+00:00,,1,99,0,,,,1,1,1,100,100,99,,KXCPI-25JUL-T0.3
2025-06-13 14:01:00+00:00,,0,100,0,,,,1,1,0,99,100,99,,KXCPI-25JUL-T0.3
2025-06-13 21:16:00+00:00,,8,100,0,,,,0,8,0,100,100,100,,KXCPI-25JUL-T0.3
2025-06-16 00:22:00+00:00,,0,100,0,,,,8,8,0,100,100,100,,KXCPI-25JUL-T0.3
2025-06-17 21:12:00+00:00,,15,100,0,,,,0,15,0,100,100,100,,KXCPI-25JUL-T0.3
2025-06-22 07:07:00+00:00,,0,100,0,,,,15,15,0,100,100,100,,KXCPI-25JUL-T0.3
2025-06-23 21:51:00+00:00,,0,55,0,,,,0,0,0,100,100,55,,KXCPI-25JUL-T0.3
2025-06-24 04:50:00+00:00,,0,45,0,,,,0,0,0,55,55,45,,KXCPI-25JUL-T0.3
2025-06-24 05:03:00+00:00,,0,45,0,,,,0,0,0,45,45,45,,KXCPI-25JUL-T0.3
2025-06-25 04:00:00+00:00,,0,100,0,,,,0,0,0,45,100,45,,KXCPI-25JUL-T0.3
2025-06-30 23:48:00+00:00,,0,61,0,,,,0,0,0,100,100,61,,KXCPI-25JUL-T0.3
2025-07-01 17:08:00+00:00,,0,49,0,,,,0,0,0,61,61,49,,KXCPI-25JUL-T0.3
2025-07-02 17:35:00+00:00,,0,49,0,,,,0,0,0,49,49,49,,KXCPI-25JUL-T0.3
2025-07-03 12:15:00+00:00,,0,45,0,,,,0,0,0,49,49,45,,KXCPI-25JUL-T0.3
2025-07-03 12:51:00+00:00,,2,6,0,,,,0,2,0,45,45,6,,KXCPI-25JUL-T0.3
2025-07-03 14:12:00+00:00,,2,7,0,,,,2,2,0,6,45,6,,KXCPI-25JUL-T0.3
2025-07-03 14:13:00+00:00,,2,7,0,,,,2,2,0,7,45,7,,KXCPI-25JUL-T0.3
2025-07-03 17:48:00+00:00,,2,7,0,,,,2,2,0,7,45,7,,KXCPI-25JUL-T0.3
2025-07-03 19:38:00+00:00,,3,8,0,,,,2,3,0,7,45,7,,KXCPI-25JUL-T0.3
2025-07-03 20:52:00+00:00,,0,45,0,,,,3,3,0,8,45,8,,KXCPI-25JUL-T0.3
2025-07-03 22:26:00+00:00,,9,14,0,,,,0,9,0,45,45,14,,KXCPI-25JUL-T0.3
2025-07-03 22:45:00+00:00,,0,45,0,,,,9,9,0,14,45,14,,KXCPI-25JUL-T0.3
2025-07-04 00:09:00+00:00,,0,40,0,,,,0,0,0,45,45,40,,KXCPI-25JUL-T0.3
2025-07-04 00:10:00+00:00,,0,38,0,,,,0,0,0,40,40,38,,KXCPI-25JUL-T0.3
2025-07-04 01:14:00+00:00,,11,16,0,,,,0,11,0,38,38,16,,KXCPI-25JUL-T0.3
2025-07-04 01:59:00+00:00,,0,38,0,,,,11,11,0,16,38,16,,KXCPI-25JUL-T0.3
2025-07-05 02:24:00+00:00,,10,18,0,,,,0,10,0,38,38,18,,KXCPI-25JUL-T0.3
2025-07-05 20:51:00+00:00,,10,15,0,,,,10,10,10,18,18,15,,KXCPI-25JUL-T0.3
2025-07-05 20:53:00+00:00,,10,15,0,,,,10,10,10,15,15,15,,KXCPI-25JUL-T0.3
2025-07-05 21:16:00+00:00,,10,15,0,,,,10,10,10,15,15,15,,KXCPI-25JUL-T0.3
2025-07-07 01:41:00+00:00,10.0,0,15,210,10.0,10.0,10.0,10,10,0,15,15,15,,KXCPI-25JUL-T0.3
2025-07-07 01:42:00+00:00,,9,15,0,,,,0,9,0,15,15,15,,KXCPI-25JUL-T0.3
2025-07-07 01:43:00+00:00,,9,13,0,,,,9,9,9,15,15,13,,KXCPI-25JUL-T0.3
2025-07-07 01:45:00+00:00,,9,13,0,,,,9,9,9,13,13,13,,KXCPI-25JUL-T0.3
2025-07-07 02:05:00+00:00,,9,13,0,,,,9,9,9,13,13,13,,KXCPI-25JUL-T0.3
2025-07-07 02:16:00+00:00,,9,13,0,,,,9,9,9,13,13,13,,KXCPI-25JUL-T0.3
2025-07-07 02:31:00+00:00,,9,13,0,,,,9,9,9,13,13,13,,KXCPI-25JUL-T0.3
2025-07-07 02:53:00+00:00,,9,13,0,,,,9,9,9,13,13,13,,KXCPI-25JUL-T0.3
2025-07-07 03:15:00+00:00,,9,13,0,,,,9,9,9,13,13,13,,KXCPI-25JUL-T0.3
2025-07-07 03:36:00+00:00,,9,13,0,,,,9,9,9,13,13,13,,KXCPI-25JUL-T0.3
2025-07-07 03:58:00+00:00,,9,13,0,,,,9,9,9,13,13,13,,KXCPI-25JUL-T0.3
2025-07-07 04:19:00+00:00,,9,13,0,,,,9,9,9,13,13,13,,KXCPI-25JUL-T0.3
