datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-05-14 14:01:00+00:00,,1,99,0,,,,1,1,1,100,100,99,,KXCPI-25JUN-T0.3
2025-05-14 14:48:00+00:00,,3,99,0,,,,1,3,1,99,99,99,,KXCPI-25JUN-T0.3
2025-05-14 18:25:00+00:00,,5,85,0,,,,3,5,3,99,99,85,,KXCPI-25JUN-T0.3
2025-05-15 14:01:00+00:00,,5,85,0,,,,5,5,5,85,85,85,,KXCPI-25JUN-T0.3
2025-05-17 05:03:00+00:00,,3,100,0,,,,5,5,3,85,100,85,,KXCPI-25JUN-T0.3
2025-05-19 16:51:00+00:00,,32,38,0,,,,3,32,3,100,100,38,,KXCPI-25JUN-T0.3
2025-05-19 16:52:00+00:00,,31,39,0,,,,32,32,3,38,100,38,,KXCPI-25JUN-T0.3
2025-05-20 23:16:00+00:00,45.0,34,41,200,39.0,45.0,39.0,31,34,3,39,100,39,,KXCPI-25JUN-T0.3
2025-05-20 23:19:00+00:00,,35,42,0,,,,34,35,3,41,100,41,,KXCPI-25JUN-T0.3
2025-05-20 23:20:00+00:00,,35,42,0,,,,35,35,35,42,42,42,,KXCPI-25JUN-T0.3
2025-05-20 23:21:00+00:00,,35,42,0,,,,35,35,35,42,42,42,,KXCPI-25JUN-T0.3
2025-05-21 02:53:00+00:00,,35,42,0,,,,35,35,35,42,42,42,,KXCPI-25JUN-T0.3
2025-05-21 02:56:00+00:00,,35,42,0,,,,35,35,35,42,42,42,,KXCPI-25JUN-T0.3
2025-05-21 16:17:00+00:00,,35,42,0,,,,35,35,35,42,42,42,,KXCPI-25JUN-T0.3
2025-05-21 17:25:00+00:00,,35,42,0,,,,35,35,35,42,42,42,,KXCPI-25JUN-T0.3
2025-05-21 22:41:00+00:00,,35,42,0,,,,35,35,35,42,42,42,,KXCPI-25JUN-T0.3
2025-05-21 23:17:00+00:00,,35,42,0,,,,35,35,35,42,42,42,,KXCPI-25JUN-T0.3
2025-05-22 02:27:00+00:00,34.0,33,41,200,35.0,35.0,34.0,35,35,27,42,42,41,,KXCPI-25JUN-T0.3
2025-05-22 02:28:00+00:00,,33,41,0,,,,33,33,33,41,41,41,,KXCPI-25JUN-T0.3
2025-05-22 03:13:00+00:00,,33,41,0,,,,33,33,33,41,41,41,,KXCPI-25JUN-T0.3
2025-05-22 03:40:00+00:00,,33,41,0,,,,33,33,33,41,41,41,,KXCPI-25JUN-T0.3
2025-05-22 04:42:00+00:00,,33,41,0,,,,33,33,33,41,41,41,,KXCPI-25JUN-T0.3
2025-05-22 05:30:00+00:00,,33,41,0,,,,33,33,33,41,41,41,,KXCPI-25JUN-T0.3
2025-05-22 12:05:00+00:00,,33,41,0,,,,33,33,33,41,41,41,,KXCPI-25JUN-T0.3
2025-05-22 21:18:00+00:00,,33,41,0,,,,33,33,33,41,41,41,,KXCPI-25JUN-T0.3
2025-05-23 01:33:00+00:00,,33,41,0,,,,33,33,33,41,41,41,,KXCPI-25JUN-T0.3
2025-05-23 07:03:00+00:00,,33,41,0,,,,33,33,33,41,41,41,,KXCPI-25JUN-T0.3
2025-05-23 12:05:00+00:00,,33,41,0,,,,33,33,33,41,41,41,,KXCPI-25JUN-T0.3
2025-05-23 19:01:00+00:00,,33,41,0,,,,33,33,33,41,41,41,,KXCPI-25JUN-T0.3
2025-05-23 19:02:00+00:00,,34,41,0,,,,33,34,33,41,41,41,,KXCPI-25JUN-T0.3
2025-05-23 19:15:00+00:00,,34,41,0,,,,34,34,34,41,41,41,,KXCPI-25JUN-T0.3
2025-05-23 19:51:00+00:00,,34,41,0,,,,34,34,34,41,41,41,,KXCPI-25JUN-T0.3
2025-05-24 07:02:00+00:00,,34,41,0,,,,34,34,34,41,41,41,,KXCPI-25JUN-T0.3
2025-05-24 12:05:00+00:00,,34,41,0,,,,34,34,34,41,41,41,,KXCPI-25JUN-T0.3
2025-05-24 12:23:00+00:00,,34,41,0,,,,34,34,34,41,41,41,,KXCPI-25JUN-T0.3
2025-05-24 13:34:00+00:00,,34,41,0,,,,34,34,34,41,41,41,,KXCPI-25JUN-T0.3
2025-05-24 22:51:00+00:00,,34,41,0,,,,34,34,34,41,41,41,,KXCPI-25JUN-T0.3
2025-05-25 01:26:00+00:00,,34,41,0,,,,34,34,34,41,41,41,,KXCPI-25JUN-T0.3
2025-05-25 02:24:00+00:00,,34,41,0,,,,34,34,34,41,41,41,,KXCPI-25JUN-T0.3
2025-05-25 03:07:00+00:00,,34,41,0,,,,34,34,34,41,41,41,,KXCPI-25JUN-T0.3
2025-05-25 03:56:00+00:00,,34,41,0,,,,34,34,34,41,41,41,,KXCPI-25JUN-T0.3
2025-05-25 12:05:00+00:00,,34,41,0,,,,34,34,34,41,41,41,,KXCPI-25JUN-T0.3
2025-05-25 13:29:00+00:00,,34,41,0,,,,34,34,34,41,41,41,,KXCPI-25JUN-T0.3
2025-05-25 15:48:00+00:00,,34,41,0,,,,34,34,34,41,41,41,,KXCPI-25JUN-T0.3
2025-05-26 07:03:00+00:00,,34,41,0,,,,34,34,34,41,41,41,,KXCPI-25JUN-T0.3
2025-05-26 12:05:00+00:00,,34,41,0,,,,34,34,34,41,41,41,,KXCPI-25JUN-T0.3
2025-05-26 12:26:00+00:00,,34,41,0,,,,34,34,34,41,41,41,,KXCPI-25JUN-T0.3
2025-05-26 13:00:00+00:00,,34,41,0,,,,34,34,34,41,41,41,,KXCPI-25JUN-T0.3
2025-05-26 22:17:00+00:00,,35,40,0,,,,34,35,34,41,41,40,,KXCPI-25JUN-T0.3
2025-05-26 22:18:00+00:00,,35,40,0,,,,35,35,35,40,40,40,,KXCPI-25JUN-T0.3
2025-05-26 22:30:00+00:00,,35,40,0,,,,35,35,35,40,40,40,,KXCPI-25JUN-T0.3
2025-05-27 05:27:00+00:00,,35,40,0,,,,35,35,35,40,40,40,,KXCPI-25JUN-T0.3
2025-05-27 06:27:00+00:00,,35,40,0,,,,35,35,35,40,40,40,,KXCPI-25JUN-T0.3
2025-05-27 12:04:00+00:00,,35,40,0,,,,35,35,35,40,40,40,,KXCPI-25JUN-T0.3
2025-05-27 12:24:00+00:00,,35,40,0,,,,35,35,35,40,40,40,,KXCPI-25JUN-T0.3
2025-05-27 12:57:00+00:00,,35,40,0,,,,35,35,35,40,40,40,,KXCPI-25JUN-T0.3
2025-05-27 23:17:00+00:00,,35,40,0,,,,35,35,35,40,40,40,,KXCPI-25JUN-T0.3
2025-05-28 00:27:00+00:00,,35,40,0,,,,35,35,35,40,40,40,,KXCPI-25JUN-T0.3
2025-05-28 01:34:00+00:00,,35,40,0,,,,35,35,35,40,40,40,,KXCPI-25JUN-T0.3
2025-05-28 12:04:00+00:00,,35,40,0,,,,35,35,35,40,40,40,,KXCPI-25JUN-T0.3
2025-05-28 13:21:00+00:00,,35,40,0,,,,35,35,35,40,40,40,,KXCPI-25JUN-T0.3
2025-05-28 13:44:00+00:00,,33,38,0,,,,35,35,28,40,40,38,,KXCPI-25JUN-T0.3
2025-05-28 13:45:00+00:00,,33,38,0,,,,33,33,33,38,38,38,,KXCPI-25JUN-T0.3
2025-05-28 13:46:00+00:00,,33,38,0,,,,33,33,33,38,38,38,,KXCPI-25JUN-T0.3
2025-05-28 14:31:00+00:00,,33,38,0,,,,33,33,33,38,38,38,,KXCPI-25JUN-T0.3
2025-05-28 14:32:00+00:00,,33,38,0,,,,33,33,33,38,38,38,,KXCPI-25JUN-T0.3
2025-05-28 16:59:00+00:00,,32,37,0,,,,33,33,32,38,38,37,,KXCPI-25JUN-T0.3
2025-05-28 17:24:00+00:00,,32,37,0,,,,32,32,32,37,37,37,,KXCPI-25JUN-T0.3
2025-05-28 17:57:00+00:00,,32,37,0,,,,32,32,32,37,37,37,,KXCPI-25JUN-T0.3
2025-05-29 04:02:00+00:00,,32,37,0,,,,32,32,32,37,38,37,,KXCPI-25JUN-T0.3
2025-05-29 05:02:00+00:00,,32,37,0,,,,32,32,32,37,38,37,,KXCPI-25JUN-T0.3
2025-05-29 05:14:00+00:00,,32,37,0,,,,32,32,32,37,37,37,,KXCPI-25JUN-T0.3
2025-05-29 06:05:00+00:00,,32,37,0,,,,32,32,32,37,37,37,,KXCPI-25JUN-T0.3
2025-05-29 06:47:00+00:00,,32,37,0,,,,32,32,32,37,37,37,,KXCPI-25JUN-T0.3
2025-05-29 07:03:00+00:00,,32,37,0,,,,32,32,32,37,37,37,,KXCPI-25JUN-T0.3
2025-05-29 12:05:00+00:00,,32,37,0,,,,32,32,32,37,37,37,,KXCPI-25JUN-T0.3
2025-05-29 12:20:00+00:00,,32,37,0,,,,32,32,32,37,37,37,,KXCPI-25JUN-T0.3
2025-05-29 13:35:00+00:00,,32,37,0,,,,32,32,32,37,37,37,,KXCPI-25JUN-T0.3
2025-05-29 13:48:00+00:00,,32,37,0,,,,32,32,32,37,37,37,,KXCPI-25JUN-T0.3
2025-05-29 14:40:00+00:00,,32,37,0,,,,32,32,32,37,37,37,,KXCPI-25JUN-T0.3
2025-05-29 15:50:00+00:00,,32,37,0,,,,32,32,32,37,37,37,,KXCPI-25JUN-T0.3
2025-05-30 12:04:00+00:00,,32,37,0,,,,32,32,32,37,37,37,,KXCPI-25JUN-T0.3
2025-05-30 13:08:00+00:00,,32,37,0,,,,32,32,32,37,37,37,,KXCPI-25JUN-T0.3
2025-05-31 07:02:00+00:00,,32,37,0,,,,32,32,32,37,37,37,,KXCPI-25JUN-T0.3
2025-05-31 12:05:00+00:00,,32,37,0,,,,32,32,32,37,37,37,,KXCPI-25JUN-T0.3
2025-05-31 12:26:00+00:00,,32,37,0,,,,32,32,32,37,37,37,,KXCPI-25JUN-T0.3
2025-05-31 12:56:00+00:00,,32,37,0,,,,32,32,32,37,37,37,,KXCPI-25JUN-T0.3
