datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-04-11 14:01:00+00:00,,1,99,0,,,,1,1,1,100,100,99,,KXCPI-25MAY-T0.2
2025-04-11 14:03:00+00:00,,45,55,0,,,,1,45,1,99,99,55,,KXCPI-25MAY-T0.2
2025-04-11 14:48:00+00:00,,54,65,0,,,,45,54,45,55,99,55,,KXCPI-25MAY-T0.2
2025-04-11 14:49:00+00:00,,52,65,0,,,,54,54,52,65,67,65,,KXCPI-25MAY-T0.2
2025-04-11 17:56:00+00:00,,35,45,0,,,,52,52,33,65,99,45,,KXCPI-25MAY-T0.2
2025-04-11 22:21:00+00:00,,36,44,0,,,,35,36,5,45,99,44,,KXCPI-25MAY-T0.2
2025-04-12 21:12:00+00:00,,15,65,0,,,,36,36,15,44,65,44,,KXCPI-25MAY-T0.2
2025-04-12 23:11:00+00:00,,0,65,0,,,,15,15,0,65,65,65,,KXCPI-25MAY-T0.2
2025-04-14 02:49:00+00:00,,0,70,0,,,,0,0,0,65,70,65,,KXCPI-25MAY-T0.2
2025-04-14 02:53:00+00:00,,17,100,0,,,,0,17,0,70,100,70,,KXCPI-25MAY-T0.2
2025-04-14 02:59:00+00:00,,36,100,0,,,,17,36,17,100,100,100,,KXCPI-25MAY-T0.2
2025-04-14 03:00:00+00:00,,36,44,0,,,,36,36,36,100,100,44,,KXCPI-25MAY-T0.2
2025-04-14 16:16:00+00:00,,36,44,0,,,,36,36,0,44,100,44,,KXCPI-25MAY-T0.2
2025-04-14 16:21:00+00:00,,36,53,0,,,,36,36,27,44,53,44,,KXCPI-25MAY-T0.2
2025-04-16 01:01:00+00:00,,0,78,0,,,,36,36,0,53,78,53,,KXCPI-25MAY-T0.2
2025-04-16 04:01:00+00:00,,27,53,0,,,,0,36,0,78,78,44,,KXCPI-25MAY-T0.2
2025-04-16 04:02:00+00:00,,38,42,0,,,,27,38,27,53,53,42,,KXCPI-25MAY-T0.2
2025-04-16 12:07:00+00:00,,38,43,0,,,,38,38,37,42,43,42,,KXCPI-25MAY-T0.2
2025-04-18 22:04:00+00:00,,38,42,0,,,,38,38,38,43,78,42,,KXCPI-25MAY-T0.2
2025-04-18 22:06:00+00:00,,0,78,0,,,,38,38,0,42,78,42,,KXCPI-25MAY-T0.2
2025-04-20 22:49:00+00:00,,0,78,0,,,,0,37,0,78,78,43,,KXCPI-25MAY-T0.2
