datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2024-12-06 21:08:00+00:00,84.0,84,86,25,84.0,84.0,84.0,84,84,84,86,86,86,,KXFEDDECISION-24DEC-C25
2024-12-06 21:23:00+00:00,,85,86,0,,,,84,85,84,86,86,86,,KXFEDDECISION-24DEC-C25
2024-12-06 21:27:00+00:00,84.0,84,86,101,85.0,85.0,84.0,85,85,84,86,86,86,,KXFEDDECISION-24DEC-C25
2024-12-06 21:31:00+00:00,,84,87,0,,,,84,84,84,86,87,86,,KXFEDDECISION-24DEC-C25
2024-12-06 21:50:00+00:00,,85,86,0,,,,84,85,84,87,87,86,,KXFEDDECISION-24DEC-C25
2024-12-06 21:59:00+00:00,,84,86,0,,,,85,85,84,86,86,86,,KXFEDDECISION-24DEC-C25
2024-12-06 22:03:00+00:00,84.0,84,86,295,84.0,84.0,84.0,84,84,84,86,86,86,,KXFEDDECISION-24DEC-C25
2024-12-06 22:08:00+00:00,,84,87,0,,,,84,84,84,86,87,86,,KXFEDDECISION-24DEC-C25
2024-12-06 22:27:00+00:00,87.0,84,87,56,87.0,87.0,87.0,84,84,84,87,87,87,,KXFEDDECISION-24DEC-C25
2024-12-06 22:29:00+00:00,,85,87,0,,,,84,85,84,87,87,87,,KXFEDDECISION-24DEC-C25
2024-12-06 22:39:00+00:00,85.0,85,87,134,85.0,85.0,85.0,85,85,85,87,87,87,,KXFEDDECISION-24DEC-C25
2024-12-06 22:40:00+00:00,,85,86,0,,,,85,85,85,87,87,86,,KXFEDDECISION-24DEC-C25
2024-12-06 23:10:00+00:00,85.0,85,86,62,85.0,85.0,85.0,85,85,85,86,86,86,,KXFEDDECISION-24DEC-C25
2024-12-06 23:16:00+00:00,87.0,85,87,212,85.0,87.0,85.0,85,85,85,86,87,86,,KXFEDDECISION-24DEC-C25
2024-12-06 23:18:00+00:00,84.0,84,87,231,85.0,85.0,84.0,85,85,84,87,87,87,,KXFEDDECISION-24DEC-C25
2024-12-06 23:19:00+00:00,,85,87,0,,,,84,85,84,87,87,87,,KXFEDDECISION-24DEC-C25
2024-12-06 23:29:00+00:00,,85,86,0,,,,85,85,85,87,87,86,,KXFEDDECISION-24DEC-C25
2024-12-07 00:17:00+00:00,86.0,85,86,57,86.0,86.0,86.0,85,85,85,86,86,86,,KXFEDDECISION-24DEC-C25
2024-12-07 00:20:00+00:00,85.0,85,86,30,85.0,85.0,85.0,85,85,85,86,86,86,,KXFEDDECISION-24DEC-C25
2024-12-07 00:25:00+00:00,85.0,85,86,30,85.0,85.0,85.0,85,85,85,86,86,86,,KXFEDDECISION-24DEC-C25
2024-12-07 01:34:00+00:00,86.0,85,86,113,86.0,86.0,86.0,85,85,85,86,86,86,,KXFEDDECISION-24DEC-C25
2024-12-07 01:57:00+00:00,86.0,85,86,28,86.0,86.0,86.0,85,85,85,86,86,86,,KXFEDDECISION-24DEC-C25
2024-12-07 02:32:00+00:00,85.0,85,86,44,85.0,85.0,85.0,85,85,85,86,86,86,,KXFEDDECISION-24DEC-C25
2024-12-07 02:53:00+00:00,86.0,85,87,120,86.0,86.0,86.0,85,85,85,86,87,86,,KXFEDDECISION-24DEC-C25
2024-12-07 03:07:00+00:00,86.0,86,87,4,86.0,86.0,86.0,85,86,85,87,87,87,,KXFEDDECISION-24DEC-C25
2024-12-07 03:09:00+00:00,86.0,86,87,134,86.0,86.0,86.0,86,86,86,87,87,87,,KXFEDDECISION-24DEC-C25
2024-12-07 03:17:00+00:00,86.0,86,87,202,86.0,86.0,86.0,86,86,86,87,87,87,,KXFEDDECISION-24DEC-C25
2024-12-07 03:29:00+00:00,86.0,86,87,3,86.0,86.0,86.0,86,86,86,87,87,87,,KXFEDDECISION-24DEC-C25
2024-12-07 05:24:00+00:00,87.0,86,87,3,87.0,87.0,87.0,86,86,86,87,87,87,,KXFEDDECISION-24DEC-C25
2024-12-07 13:12:00+00:00,86.0,86,87,16,86.0,86.0,86.0,86,86,86,87,87,87,,KXFEDDECISION-24DEC-C25
2024-12-07 14:26:00+00:00,86.0,86,87,12,86.0,86.0,86.0,86,86,86,87,87,87,,KXFEDDECISION-24DEC-C25
2024-12-07 14:32:00+00:00,87.0,86,87,56,87.0,87.0,87.0,86,86,86,87,87,87,,KXFEDDECISION-24DEC-C25
2024-12-07 15:03:00+00:00,88.0,86,88,1138,87.0,88.0,87.0,86,86,86,87,88,87,,KXFEDDECISION-24DEC-C25
2024-12-07 15:11:00+00:00,88.0,86,88,112,88.0,88.0,88.0,86,86,86,88,88,88,,KXFEDDECISION-24DEC-C25
2024-12-07 15:59:00+00:00,88.0,86,88,84,88.0,88.0,88.0,86,86,86,88,88,88,,KXFEDDECISION-24DEC-C25
2024-12-07 16:13:00+00:00,88.0,86,88,1523,88.0,88.0,88.0,86,86,86,88,88,88,,KXFEDDECISION-24DEC-C25
2024-12-07 16:34:00+00:00,,86,88,0,,,,86,86,86,88,89,88,,KXFEDDECISION-24DEC-C25
2024-12-07 16:45:00+00:00,88.0,86,88,219,88.0,88.0,88.0,86,86,86,88,88,88,,KXFEDDECISION-24DEC-C25
2024-12-07 16:55:00+00:00,84.0,84,88,1523,86.0,86.0,84.0,86,86,84,88,88,88,,KXFEDDECISION-24DEC-C25
