datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2024-12-06 20:42:00+00:00,,13,14,0,,,,12,13,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-06 20:44:00+00:00,14.0,13,14,352,14.0,14.0,14.0,13,13,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-06 20:45:00+00:00,,12,14,0,,,,13,13,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-06 20:46:00+00:00,,12,14,0,,,,12,13,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-06 20:49:00+00:00,,13,14,0,,,,12,13,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-06 20:53:00+00:00,,13,14,0,,,,13,13,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-06 20:54:00+00:00,,12,14,0,,,,13,13,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-06 20:55:00+00:00,,12,14,0,,,,12,13,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-06 20:56:00+00:00,,13,14,0,,,,12,13,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-06 20:57:00+00:00,,13,14,0,,,,13,13,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-06 20:59:00+00:00,,13,14,0,,,,13,13,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-06 21:00:00+00:00,,12,14,0,,,,13,13,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-06 21:01:00+00:00,,12,14,0,,,,12,13,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-06 21:02:00+00:00,,13,14,0,,,,12,13,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-06 21:03:00+00:00,,13,14,0,,,,13,13,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-06 21:06:00+00:00,,12,14,0,,,,13,13,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-06 21:07:00+00:00,,13,14,0,,,,12,13,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-06 21:08:00+00:00,,12,14,0,,,,13,13,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-06 21:13:00+00:00,,13,14,0,,,,12,13,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-06 21:17:00+00:00,,12,14,0,,,,13,13,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-06 21:18:00+00:00,,13,14,0,,,,12,13,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-06 21:19:00+00:00,,13,14,0,,,,13,13,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-06 21:22:00+00:00,,12,14,0,,,,13,13,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-06 21:24:00+00:00,,13,14,0,,,,12,13,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-06 21:25:00+00:00,,13,14,0,,,,13,13,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-06 21:26:00+00:00,,13,14,0,,,,13,13,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-06 21:31:00+00:00,,12,14,0,,,,13,13,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-06 21:50:00+00:00,,12,13,0,,,,12,12,12,14,14,13,,KXFEDDECISION-24DEC-H0
2024-12-06 22:00:00+00:00,13.0,12,14,100,13.0,13.0,13.0,12,13,12,13,14,13,,KXFEDDECISION-24DEC-H0
2024-12-06 22:13:00+00:00,14.0,12,14,93,14.0,14.0,14.0,12,12,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-06 22:27:00+00:00,,13,14,0,,,,12,13,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-06 22:36:00+00:00,12.0,12,14,371,13.0,13.0,12.0,13,13,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-06 23:09:00+00:00,14.0,12,14,268,14.0,14.0,14.0,12,12,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-06 23:30:00+00:00,,13,14,0,,,,12,13,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-07 00:06:00+00:00,12.0,12,14,153,13.0,13.0,12.0,13,13,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-07 00:07:00+00:00,14.0,12,14,336,14.0,14.0,14.0,12,12,12,14,14,14,,KXFEDDECISION-24DEC-H0
2024-12-07 00:10:00+00:00,14.0,14,15,26,14.0,14.0,14.0,12,14,12,14,15,14,,KXFEDDECISION-24DEC-H0
2024-12-07 00:17:00+00:00,14.0,14,15,8,14.0,14.0,14.0,14,14,14,15,15,15,,KXFEDDECISION-24DEC-H0
2024-12-07 00:25:00+00:00,14.0,14,15,17,14.0,14.0,14.0,14,14,14,15,15,15,,KXFEDDECISION-24DEC-H0
2024-12-07 01:17:00+00:00,15.0,14,15,109,15.0,15.0,15.0,14,14,14,15,15,15,,KXFEDDECISION-24DEC-H0
2024-12-07 01:32:00+00:00,15.0,14,15,1,15.0,15.0,15.0,14,14,14,15,15,15,,KXFEDDECISION-24DEC-H0
2024-12-07 01:57:00+00:00,14.0,14,15,18,14.0,14.0,14.0,14,14,14,15,15,15,,KXFEDDECISION-24DEC-H0
2024-12-07 02:32:00+00:00,15.0,14,15,62,15.0,15.0,15.0,14,14,14,15,15,15,,KXFEDDECISION-24DEC-H0
2024-12-07 02:40:00+00:00,,14,15,0,,,,14,14,14,15,16,15,,KXFEDDECISION-24DEC-H0
2024-12-07 02:53:00+00:00,14.0,14,15,77,14.0,14.0,14.0,14,14,14,15,15,15,,KXFEDDECISION-24DEC-H0
2024-12-07 03:07:00+00:00,14.0,12,14,4,14.0,14.0,14.0,14,14,12,15,15,14,,KXFEDDECISION-24DEC-H0
2024-12-07 03:09:00+00:00,14.0,12,14,134,14.0,14.0,14.0,12,12,12,14,14,14,,KXFEDDECISION-24DEC-H0
