datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2024-12-18 15:01:00+00:00,,16,20,0,,,,0,16,0,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 15:02:00+00:00,16.0,16,20,7,16.0,16.0,16.0,16,16,16,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 15:04:00+00:00,,15,19,0,,,,16,16,15,20,20,19,,KXFEDDECISION-25JAN-C25
2024-12-18 15:05:00+00:00,,15,19,0,,,,15,16,15,19,20,19,,KXFEDDECISION-25JAN-C25
2024-12-18 15:08:00+00:00,,16,20,0,,,,15,16,15,19,20,19,,KXFEDDECISION-25JAN-C25
2024-12-18 15:11:00+00:00,,15,19,0,,,,16,16,15,20,20,19,,KXFEDDECISION-25JAN-C25
2024-12-18 15:17:00+00:00,,16,20,0,,,,15,16,15,19,20,19,,KXFEDDECISION-25JAN-C25
2024-12-18 15:24:00+00:00,,16,20,0,,,,16,16,15,20,20,19,,KXFEDDECISION-25JAN-C25
2024-12-18 15:28:00+00:00,,17,21,0,,,,16,17,16,20,21,20,,KXFEDDECISION-25JAN-C25
2024-12-18 15:29:00+00:00,,16,20,0,,,,17,17,0,21,21,20,,KXFEDDECISION-25JAN-C25
2024-12-18 15:30:00+00:00,,16,19,0,,,,16,16,16,20,20,19,,KXFEDDECISION-25JAN-C25
2024-12-18 15:31:00+00:00,,17,20,0,,,,16,18,16,19,20,19,,KXFEDDECISION-25JAN-C25
2024-12-18 15:32:00+00:00,,18,20,0,,,,17,18,17,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 15:34:00+00:00,,17,20,0,,,,18,18,17,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 15:38:00+00:00,,15,19,0,,,,17,17,15,20,20,19,,KXFEDDECISION-25JAN-C25
2024-12-18 15:39:00+00:00,,17,20,0,,,,15,17,15,19,20,19,,KXFEDDECISION-25JAN-C25
2024-12-18 15:41:00+00:00,,17,20,0,,,,17,17,16,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 15:48:00+00:00,,16,20,0,,,,17,17,16,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 15:51:00+00:00,,16,20,0,,,,16,17,16,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 15:52:00+00:00,,17,20,0,,,,16,17,0,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 15:55:00+00:00,,16,20,0,,,,17,17,16,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 15:57:00+00:00,,17,20,0,,,,16,17,16,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 16:02:00+00:00,,16,20,0,,,,17,17,16,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 16:03:00+00:00,,17,20,0,,,,16,17,16,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 16:07:00+00:00,,17,20,0,,,,17,17,16,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 16:08:00+00:00,,16,20,0,,,,17,17,16,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 16:10:00+00:00,,17,20,0,,,,16,17,15,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 16:11:00+00:00,,16,20,0,,,,17,17,16,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 16:12:00+00:00,,17,20,0,,,,16,17,16,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 16:13:00+00:00,,16,20,0,,,,17,17,16,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 16:14:00+00:00,,18,20,0,,,,16,18,16,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 16:22:00+00:00,,18,20,0,,,,18,18,17,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 16:23:00+00:00,,17,20,0,,,,18,18,17,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 16:35:00+00:00,,18,20,0,,,,17,18,15,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 16:37:00+00:00,,16,20,0,,,,18,18,16,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 16:38:00+00:00,,17,20,0,,,,16,17,16,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 16:39:00+00:00,,18,20,0,,,,17,18,17,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 16:40:00+00:00,,17,20,0,,,,18,18,17,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 16:41:00+00:00,,16,20,0,,,,17,17,16,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 16:43:00+00:00,,18,20,0,,,,16,18,16,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 16:44:00+00:00,,17,20,0,,,,18,18,16,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 16:45:00+00:00,,16,20,0,,,,17,17,16,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 16:47:00+00:00,,17,20,0,,,,16,17,16,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 16:49:00+00:00,,17,20,0,,,,17,18,15,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 16:50:00+00:00,,18,20,0,,,,17,18,17,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 16:51:00+00:00,,18,20,0,,,,18,18,17,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 16:53:00+00:00,18.0,18,20,4,18.0,18.0,18.0,18,18,18,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 16:54:00+00:00,,18,19,0,,,,18,18,18,20,20,19,,KXFEDDECISION-25JAN-C25
2024-12-18 16:55:00+00:00,,16,19,0,,,,18,18,16,19,19,19,,KXFEDDECISION-25JAN-C25
2024-12-18 16:57:00+00:00,,18,19,0,,,,16,18,16,19,19,19,,KXFEDDECISION-25JAN-C25
2024-12-18 17:01:00+00:00,,17,19,0,,,,18,18,17,19,19,19,,KXFEDDECISION-25JAN-C25
2024-12-18 17:04:00+00:00,,18,19,0,,,,17,18,17,19,19,19,,KXFEDDECISION-25JAN-C25
2024-12-18 17:07:00+00:00,,17,19,0,,,,18,18,17,19,19,19,,KXFEDDECISION-25JAN-C25
2024-12-18 17:09:00+00:00,,18,19,0,,,,17,18,15,19,19,19,,KXFEDDECISION-25JAN-C25
2024-12-18 17:11:00+00:00,,17,19,0,,,,18,18,17,19,19,19,,KXFEDDECISION-25JAN-C25
2024-12-18 17:18:00+00:00,,18,19,0,,,,17,18,17,19,19,19,,KXFEDDECISION-25JAN-C25
2024-12-18 17:19:00+00:00,,17,19,0,,,,18,18,17,19,19,19,,KXFEDDECISION-25JAN-C25
2024-12-18 17:20:00+00:00,,18,19,0,,,,17,18,17,19,19,19,,KXFEDDECISION-25JAN-C25
2024-12-18 17:21:00+00:00,19.0,19,20,6,19.0,19.0,19.0,18,19,18,19,20,19,,KXFEDDECISION-25JAN-C25
2024-12-18 17:28:00+00:00,,18,20,0,,,,19,19,18,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 17:29:00+00:00,,19,20,0,,,,18,19,18,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 17:30:00+00:00,,18,20,0,,,,19,19,18,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 17:33:00+00:00,,17,20,0,,,,18,18,17,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 17:34:00+00:00,,18,20,0,,,,17,18,15,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 17:37:00+00:00,,17,20,0,,,,18,18,17,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 17:39:00+00:00,,18,20,0,,,,17,18,17,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 17:44:00+00:00,,17,20,0,,,,18,18,17,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 17:45:00+00:00,,18,20,0,,,,17,18,17,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 17:46:00+00:00,,17,20,0,,,,18,18,17,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 17:48:00+00:00,,18,20,0,,,,17,18,17,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 18:05:00+00:00,,17,20,0,,,,18,18,17,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 18:13:00+00:00,,18,20,0,,,,17,18,15,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 18:18:00+00:00,,17,20,0,,,,18,18,17,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 18:19:00+00:00,20.0,17,20,84,20.0,20.0,20.0,17,17,17,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 18:20:00+00:00,17.0,18,20,80,17.0,17.0,17.0,17,18,17,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 18:21:00+00:00,20.0,17,20,89,20.0,20.0,20.0,18,18,17,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 18:24:00+00:00,,18,20,0,,,,17,18,17,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 18:25:00+00:00,,18,20,0,,,,18,18,17,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 18:26:00+00:00,,17,20,0,,,,18,18,17,20,20,20,,KXFEDDECISION-25JAN-C25
2024-12-18 18:32:00+00:00,,18,20,0,,,,17,18,17,20,20,20,,KXFEDDECISION-25JAN-C25
