datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2024-12-18 15:01:00+00:00,,80,84,0,,,,0,80,0,84,84,84,,KXFEDDECISION-25JAN-H0
2024-12-18 15:02:00+00:00,84.0,80,84,5,84.0,84.0,84.0,80,80,80,84,84,84,,KXFEDDECISION-25JAN-H0
2024-12-18 15:28:00+00:00,,79,83,0,,,,80,80,79,84,84,83,,KXFEDDECISION-25JAN-H0
2024-12-18 15:31:00+00:00,,78,82,0,,,,79,79,78,83,83,82,,KXFEDDECISION-25JAN-H0
2024-12-18 15:34:00+00:00,,79,83,0,,,,78,79,78,82,83,82,,KXFEDDECISION-25JAN-H0
2024-12-18 15:38:00+00:00,83.0,80,84,100,83.0,83.0,83.0,79,80,79,83,84,83,,KXFEDDECISION-25JAN-H0
2024-12-18 15:39:00+00:00,,80,83,0,,,,80,80,80,84,84,83,,KXFEDDECISION-25JAN-H0
2024-12-18 15:41:00+00:00,,80,83,0,,,,80,80,80,83,84,83,,KXFEDDECISION-25JAN-H0
2024-12-18 15:42:00+00:00,,80,84,0,,,,80,80,80,83,84,83,,KXFEDDECISION-25JAN-H0
2024-12-18 15:43:00+00:00,,80,83,0,,,,80,80,80,84,84,83,,KXFEDDECISION-25JAN-H0
2024-12-18 16:14:00+00:00,,80,82,0,,,,80,80,80,83,84,82,,KXFEDDECISION-25JAN-H0
2024-12-18 16:37:00+00:00,,80,83,0,,,,80,80,80,82,83,82,,KXFEDDECISION-25JAN-H0
2024-12-18 16:38:00+00:00,,80,82,0,,,,80,80,80,83,83,82,,KXFEDDECISION-25JAN-H0
2024-12-18 16:40:00+00:00,,80,83,0,,,,80,80,80,82,83,82,,KXFEDDECISION-25JAN-H0
2024-12-18 16:43:00+00:00,,80,82,0,,,,80,80,80,83,83,82,,KXFEDDECISION-25JAN-H0
2024-12-18 16:44:00+00:00,,80,83,0,,,,80,80,80,82,83,82,,KXFEDDECISION-25JAN-H0
2024-12-18 16:47:00+00:00,,80,82,0,,,,80,80,80,83,83,82,,KXFEDDECISION-25JAN-H0
2024-12-18 16:48:00+00:00,,80,83,0,,,,80,80,80,82,83,82,,KXFEDDECISION-25JAN-H0
2024-12-18 16:49:00+00:00,,80,82,0,,,,80,80,80,83,83,82,,KXFEDDECISION-25JAN-H0
2024-12-18 16:54:00+00:00,,81,82,0,,,,80,81,80,82,82,82,,KXFEDDECISION-25JAN-H0
2024-12-18 16:55:00+00:00,,81,83,0,,,,81,81,81,82,83,82,,KXFEDDECISION-25JAN-H0
2024-12-18 16:57:00+00:00,,81,82,0,,,,81,81,81,83,84,82,,KXFEDDECISION-25JAN-H0
2024-12-18 17:20:00+00:00,81.0,80,81,3,81.0,81.0,81.0,81,81,80,82,82,81,,KXFEDDECISION-25JAN-H0
2024-12-18 17:28:00+00:00,,80,82,0,,,,80,80,80,81,82,81,,KXFEDDECISION-25JAN-H0
2024-12-18 17:29:00+00:00,,80,81,0,,,,80,80,80,82,82,81,,KXFEDDECISION-25JAN-H0
2024-12-18 17:31:00+00:00,,80,82,0,,,,80,80,80,81,82,81,,KXFEDDECISION-25JAN-H0
2024-12-18 17:35:00+00:00,,81,82,0,,,,80,81,80,82,82,82,,KXFEDDECISION-25JAN-H0
2024-12-18 17:37:00+00:00,82.0,81,82,2,82.0,82.0,82.0,81,81,81,82,82,82,,KXFEDDECISION-25JAN-H0
2024-12-18 17:56:00+00:00,82.0,81,82,400,82.0,82.0,82.0,81,81,81,82,82,82,,KXFEDDECISION-25JAN-H0
2024-12-18 18:37:00+00:00,82.0,81,82,90,82.0,82.0,82.0,81,81,81,82,82,82,,KXFEDDECISION-25JAN-H0
2024-12-18 18:40:00+00:00,81.0,80,81,200,81.0,81.0,81.0,81,81,80,82,82,81,,KXFEDDECISION-25JAN-H0
2024-12-18 18:46:00+00:00,81.0,80,81,121,81.0,81.0,81.0,80,80,80,81,84,81,,KXFEDDECISION-25JAN-H0
2024-12-18 18:48:00+00:00,,80,82,0,,,,80,80,80,81,82,81,,KXFEDDECISION-25JAN-H0
