datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-06-18 14:01:00+00:00,,8,99,0,,,,8,8,8,100,100,99,,KXFEDDECISION-25JUL-C25
2025-06-18 14:05:00+00:00,,8,25,0,,,,8,8,8,99,99,25,,KXFEDDECISION-25JUL-C25
2025-06-18 14:08:00+00:00,,8,25,0,,,,8,8,8,25,25,25,,KXFEDDECISION-25JUL-C25
2025-06-18 14:17:00+00:00,,9,25,0,,,,8,9,8,25,25,25,,KXFEDDECISION-25JUL-C25
2025-06-18 14:19:00+00:00,,9,25,0,,,,9,9,9,25,25,25,,KXFEDDECISION-25JUL-C25
2025-06-18 14:20:00+00:00,,9,25,0,,,,9,9,9,25,25,25,,KXFEDDECISION-25JUL-C25
2025-06-18 14:21:00+00:00,,9,21,0,,,,9,9,9,25,25,21,,KXFEDDECISION-25JUL-C25
2025-06-18 14:22:00+00:00,,9,20,0,,,,9,9,9,21,21,20,,KXFEDDECISION-25JUL-C25
2025-06-18 14:24:00+00:00,,9,20,0,,,,9,9,9,20,20,20,,KXFEDDECISION-25JUL-C25
2025-06-18 14:28:00+00:00,,9,20,0,,,,9,9,9,20,20,20,,KXFEDDECISION-25JUL-C25
2025-06-18 14:29:00+00:00,,9,20,0,,,,9,9,9,20,20,20,,KXFEDDECISION-25JUL-C25
2025-06-18 14:30:00+00:00,,9,20,0,,,,9,9,9,20,20,20,,KXFEDDECISION-25JUL-C25
2025-06-18 14:40:00+00:00,,9,20,0,,,,9,9,9,20,20,20,,KXFEDDECISION-25JUL-C25
2025-06-18 14:41:00+00:00,,9,20,0,,,,9,9,9,20,20,20,,KXFEDDECISION-25JUL-C25
2025-06-18 14:42:00+00:00,,9,20,0,,,,9,9,9,20,20,20,,KXFEDDECISION-25JUL-C25
2025-06-18 14:43:00+00:00,,9,20,0,,,,9,9,9,20,20,20,,KXFEDDECISION-25JUL-C25
2025-06-18 14:44:00+00:00,,9,20,0,,,,9,9,9,20,20,20,,KXFEDDECISION-25JUL-C25
2025-06-18 14:45:00+00:00,,9,20,0,,,,9,9,9,20,20,20,,KXFEDDECISION-25JUL-C25
2025-06-18 14:46:00+00:00,,9,20,0,,,,9,9,9,20,20,20,,KXFEDDECISION-25JUL-C25
2025-06-18 14:47:00+00:00,,9,20,0,,,,9,9,9,20,20,20,,KXFEDDECISION-25JUL-C25
2025-06-18 14:48:00+00:00,,9,20,0,,,,9,9,9,20,20,20,,KXFEDDECISION-25JUL-C25
2025-06-18 14:49:00+00:00,,9,20,0,,,,9,9,9,20,20,20,,KXFEDDECISION-25JUL-C25
2025-06-18 14:50:00+00:00,,9,20,0,,,,9,9,9,20,20,20,,KXFEDDECISION-25JUL-C25
2025-06-18 14:51:00+00:00,,9,20,0,,,,9,9,9,20,20,20,,KXFEDDECISION-25JUL-C25
2025-06-18 14:52:00+00:00,,9,20,0,,,,9,9,9,20,20,20,,KXFEDDECISION-25JUL-C25
2025-06-18 14:53:00+00:00,,9,20,0,,,,9,9,9,20,20,20,,KXFEDDECISION-25JUL-C25
2025-06-18 14:55:00+00:00,,9,20,0,,,,9,9,9,20,20,20,,KXFEDDECISION-25JUL-C25
2025-06-18 14:58:00+00:00,,9,20,0,,,,9,9,9,20,20,20,,KXFEDDECISION-25JUL-C25
2025-06-18 14:59:00+00:00,,9,20,0,,,,9,9,9,20,20,20,,KXFEDDECISION-25JUL-C25
2025-06-18 15:00:00+00:00,9.0,9,20,1600,9.0,9.0,9.0,9,9,9,20,20,20,,KXFEDDECISION-25JUL-C25
2025-06-18 15:01:00+00:00,,9,20,0,,,,9,9,9,20,20,20,,KXFEDDECISION-25JUL-C25
2025-06-18 15:02:00+00:00,,9,20,0,,,,9,9,9,20,20,20,,KXFEDDECISION-25JUL-C25
2025-06-18 15:03:00+00:00,,9,19,0,,,,9,9,9,20,20,19,,KXFEDDECISION-25JUL-C25
2025-06-18 15:04:00+00:00,,9,18,0,,,,9,9,9,19,19,18,,KXFEDDECISION-25JUL-C25
2025-06-18 15:05:00+00:00,,9,18,0,,,,9,9,9,18,18,18,,KXFEDDECISION-25JUL-C25
2025-06-18 15:07:00+00:00,,9,18,0,,,,9,9,9,18,18,18,,KXFEDDECISION-25JUL-C25
2025-06-18 15:08:00+00:00,,9,18,0,,,,9,9,9,18,18,18,,KXFEDDECISION-25JUL-C25
2025-06-18 15:09:00+00:00,,10,17,0,,,,9,10,9,18,18,17,,KXFEDDECISION-25JUL-C25
2025-06-18 15:12:00+00:00,17.0,10,17,277,17.0,17.0,17.0,10,10,10,17,17,17,,KXFEDDECISION-25JUL-C25
2025-06-18 15:13:00+00:00,,10,17,0,,,,10,10,10,17,17,17,,KXFEDDECISION-25JUL-C25
