datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-06-18 14:01:00+00:00,,76,90,0,,,,0,76,0,99,99,90,,KXFEDDECISION-25JUL-H0
2025-06-18 14:02:00+00:00,,80,90,0,,,,76,80,76,90,90,90,,KXFEDDECISION-25JUL-H0
2025-06-18 14:03:00+00:00,,80,90,0,,,,80,80,80,90,90,90,,KXFEDDECISION-25JUL-H0
2025-06-18 14:04:00+00:00,,70,90,0,,,,80,80,70,90,90,90,,KXFEDDECISION-25JUL-H0
2025-06-18 14:05:00+00:00,,70,90,0,,,,70,70,70,90,90,90,,KXFEDDECISION-25JUL-H0
2025-06-18 14:06:00+00:00,,70,89,0,,,,70,70,70,90,90,89,,KXFEDDECISION-25JUL-H0
2025-06-18 14:08:00+00:00,,77,89,0,,,,70,77,70,89,89,89,,KXFEDDECISION-25JUL-H0
2025-06-18 14:09:00+00:00,,70,89,0,,,,77,77,70,89,89,89,,KXFEDDECISION-25JUL-H0
2025-06-18 14:11:00+00:00,,75,89,0,,,,70,75,70,89,89,89,,KXFEDDECISION-25JUL-H0
2025-06-18 14:21:00+00:00,,77,89,0,,,,75,77,75,89,89,89,,KXFEDDECISION-25JUL-H0
2025-06-18 14:22:00+00:00,,80,89,0,,,,77,80,77,89,89,89,,KXFEDDECISION-25JUL-H0
2025-06-18 14:24:00+00:00,,80,89,0,,,,80,80,80,89,89,89,,KXFEDDECISION-25JUL-H0
2025-06-18 14:27:00+00:00,,80,89,0,,,,80,80,80,89,89,89,,KXFEDDECISION-25JUL-H0
2025-06-18 14:29:00+00:00,,80,89,0,,,,80,80,80,89,89,89,,KXFEDDECISION-25JUL-H0
2025-06-18 14:34:00+00:00,,80,89,0,,,,80,80,80,89,89,89,,KXFEDDECISION-25JUL-H0
2025-06-18 14:39:00+00:00,,80,89,0,,,,80,80,80,89,89,89,,KXFEDDECISION-25JUL-H0
2025-06-18 14:40:00+00:00,,80,89,0,,,,80,80,80,89,89,89,,KXFEDDECISION-25JUL-H0
2025-06-18 14:41:00+00:00,,80,89,0,,,,80,80,80,89,89,89,,KXFEDDECISION-25JUL-H0
2025-06-18 14:42:00+00:00,,80,89,0,,,,80,80,80,89,89,89,,KXFEDDECISION-25JUL-H0
2025-06-18 14:43:00+00:00,,80,89,0,,,,80,80,80,89,89,89,,KXFEDDECISION-25JUL-H0
