datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-05-07 14:01:00+00:00,,1,99,0,,,,1,1,1,100,100,99,,KXFEDDECISION-25JUN-C26
2025-05-07 14:10:00+00:00,,1,98,0,,,,1,1,1,99,99,98,,KXFEDDECISION-25JUN-C26
2025-05-07 14:11:00+00:00,,1,98,0,,,,1,1,1,98,98,98,,KXFEDDECISION-25JUN-C26
2025-05-07 14:15:00+00:00,,1,95,0,,,,1,1,1,98,98,95,,KXFEDDECISION-25JUN-C26
2025-05-07 14:23:00+00:00,,1,94,0,,,,1,1,1,95,95,94,,KXFEDDECISION-25JUN-C26
2025-05-07 15:11:00+00:00,,1,30,0,,,,1,1,1,94,94,30,,KXFEDDECISION-25JUN-C26
2025-05-07 15:45:00+00:00,,2,8,0,,,,1,2,1,30,30,8,,KXFEDDECISION-25JUN-C26
2025-05-07 15:46:00+00:00,,3,8,0,,,,2,3,2,8,8,8,,KXFEDDECISION-25JUN-C26
2025-05-07 15:47:00+00:00,,3,8,0,,,,3,3,3,8,30,8,,KXFEDDECISION-25JUN-C26
2025-05-07 15:58:00+00:00,,4,8,0,,,,3,4,3,8,8,8,,KXFEDDECISION-25JUN-C26
2025-05-07 15:59:00+00:00,,4,8,0,,,,4,4,4,8,8,8,,KXFEDDECISION-25JUN-C26
2025-05-07 16:17:00+00:00,,4,8,0,,,,4,4,4,8,8,8,,KXFEDDECISION-25JUN-C26
2025-05-07 16:19:00+00:00,,4,7,0,,,,4,4,4,8,8,7,,KXFEDDECISION-25JUN-C26
2025-05-07 16:27:00+00:00,,4,7,0,,,,4,4,4,7,7,7,,KXFEDDECISION-25JUN-C26
2025-05-07 16:55:00+00:00,7.0,4,7,67,7.0,7.0,7.0,4,4,4,7,7,7,,KXFEDDECISION-25JUN-C26
2025-05-07 16:59:00+00:00,,4,7,0,,,,4,4,4,7,7,7,,KXFEDDECISION-25JUN-C26
2025-05-07 17:00:00+00:00,,4,7,0,,,,4,4,4,7,7,7,,KXFEDDECISION-25JUN-C26
2025-05-07 17:03:00+00:00,,4,7,0,,,,4,4,4,7,7,7,,KXFEDDECISION-25JUN-C26
2025-05-07 17:04:00+00:00,,4,7,0,,,,4,4,4,7,7,7,,KXFEDDECISION-25JUN-C26
2025-05-07 17:19:00+00:00,,4,7,0,,,,4,4,4,7,7,7,,KXFEDDECISION-25JUN-C26
2025-05-07 17:20:00+00:00,,4,7,0,,,,4,4,4,7,7,7,,KXFEDDECISION-25JUN-C26
2025-05-07 17:21:00+00:00,,4,8,0,,,,4,4,4,7,8,7,,KXFEDDECISION-25JUN-C26
2025-05-07 17:28:00+00:00,,4,8,0,,,,4,4,4,8,8,8,,KXFEDDECISION-25JUN-C26
2025-05-07 17:32:00+00:00,,4,8,0,,,,4,4,4,8,8,8,,KXFEDDECISION-25JUN-C26
2025-05-07 17:33:00+00:00,4.0,4,8,13,4.0,4.0,4.0,4,4,4,8,8,8,,KXFEDDECISION-25JUN-C26
2025-05-07 17:35:00+00:00,,4,7,0,,,,4,4,4,8,8,7,,KXFEDDECISION-25JUN-C26
2025-05-07 17:36:00+00:00,,4,7,0,,,,4,4,4,7,7,7,,KXFEDDECISION-25JUN-C26
2025-05-07 17:42:00+00:00,,4,7,0,,,,4,4,4,7,7,7,,KXFEDDECISION-25JUN-C26
2025-05-07 17:51:00+00:00,,4,7,0,,,,4,4,4,7,7,7,,KXFEDDECISION-25JUN-C26
2025-05-07 17:52:00+00:00,,4,7,0,,,,4,4,4,7,7,7,,KXFEDDECISION-25JUN-C26
2025-05-07 17:53:00+00:00,,4,7,0,,,,4,4,4,7,7,7,,KXFEDDECISION-25JUN-C26
2025-05-07 17:56:00+00:00,,4,7,0,,,,4,4,4,7,7,7,,KXFEDDECISION-25JUN-C26
2025-05-07 18:01:00+00:00,4.0,4,7,550,4.0,4.0,4.0,4,4,4,7,7,7,,KXFEDDECISION-25JUN-C26
2025-05-07 18:02:00+00:00,4.0,4,7,100,4.0,4.0,4.0,4,4,4,7,7,7,,KXFEDDECISION-25JUN-C26
2025-05-07 18:03:00+00:00,4.0,4,6,100,4.0,4.0,4.0,4,4,4,7,7,6,,KXFEDDECISION-25JUN-C26
2025-05-07 18:05:00+00:00,,4,6,0,,,,4,4,4,6,6,6,,KXFEDDECISION-25JUN-C26
2025-05-07 18:06:00+00:00,,4,6,0,,,,4,4,4,6,6,6,,KXFEDDECISION-25JUN-C26
2025-05-07 18:10:00+00:00,,4,6,0,,,,4,4,4,6,6,6,,KXFEDDECISION-25JUN-C26
2025-05-07 18:13:00+00:00,4.0,4,5,100,4.0,4.0,4.0,4,4,4,6,6,5,,KXFEDDECISION-25JUN-C26
2025-05-07 18:14:00+00:00,,4,5,0,,,,4,4,4,5,6,5,,KXFEDDECISION-25JUN-C26
2025-05-07 18:17:00+00:00,,4,5,0,,,,4,4,4,5,5,5,,KXFEDDECISION-25JUN-C26
2025-05-07 18:18:00+00:00,4.0,4,5,500,4.0,4.0,4.0,4,4,4,5,5,5,,KXFEDDECISION-25JUN-C26
2025-05-07 18:19:00+00:00,,4,5,0,,,,4,4,4,5,5,5,,KXFEDDECISION-25JUN-C26
2025-05-07 18:20:00+00:00,,4,5,0,,,,4,4,4,5,5,5,,KXFEDDECISION-25JUN-C26
2025-05-07 18:21:00+00:00,,4,5,0,,,,4,4,4,5,5,5,,KXFEDDECISION-25JUN-C26
2025-05-07 18:22:00+00:00,,4,5,0,,,,4,4,4,5,5,5,,KXFEDDECISION-25JUN-C26
2025-05-07 18:23:00+00:00,,4,5,0,,,,4,4,4,5,5,5,,KXFEDDECISION-25JUN-C26
