datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-05-07 14:01:00+00:00,,1,99,0,,,,1,1,1,100,100,99,,KXFEDDECISION-25JUN-H25
2025-05-07 14:09:00+00:00,,1,98,0,,,,1,1,1,99,99,98,,KXFEDDECISION-25JUN-H25
2025-05-07 14:10:00+00:00,,1,98,0,,,,1,1,1,98,98,98,,KXFEDDECISION-25JUN-H25
2025-05-07 14:11:00+00:00,,1,98,0,,,,1,1,1,98,98,98,,KXFEDDECISION-25JUN-H25
2025-05-07 14:16:00+00:00,,1,95,0,,,,1,1,1,98,98,95,,KXFEDDECISION-25JUN-H25
2025-05-07 14:22:00+00:00,,1,94,0,,,,1,1,1,95,95,94,,KXFEDDECISION-25JUN-H25
2025-05-07 15:12:00+00:00,,1,25,0,,,,1,1,1,94,94,25,,KXFEDDECISION-25JUN-H25
2025-05-07 15:45:00+00:00,,1,3,0,,,,1,1,1,25,25,3,,KXFEDDECISION-25JUN-H25
2025-05-07 15:47:00+00:00,,1,3,0,,,,1,1,1,3,25,3,,KXFEDDECISION-25JUN-H25
2025-05-07 15:59:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXFEDDECISION-25JUN-H25
2025-05-07 16:18:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXFEDDECISION-25JUN-H25
2025-05-07 16:30:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXFEDDECISION-25JUN-H25
2025-05-07 17:22:00+00:00,,1,2,0,,,,1,1,1,3,3,2,,KXFEDDECISION-25JUN-H25
2025-05-07 17:33:00+00:00,1.0,1,2,13,1.0,1.0,1.0,1,1,1,2,2,2,,KXFEDDECISION-25JUN-H25
2025-05-07 17:34:00+00:00,,1,2,0,,,,1,1,1,2,2,2,,KXFEDDECISION-25JUN-H25
2025-05-07 17:36:00+00:00,,1,2,0,,,,1,1,1,2,2,2,,KXFEDDECISION-25JUN-H25
2025-05-07 17:42:00+00:00,,1,2,0,,,,1,1,1,2,2,2,,KXFEDDECISION-25JUN-H25
2025-05-07 17:53:00+00:00,,1,2,0,,,,1,1,1,2,2,2,,KXFEDDECISION-25JUN-H25
2025-05-07 17:56:00+00:00,,1,2,0,,,,1,1,1,2,2,2,,KXFEDDECISION-25JUN-H25
2025-05-07 18:01:00+00:00,1.0,1,2,550,1.0,1.0,1.0,1,1,1,2,2,2,,KXFEDDECISION-25JUN-H25
2025-05-07 18:02:00+00:00,1.0,1,2,100,1.0,1.0,1.0,1,1,1,2,2,2,,KXFEDDECISION-25JUN-H25
2025-05-07 18:03:00+00:00,1.0,1,2,100,1.0,1.0,1.0,1,1,1,2,2,2,,KXFEDDECISION-25JUN-H25
2025-05-07 18:05:00+00:00,2.0,1,3,950,2.0,2.0,2.0,1,2,1,2,3,2,,KXFEDDECISION-25JUN-H25
2025-05-07 18:06:00+00:00,1.0,1,3,6000,1.0,1.0,1.0,1,1,1,3,13,3,,KXFEDDECISION-25JUN-H25
2025-05-07 18:07:00+00:00,,1,2,0,,,,1,1,1,3,13,2,,KXFEDDECISION-25JUN-H25
2025-05-07 18:15:00+00:00,,1,2,0,,,,1,1,1,2,2,2,,KXFEDDECISION-25JUN-H25
2025-05-07 18:26:00+00:00,,1,2,0,,,,1,1,1,2,2,2,,KXFEDDECISION-25JUN-H25
2025-05-07 18:30:00+00:00,,1,2,0,,,,1,1,1,2,2,2,,KXFEDDECISION-25JUN-H25
2025-05-07 18:34:00+00:00,,1,2,0,,,,1,1,1,2,2,2,,KXFEDDECISION-25JUN-H25
2025-05-07 18:40:00+00:00,,1,2,0,,,,1,1,1,2,2,2,,KXFEDDECISION-25JUN-H25
2025-05-07 18:43:00+00:00,,1,2,0,,,,1,1,1,2,2,2,,KXFEDDECISION-25JUN-H25
