datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-01-29 15:09:00+00:00,18.0,18,28,25,18.0,18.0,18.0,14,18,14,100,100,28,,KXFEDDECISION-25MAR-C25
2025-01-29 15:10:00+00:00,18.0,18,28,37,18.0,18.0,18.0,18,18,18,28,28,28,,KXFEDDECISION-25MAR-C25
2025-01-29 15:12:00+00:00,,14,20,0,,,,18,18,14,28,28,20,,KXFEDDECISION-25MAR-C25
2025-01-29 15:15:00+00:00,14.0,14,20,29,14.0,14.0,14.0,14,14,14,20,20,20,,KXFEDDECISION-25MAR-C25
2025-01-29 15:16:00+00:00,14.0,14,24,29,14.0,14.0,14.0,14,14,14,20,24,20,,KXFEDDECISION-25MAR-C25
2025-01-29 15:17:00+00:00,14.0,15,24,29,14.0,14.0,14.0,14,15,14,24,24,24,,KXFEDDECISION-25MAR-C25
2025-01-29 15:18:00+00:00,15.0,15,24,30,15.0,15.0,15.0,15,15,15,24,24,24,,KXFEDDECISION-25MAR-C25
2025-01-29 15:19:00+00:00,,15,23,0,,,,15,15,15,24,24,23,,KXFEDDECISION-25MAR-C25
2025-01-29 15:20:00+00:00,15.0,15,23,58,15.0,15.0,15.0,15,15,15,23,23,23,,KXFEDDECISION-25MAR-C25
2025-01-29 15:29:00+00:00,,15,21,0,,,,15,15,15,23,23,21,,KXFEDDECISION-25MAR-C25
2025-01-29 15:32:00+00:00,,15,23,0,,,,15,15,15,21,23,21,,KXFEDDECISION-25MAR-C25
2025-01-29 15:42:00+00:00,,16,23,0,,,,15,16,15,23,23,23,,KXFEDDECISION-25MAR-C25
2025-01-29 16:07:00+00:00,16.0,16,23,29,16.0,16.0,16.0,16,16,16,23,23,23,,KXFEDDECISION-25MAR-C25
2025-01-29 16:18:00+00:00,,16,22,0,,,,16,16,16,23,23,22,,KXFEDDECISION-25MAR-C25
2025-01-29 16:25:00+00:00,,17,22,0,,,,16,17,15,22,22,22,,KXFEDDECISION-25MAR-C25
2025-01-29 16:26:00+00:00,17.0,17,22,2,17.0,17.0,17.0,17,17,17,22,22,22,,KXFEDDECISION-25MAR-C25
2025-01-29 16:36:00+00:00,,16,22,0,,,,17,17,15,22,22,22,,KXFEDDECISION-25MAR-C25
2025-01-29 17:03:00+00:00,,17,22,0,,,,16,17,16,22,22,22,,KXFEDDECISION-25MAR-C25
2025-01-29 17:13:00+00:00,18.0,18,22,30,18.0,18.0,18.0,17,18,17,22,22,22,,KXFEDDECISION-25MAR-C25
2025-01-29 17:17:00+00:00,23.0,18,23,203,22.0,23.0,22.0,18,18,18,22,23,22,,KXFEDDECISION-25MAR-C25
2025-01-29 17:20:00+00:00,,18,22,0,,,,18,18,18,23,23,22,,KXFEDDECISION-25MAR-C25
2025-01-29 17:52:00+00:00,17.0,17,22,60,18.0,18.0,17.0,18,18,17,22,22,22,,KXFEDDECISION-25MAR-C25
