datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-01-29 15:07:00+00:00,,85,100,0,,,,85,85,85,100,100,100,,KXFEDDECISION-25MAR-H0
2025-01-29 15:09:00+00:00,85.0,72,82,5,85.0,85.0,85.0,85,85,72,100,100,82,,KXFEDDECISION-25MAR-H0
2025-01-29 15:10:00+00:00,82.0,72,82,117,82.0,82.0,82.0,72,72,72,82,82,82,,KXFEDDECISION-25MAR-H0
2025-01-29 15:12:00+00:00,,76,85,0,,,,72,76,72,82,85,82,,KXFEDDECISION-25MAR-H0
2025-01-29 15:16:00+00:00,85.0,76,85,23,85.0,85.0,85.0,76,76,76,85,85,85,,KXFEDDECISION-25MAR-H0
2025-01-29 15:17:00+00:00,85.0,76,85,8,85.0,85.0,85.0,76,76,76,85,85,85,,KXFEDDECISION-25MAR-H0
2025-01-29 15:18:00+00:00,,77,85,0,,,,76,77,76,85,85,85,,KXFEDDECISION-25MAR-H0
2025-01-29 15:19:00+00:00,85.0,77,85,29,85.0,85.0,85.0,77,77,77,85,85,85,,KXFEDDECISION-25MAR-H0
2025-01-29 15:20:00+00:00,85.0,77,85,57,85.0,85.0,85.0,77,77,77,85,85,85,,KXFEDDECISION-25MAR-H0
2025-01-29 15:25:00+00:00,77.0,77,85,40,77.0,77.0,77.0,77,77,77,85,85,85,,KXFEDDECISION-25MAR-H0
2025-01-29 15:26:00+00:00,77.0,77,85,40,77.0,77.0,77.0,77,77,77,85,85,85,,KXFEDDECISION-25MAR-H0
2025-01-29 15:27:00+00:00,76.0,76,85,40,77.0,77.0,76.0,77,77,76,85,85,85,,KXFEDDECISION-25MAR-H0
2025-01-29 15:28:00+00:00,76.0,76,85,30,76.0,76.0,76.0,76,76,76,85,85,85,,KXFEDDECISION-25MAR-H0
2025-01-29 15:29:00+00:00,,79,85,0,,,,76,79,76,85,85,85,,KXFEDDECISION-25MAR-H0
2025-01-29 15:31:00+00:00,76.0,76,85,40,79.0,79.0,76.0,79,79,76,85,85,85,,KXFEDDECISION-25MAR-H0
2025-01-29 15:32:00+00:00,76.0,76,85,40,76.0,76.0,76.0,76,76,76,85,85,85,,KXFEDDECISION-25MAR-H0
2025-01-29 15:33:00+00:00,76.0,76,85,40,76.0,76.0,76.0,76,76,76,85,85,85,,KXFEDDECISION-25MAR-H0
2025-01-29 15:34:00+00:00,76.0,76,85,30,76.0,76.0,76.0,76,76,76,85,85,85,,KXFEDDECISION-25MAR-H0
2025-01-29 15:42:00+00:00,76.0,76,85,20,76.0,76.0,76.0,76,76,76,85,85,85,,KXFEDDECISION-25MAR-H0
2025-01-29 15:43:00+00:00,76.0,76,85,40,76.0,76.0,76.0,76,76,76,85,85,85,,KXFEDDECISION-25MAR-H0
2025-01-29 15:44:00+00:00,76.0,76,85,46,76.0,85.0,76.0,76,76,76,85,85,85,,KXFEDDECISION-25MAR-H0
2025-01-29 15:45:00+00:00,76.0,76,85,40,76.0,76.0,76.0,76,76,76,85,85,85,,KXFEDDECISION-25MAR-H0
