datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-03-19 14:01:00+00:00,,1,99,0,,,,1,1,1,100,100,99,,KXFEDDECISION-25MAY-C26
2025-03-19 14:05:00+00:00,1.0,1,10,10,1.0,1.0,1.0,1,1,1,99,99,10,,KXFEDDECISION-25MAY-C26
2025-03-19 14:06:00+00:00,,1,10,0,,,,1,1,1,10,11,10,,KXFEDDECISION-25MAY-C26
2025-03-19 14:12:00+00:00,,1,10,0,,,,1,1,1,10,11,10,,KXFEDDECISION-25MAY-C26
2025-03-19 14:13:00+00:00,,1,10,0,,,,1,1,1,10,11,10,,KXFEDDECISION-25MAY-C26
2025-03-19 14:15:00+00:00,,1,10,0,,,,1,1,1,10,99,10,,KXFEDDECISION-25MAY-C26
2025-03-19 14:16:00+00:00,,1,10,0,,,,1,1,1,10,11,10,,KXFEDDECISION-25MAY-C26
2025-03-19 14:19:00+00:00,,1,10,0,,,,1,1,1,10,11,10,,KXFEDDECISION-25MAY-C26
2025-03-19 14:20:00+00:00,,1,10,0,,,,1,1,1,10,11,10,,KXFEDDECISION-25MAY-C26
2025-03-19 14:22:00+00:00,,1,10,0,,,,1,1,1,10,11,10,,KXFEDDECISION-25MAY-C26
2025-03-19 14:23:00+00:00,,1,11,0,,,,1,1,1,10,40,10,,KXFEDDECISION-25MAY-C26
2025-03-19 14:24:00+00:00,,1,98,0,,,,1,1,1,11,98,11,,KXFEDDECISION-25MAY-C26
2025-03-19 14:27:00+00:00,,2,96,0,,,,1,2,1,98,98,96,,KXFEDDECISION-25MAY-C26
2025-03-19 14:32:00+00:00,,1,99,0,,,,2,2,1,96,99,96,,KXFEDDECISION-25MAY-C26
2025-03-19 14:33:00+00:00,,2,98,0,,,,1,2,1,99,99,98,,KXFEDDECISION-25MAY-C26
2025-03-19 14:34:00+00:00,,2,97,0,,,,2,2,2,98,98,97,,KXFEDDECISION-25MAY-C26
2025-03-19 14:38:00+00:00,,2,97,0,,,,2,2,2,97,98,97,,KXFEDDECISION-25MAY-C26
2025-03-19 14:39:00+00:00,,4,9,0,,,,2,4,1,97,99,9,,KXFEDDECISION-25MAY-C26
