datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-03-19 14:01:00+00:00,,75,99,0,,,,75,75,75,100,100,99,,KXFEDDECISION-25MAY-H0
2025-03-19 14:05:00+00:00,75.0,55,65,10,75.0,75.0,75.0,75,75,1,99,99,65,,KXFEDDECISION-25MAY-H0
2025-03-19 14:06:00+00:00,66.0,56,66,10,66.0,66.0,66.0,55,56,54,65,67,65,,KXFEDDECISION-25MAY-H0
2025-03-19 14:07:00+00:00,66.0,56,66,1090,66.0,66.0,66.0,56,56,55,66,67,66,,KXFEDDECISION-25MAY-H0
2025-03-19 14:09:00+00:00,66.0,57,66,100,66.0,66.0,65.0,56,57,56,66,66,65,,KXFEDDECISION-25MAY-H0
2025-03-19 14:10:00+00:00,66.0,57,66,80,66.0,66.0,66.0,57,57,57,66,67,66,,KXFEDDECISION-25MAY-H0
2025-03-19 14:11:00+00:00,66.0,57,66,50,66.0,66.0,66.0,57,57,57,66,66,66,,KXFEDDECISION-25MAY-H0
2025-03-19 14:12:00+00:00,66.0,57,66,80,66.0,66.0,66.0,57,57,57,66,67,66,,KXFEDDECISION-25MAY-H0
2025-03-19 14:13:00+00:00,66.0,57,66,90,66.0,66.0,66.0,57,57,57,66,67,66,,KXFEDDECISION-25MAY-H0
2025-03-19 14:14:00+00:00,67.0,57,66,50,66.0,67.0,66.0,57,57,57,66,67,66,,KXFEDDECISION-25MAY-H0
2025-03-19 14:15:00+00:00,67.0,57,67,60,66.0,67.0,66.0,57,57,57,66,99,66,,KXFEDDECISION-25MAY-H0
2025-03-19 14:16:00+00:00,67.0,57,67,90,67.0,67.0,67.0,57,57,57,67,68,67,,KXFEDDECISION-25MAY-H0
2025-03-19 14:18:00+00:00,67.0,57,67,80,67.0,67.0,67.0,57,57,57,67,67,67,,KXFEDDECISION-25MAY-H0
