datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-08-05 14:01:00+00:00,,57,63,0,,,,53,57,53,100,100,63,,KXFEDDECISION-25OCT-C25
2025-08-05 14:47:00+00:00,,57,63,0,,,,57,57,57,63,63,63,,KXFEDDECISION-25OCT-C25
2025-08-05 15:50:00+00:00,,57,63,0,,,,57,57,57,63,63,63,,KXFEDDECISION-25OCT-C25
2025-08-05 16:52:00+00:00,,57,63,0,,,,57,57,57,63,63,63,,KXFEDDECISION-25OCT-C25
2025-08-05 17:54:00+00:00,,57,63,0,,,,57,57,57,63,63,63,,KXFEDDECISION-25OCT-C25
2025-08-05 18:55:00+00:00,,57,63,0,,,,57,57,57,63,63,63,,KXFEDDECISION-25OCT-C25
2025-08-05 19:55:00+00:00,,57,63,0,,,,57,57,57,63,63,63,,KXFEDDECISION-25OCT-C25
2025-08-05 20:54:00+00:00,,57,63,0,,,,57,57,57,63,63,63,,KXFEDDECISION-25OCT-C25
2025-08-05 21:54:00+00:00,,57,63,0,,,,57,57,57,63,63,63,,KXFEDDECISION-25OCT-C25
2025-08-05 22:46:00+00:00,,56,62,0,,,,57,57,1,63,99,62,,KXFEDDECISION-25OCT-C25
2025-08-05 22:53:00+00:00,,56,62,0,,,,56,56,56,62,62,62,,KXFEDDECISION-25OCT-C25
2025-08-05 23:04:00+00:00,,56,62,0,,,,56,56,54,62,62,62,,KXFEDDECISION-25OCT-C25
2025-08-05 23:52:00+00:00,,56,62,0,,,,56,56,56,62,62,62,,KXFEDDECISION-25OCT-C25
2025-08-06 00:17:00+00:00,62.0,56,62,94,62.0,62.0,62.0,56,56,54,62,62,62,,KXFEDDECISION-25OCT-C25
2025-08-06 00:29:00+00:00,,56,61,0,,,,56,56,56,62,62,61,,KXFEDDECISION-25OCT-C25
2025-08-06 00:51:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXFEDDECISION-25OCT-C25
2025-08-06 01:49:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXFEDDECISION-25OCT-C25
2025-08-06 02:08:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXFEDDECISION-25OCT-C25
2025-08-06 02:49:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXFEDDECISION-25OCT-C25
2025-08-06 03:35:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXFEDDECISION-25OCT-C25
2025-08-06 03:46:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXFEDDECISION-25OCT-C25
2025-08-06 04:42:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXFEDDECISION-25OCT-C25
2025-08-06 05:38:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXFEDDECISION-25OCT-C25
2025-08-06 06:33:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXFEDDECISION-25OCT-C25
2025-08-06 07:03:00+00:00,,56,62,0,,,,56,56,56,61,62,61,,KXFEDDECISION-25OCT-C25
2025-08-06 11:01:00+00:00,,56,62,0,,,,56,56,56,62,62,62,,KXFEDDECISION-25OCT-C25
2025-08-06 12:06:00+00:00,,56,62,0,,,,56,56,56,62,62,62,,KXFEDDECISION-25OCT-C25
2025-08-06 12:11:00+00:00,,56,62,0,,,,56,56,56,62,62,62,,KXFEDDECISION-25OCT-C25
2025-08-06 12:22:00+00:00,,56,62,0,,,,56,56,56,62,62,62,,KXFEDDECISION-25OCT-C25
2025-08-06 12:58:00+00:00,,56,62,0,,,,56,56,56,62,62,62,,KXFEDDECISION-25OCT-C25
2025-08-06 13:05:00+00:00,,56,62,0,,,,56,56,56,62,62,62,,KXFEDDECISION-25OCT-C25
2025-08-06 13:12:00+00:00,,56,62,0,,,,56,56,56,62,62,62,,KXFEDDECISION-25OCT-C25
2025-08-06 13:14:00+00:00,,56,62,0,,,,56,56,56,62,62,62,,KXFEDDECISION-25OCT-C25
2025-08-06 13:16:00+00:00,,56,62,0,,,,56,56,56,62,64,62,,KXFEDDECISION-25OCT-C25
2025-08-06 13:17:00+00:00,,56,63,0,,,,56,56,56,62,70,62,,KXFEDDECISION-25OCT-C25
2025-08-06 13:19:00+00:00,,56,63,0,,,,56,56,56,63,63,63,,KXFEDDECISION-25OCT-C25
2025-08-06 13:20:00+00:00,,56,63,0,,,,56,56,56,63,63,63,,KXFEDDECISION-25OCT-C25
2025-08-06 13:21:00+00:00,,56,63,0,,,,56,56,56,63,63,63,,KXFEDDECISION-25OCT-C25
2025-08-06 13:30:00+00:00,,56,63,0,,,,56,56,56,63,63,63,,KXFEDDECISION-25OCT-C25
2025-08-06 13:31:00+00:00,,56,63,0,,,,56,56,56,63,63,63,,KXFEDDECISION-25OCT-C25
2025-08-06 13:32:00+00:00,,56,63,0,,,,56,56,56,63,63,63,,KXFEDDECISION-25OCT-C25
