datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-07-30 14:01:00+00:00,,60,70,0,,,,56,60,56,100,100,70,,KXFEDDECISION-25SEP-C25
2025-07-30 14:02:00+00:00,70.0,61,70,45,70.0,70.0,70.0,60,61,0,70,100,70,,KXFEDDECISION-25SEP-C25
2025-07-30 14:07:00+00:00,,61,70,0,,,,61,61,61,70,72,70,,KXFEDDECISION-25SEP-C25
2025-07-30 14:13:00+00:00,,61,70,0,,,,61,61,58,70,70,70,,KXFEDDECISION-25SEP-C25
2025-07-30 14:14:00+00:00,,61,69,0,,,,61,61,61,70,70,69,,KXFEDDECISION-25SEP-C25
2025-07-30 14:15:00+00:00,,61,69,0,,,,61,61,61,69,70,69,,KXFEDDECISION-25SEP-C25
2025-07-30 14:16:00+00:00,,61,69,0,,,,61,61,61,69,70,69,,KXFEDDECISION-25SEP-C25
2025-07-30 14:17:00+00:00,,61,69,0,,,,61,61,61,69,70,69,,KXFEDDECISION-25SEP-C25
2025-07-30 14:18:00+00:00,,61,67,0,,,,61,61,61,69,70,67,,KXFEDDECISION-25SEP-C25
2025-07-30 14:19:00+00:00,,61,67,0,,,,61,61,61,67,68,67,,KXFEDDECISION-25SEP-C25
2025-07-30 14:20:00+00:00,,61,67,0,,,,61,61,61,67,68,67,,KXFEDDECISION-25SEP-C25
2025-07-30 14:21:00+00:00,,61,67,0,,,,61,61,61,67,68,67,,KXFEDDECISION-25SEP-C25
2025-07-30 14:22:00+00:00,,61,67,0,,,,61,61,61,67,68,67,,KXFEDDECISION-25SEP-C25
2025-07-30 14:23:00+00:00,,61,67,0,,,,61,61,61,67,68,67,,KXFEDDECISION-25SEP-C25
2025-07-30 14:24:00+00:00,,61,65,0,,,,61,61,61,67,67,65,,KXFEDDECISION-25SEP-C25
2025-07-30 14:25:00+00:00,,61,65,0,,,,61,61,61,65,66,65,,KXFEDDECISION-25SEP-C25
2025-07-30 14:26:00+00:00,,61,65,0,,,,61,61,61,65,66,65,,KXFEDDECISION-25SEP-C25
2025-07-30 14:27:00+00:00,,61,65,0,,,,61,61,61,65,66,65,,KXFEDDECISION-25SEP-C25
2025-07-30 14:28:00+00:00,,61,65,0,,,,61,61,61,65,66,65,,KXFEDDECISION-25SEP-C25
2025-07-30 14:29:00+00:00,,61,65,0,,,,61,61,61,65,66,65,,KXFEDDECISION-25SEP-C25
2025-07-30 14:30:00+00:00,,61,64,0,,,,61,61,61,65,66,64,,KXFEDDECISION-25SEP-C25
2025-07-30 14:31:00+00:00,,61,64,0,,,,61,61,58,64,65,64,,KXFEDDECISION-25SEP-C25
2025-07-30 14:32:00+00:00,,61,64,0,,,,61,61,61,64,65,64,,KXFEDDECISION-25SEP-C25
2025-07-30 14:33:00+00:00,,61,64,0,,,,61,61,61,64,65,64,,KXFEDDECISION-25SEP-C25
2025-07-30 14:34:00+00:00,,61,64,0,,,,61,61,61,64,65,64,,KXFEDDECISION-25SEP-C25
2025-07-30 14:35:00+00:00,,61,62,0,,,,61,61,61,64,65,62,,KXFEDDECISION-25SEP-C25
2025-07-30 14:36:00+00:00,,61,62,0,,,,61,61,61,62,63,62,,KXFEDDECISION-25SEP-C25
2025-07-30 14:37:00+00:00,,61,62,0,,,,61,61,61,62,63,62,,KXFEDDECISION-25SEP-C25
2025-07-30 14:38:00+00:00,,61,62,0,,,,61,61,61,62,63,62,,KXFEDDECISION-25SEP-C25
2025-07-30 14:39:00+00:00,,61,63,0,,,,61,61,61,62,63,62,,KXFEDDECISION-25SEP-C25
2025-07-30 14:40:00+00:00,,61,62,0,,,,61,61,61,63,63,62,,KXFEDDECISION-25SEP-C25
2025-07-30 14:41:00+00:00,,61,62,0,,,,61,61,61,62,63,62,,KXFEDDECISION-25SEP-C25
2025-07-30 14:42:00+00:00,,61,62,0,,,,61,61,61,62,63,62,,KXFEDDECISION-25SEP-C25
2025-07-30 14:43:00+00:00,,61,62,0,,,,61,61,61,62,63,62,,KXFEDDECISION-25SEP-C25
2025-07-30 14:44:00+00:00,,61,62,0,,,,61,61,61,62,63,62,,KXFEDDECISION-25SEP-C25
2025-07-30 14:45:00+00:00,,61,62,0,,,,61,61,61,62,63,62,,KXFEDDECISION-25SEP-C25
2025-07-30 14:46:00+00:00,,61,62,0,,,,61,61,58,62,63,62,,KXFEDDECISION-25SEP-C25
2025-07-30 14:47:00+00:00,,61,62,0,,,,61,61,61,62,62,62,,KXFEDDECISION-25SEP-C25
2025-07-30 14:48:00+00:00,,61,62,0,,,,61,61,61,62,62,62,,KXFEDDECISION-25SEP-C25
2025-07-30 14:49:00+00:00,,61,62,0,,,,61,61,61,62,62,62,,KXFEDDECISION-25SEP-C25
2025-07-30 14:50:00+00:00,,61,62,0,,,,61,61,61,62,62,62,,KXFEDDECISION-25SEP-C25
2025-07-30 14:51:00+00:00,,61,62,0,,,,61,61,61,62,62,62,,KXFEDDECISION-25SEP-C25
2025-07-30 14:52:00+00:00,,61,62,0,,,,61,61,61,62,62,62,,KXFEDDECISION-25SEP-C25
2025-07-30 14:53:00+00:00,,61,62,0,,,,61,61,61,62,62,62,,KXFEDDECISION-25SEP-C25
2025-07-30 14:54:00+00:00,,61,62,0,,,,61,61,61,62,62,62,,KXFEDDECISION-25SEP-C25
2025-07-30 14:55:00+00:00,,61,62,0,,,,61,61,61,62,62,62,,KXFEDDECISION-25SEP-C25
2025-07-30 14:56:00+00:00,62.0,61,62,30,62.0,62.0,62.0,61,61,61,62,62,62,,KXFEDDECISION-25SEP-C25
2025-07-30 14:57:00+00:00,61.0,60,62,1,61.0,61.0,61.0,61,61,60,62,62,62,,KXFEDDECISION-25SEP-C25
2025-07-30 14:58:00+00:00,,60,64,0,,,,60,60,60,62,64,62,,KXFEDDECISION-25SEP-C25
2025-07-30 15:01:00+00:00,60.0,60,64,9,60.0,60.0,60.0,60,60,60,64,64,64,,KXFEDDECISION-25SEP-C25
2025-07-30 15:02:00+00:00,60.0,60,64,24,60.0,60.0,60.0,60,60,58,64,64,64,,KXFEDDECISION-25SEP-C25
2025-07-30 15:07:00+00:00,60.0,2,64,130,60.0,60.0,60.0,60,60,2,64,64,64,,KXFEDDECISION-25SEP-C25
