datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-07-30 14:01:00+00:00,,0,5,0,,,,0,0,0,5,5,5,,KXFEDDECISION-25SEP-H25
2025-07-30 14:02:00+00:00,,0,5,0,,,,0,0,0,5,100,5,,KXFEDDECISION-25SEP-H25
2025-07-30 14:07:00+00:00,,0,5,0,,,,0,0,0,5,7,5,,KXFEDDECISION-25SEP-H25
2025-07-30 14:13:00+00:00,,0,5,0,,,,0,0,0,5,5,5,,KXFEDDECISION-25SEP-H25
2025-07-30 14:17:00+00:00,,0,5,0,,,,0,0,0,5,7,5,,KXFEDDECISION-25SEP-H25
2025-07-30 14:24:00+00:00,,0,4,0,,,,0,0,0,5,5,4,,KXFEDDECISION-25SEP-H25
2025-07-30 14:27:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXFEDDECISION-25SEP-H25
2025-07-30 14:30:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXFEDDECISION-25SEP-H25
2025-07-30 14:31:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXFEDDECISION-25SEP-H25
2025-07-30 14:33:00+00:00,,0,3,0,,,,0,0,0,4,4,3,,KXFEDDECISION-25SEP-H25
2025-07-30 14:46:00+00:00,,0,3,0,,,,0,0,0,3,3,3,,KXFEDDECISION-25SEP-H25
2025-07-30 14:56:00+00:00,,0,3,0,,,,0,0,0,3,3,3,,KXFEDDECISION-25SEP-H25
2025-07-30 14:57:00+00:00,,0,3,0,,,,0,0,0,3,3,3,,KXFEDDECISION-25SEP-H25
2025-07-30 15:01:00+00:00,,0,3,0,,,,0,0,0,3,3,3,,KXFEDDECISION-25SEP-H25
2025-07-30 15:02:00+00:00,,0,3,0,,,,0,0,0,3,3,3,,KXFEDDECISION-25SEP-H25
2025-07-30 15:07:00+00:00,,0,3,0,,,,0,0,0,3,3,3,,KXFEDDECISION-25SEP-H25
2025-07-30 15:08:00+00:00,,0,3,0,,,,0,0,0,3,3,3,,KXFEDDECISION-25SEP-H25
2025-07-30 15:09:00+00:00,,0,3,0,,,,0,0,0,3,3,3,,KXFEDDECISION-25SEP-H25
2025-07-30 15:25:00+00:00,,0,3,0,,,,0,0,0,3,3,3,,KXFEDDECISION-25SEP-H25
2025-07-30 15:28:00+00:00,3.0,0,3,100,3.0,3.0,3.0,0,0,0,3,3,3,,KXFEDDECISION-25SEP-H25
2025-07-30 15:29:00+00:00,,0,3,0,,,,0,0,0,3,3,3,,KXFEDDECISION-25SEP-H25
2025-07-30 15:41:00+00:00,,0,3,0,,,,0,0,0,3,3,3,,KXFEDDECISION-25SEP-H25
2025-07-30 15:44:00+00:00,,0,3,0,,,,0,0,0,3,3,3,,KXFEDDECISION-25SEP-H25
2025-07-30 15:57:00+00:00,,0,3,0,,,,0,0,0,3,3,3,,KXFEDDECISION-25SEP-H25
2025-07-30 16:08:00+00:00,,0,3,0,,,,0,0,0,3,3,3,,KXFEDDECISION-25SEP-H25
2025-07-30 16:09:00+00:00,,0,3,0,,,,0,0,0,3,3,3,,KXFEDDECISION-25SEP-H25
2025-07-30 17:48:00+00:00,,0,4,0,,,,0,0,0,3,4,3,,KXFEDDECISION-25SEP-H25
2025-07-30 18:16:00+00:00,,0,3,0,,,,0,0,0,4,4,2,,KXFEDDECISION-25SEP-H25
2025-07-30 18:18:00+00:00,,0,3,0,,,,0,0,0,3,3,3,,KXFEDDECISION-25SEP-H25
2025-07-30 18:21:00+00:00,,0,2,0,,,,0,0,0,3,3,2,,KXFEDDECISION-25SEP-H25
2025-07-30 18:22:00+00:00,,0,1,0,,,,0,0,0,2,2,1,,KXFEDDECISION-25SEP-H25
2025-07-30 18:24:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 18:26:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 18:27:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 18:29:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 18:38:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 18:42:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 18:43:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 18:44:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 18:45:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 18:49:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 18:50:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 18:51:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 18:52:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 18:54:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 18:55:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 18:56:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 19:02:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 19:04:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 19:05:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 19:07:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 19:08:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 19:09:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 19:10:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 19:14:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 19:16:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 19:17:00+00:00,1.0,0,1,2000,1.0,1.0,1.0,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 19:18:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 19:19:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 19:20:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 19:22:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 19:23:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 19:26:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 19:34:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 19:37:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 19:44:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 19:48:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 19:52:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 19:53:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 19:55:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 19:58:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 19:59:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 20:05:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 20:09:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 20:12:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 20:15:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 20:20:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 20:23:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 20:25:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 20:27:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 20:28:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 20:29:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 20:30:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 20:37:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 20:46:00+00:00,1.0,0,1,93,1.0,1.0,1.0,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 21:01:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 21:13:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 22:12:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 22:18:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 22:25:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 22:34:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 22:35:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 22:46:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 22:48:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 22:49:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 23:03:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 23:31:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 23:32:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 23:36:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-30 23:58:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-31 00:40:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-31 00:43:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-31 00:44:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-31 00:45:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-31 00:57:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-31 01:19:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
2025-07-31 01:20:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXFEDDECISION-25SEP-H25
