datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2024-12-06 20:48:00+00:00,98.0,98,99,238,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-06 22:07:00+00:00,98.0,98,99,1,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-07 01:44:00+00:00,98.0,98,99,58,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-07 15:05:00+00:00,98.0,98,99,5,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-07 16:25:00+00:00,98.0,98,99,125,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-07 16:44:00+00:00,98.0,98,99,5,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-08 01:45:00+00:00,98.0,98,99,35,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-08 06:06:00+00:00,98.0,98,99,40,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-08 15:04:00+00:00,98.0,98,99,20,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-08 16:01:00+00:00,99.0,98,99,50,99.0,99.0,99.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-08 16:38:00+00:00,98.0,98,99,52,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-08 19:31:00+00:00,98.0,98,99,25,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-08 19:38:00+00:00,98.0,98,99,500,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-09 03:48:00+00:00,98.0,98,99,105,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-09 06:53:00+00:00,98.0,98,99,233,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-09 06:56:00+00:00,99.0,98,99,566,99.0,99.0,99.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-09 21:47:00+00:00,98.0,98,99,41,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-09 23:36:00+00:00,98.0,98,99,532,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-10 04:09:00+00:00,98.0,98,99,238,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-10 06:10:00+00:00,98.0,98,99,46,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-10 06:44:00+00:00,98.0,98,99,822,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-10 13:57:00+00:00,98.0,98,99,125,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-10 19:03:00+00:00,98.0,98,99,227,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-11 01:39:00+00:00,98.0,98,99,50,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-11 03:00:00+00:00,98.0,98,99,8,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-11 13:32:00+00:00,98.0,98,99,60,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-11 14:41:00+00:00,98.0,98,99,90,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-11 16:28:00+00:00,98.0,98,99,333,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-11 16:29:00+00:00,98.0,98,99,397,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-11 18:22:00+00:00,98.0,98,99,33,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-11 18:43:00+00:00,98.0,98,99,50,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-11 19:14:00+00:00,98.0,98,99,534,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-12 00:20:00+00:00,98.0,98,99,200,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-12 03:03:00+00:00,98.0,98,99,409,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-12 04:08:00+00:00,98.0,98,99,500,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-12 05:08:00+00:00,98.0,98,99,3,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-12 17:35:00+00:00,99.0,98,99,1,99.0,99.0,99.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-12 19:37:00+00:00,98.0,98,99,21,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-12 21:15:00+00:00,98.0,98,99,40,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-12 21:50:00+00:00,98.0,98,99,6,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-12 23:15:00+00:00,98.0,98,99,61,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-13 02:01:00+00:00,98.0,98,99,52,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-13 15:57:00+00:00,98.0,98,99,152,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-13 19:04:00+00:00,98.0,98,99,30,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-13 21:06:00+00:00,99.0,98,99,100,99.0,99.0,99.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-13 21:36:00+00:00,98.0,98,99,41,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-13 22:04:00+00:00,98.0,98,99,277,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-13 22:32:00+00:00,98.0,98,99,49,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-14 00:07:00+00:00,98.0,98,99,2,99.0,99.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-14 02:03:00+00:00,98.0,98,99,8,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-14 07:16:00+00:00,98.0,98,99,454,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-14 14:55:00+00:00,98.0,98,99,12,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-14 17:28:00+00:00,98.0,98,99,60,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-14 19:04:00+00:00,98.0,98,99,102,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-14 19:09:00+00:00,98.0,98,99,4,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-14 19:40:00+00:00,98.0,98,99,50,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-14 23:11:00+00:00,98.0,98,99,454,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-14 23:23:00+00:00,98.0,98,99,104,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-15 00:16:00+00:00,98.0,98,99,105,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-15 01:21:00+00:00,98.0,98,99,2,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-15 16:31:00+00:00,98.0,98,99,504,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-15 17:30:00+00:00,98.0,98,99,58,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-15 20:01:00+00:00,98.0,98,99,21,98.0,98.0,98.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-16 03:42:00+00:00,99.0,98,99,178,99.0,99.0,99.0,98,98,98,99,99,99,,CLOSESTSTATE-24-WI
2024-12-16 14:07:00+00:00,99.0,98,100,28651,99.0,99.0,99.0,98,98,98,99,100,99,,CLOSESTSTATE-24-WI
