datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2024-12-07 16:42:00+00:00,19.0,16,19,1,19.0,19.0,19.0,16,16,16,19,19,19,,GOVPARTYNJ-25-R
2024-12-07 17:46:00+00:00,19.0,16,19,99,19.0,19.0,19.0,16,16,16,19,19,19,,GOVPARTYNJ-25-R
2024-12-07 17:48:00+00:00,19.0,16,19,249,19.0,19.0,19.0,16,16,16,19,19,19,,GOVPARTYNJ-25-R
2024-12-10 00:33:00+00:00,15.0,15,18,59,16.0,16.0,15.0,16,16,15,19,19,18,,GOVPARTYNJ-25-R
2024-12-10 01:14:00+00:00,15.0,15,18,41,15.0,15.0,15.0,15,15,15,18,18,18,,GOVPARTYNJ-25-R
2024-12-10 05:11:00+00:00,,15,19,0,,,,15,15,15,18,19,18,,GOVPARTYNJ-25-R
2024-12-11 04:39:00+00:00,20.0,16,19,2625,19.0,20.0,19.0,15,16,15,19,20,19,,GOVPARTYNJ-25-R
2024-12-11 07:52:00+00:00,,15,19,0,,,,16,16,15,19,19,19,,GOVPARTYNJ-25-R
2024-12-11 18:13:00+00:00,19.0,15,19,100,19.0,19.0,19.0,15,15,15,19,19,19,,GOVPARTYNJ-25-R
2024-12-13 02:44:00+00:00,,16,19,0,,,,15,16,15,19,19,19,,GOVPARTYNJ-25-R
2024-12-13 23:56:00+00:00,15.0,15,19,105,16.0,16.0,15.0,16,16,15,19,19,19,,GOVPARTYNJ-25-R
2024-12-14 18:57:00+00:00,19.0,15,19,400,19.0,19.0,19.0,15,15,15,19,19,19,,GOVPARTYNJ-25-R
2024-12-15 18:31:00+00:00,19.0,15,19,1,19.0,19.0,19.0,15,15,15,19,19,19,,GOVPARTYNJ-25-R
2024-12-16 02:57:00+00:00,,16,18,0,,,,15,16,15,19,19,18,,GOVPARTYNJ-25-R
