datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2024-12-09 00:15:00+00:00,1.0,0,1,93,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-D-B1-5
2024-12-12 02:45:00+00:00,1.0,0,1,467,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-D-B1-5
2024-12-12 03:25:00+00:00,1.0,0,1,935,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-D-B1-5
2024-12-12 05:25:00+00:00,1.0,0,1,93,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-D-B1-5
2024-12-12 05:57:00+00:00,1.0,0,1,5280,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-D-B1-5
2024-12-12 05:59:00+00:00,1.0,0,1,365,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-D-B1-5
2024-12-12 06:12:00+00:00,1.0,0,1,1870,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-D-B1-5
2024-12-12 17:50:00+00:00,1.0,0,1,16,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-D-B1-5
2024-12-12 23:18:00+00:00,1.0,0,1,467,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-D-B1-5
2024-12-12 23:19:00+00:00,1.0,0,1,7481,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-D-B1-5
2024-12-13 00:41:00+00:00,1.0,0,1,149,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-D-B1-5
2024-12-13 01:01:00+00:00,1.0,0,1,12,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-D-B1-5
2024-12-13 02:32:00+00:00,1.0,0,1,935,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-D-B1-5
2024-12-14 03:15:00+00:00,1.0,0,1,280,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-D-B1-5
2024-12-14 15:30:00+00:00,1.0,0,1,935,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-D-B1-5
2024-12-14 18:14:00+00:00,1.0,0,1,322,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-D-B1-5
2024-12-17 02:24:00+00:00,1.0,0,1,4675,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-D-B1-5
2024-12-18 00:44:00+00:00,1.0,0,1,225,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-D-B1-5
2025-01-01 03:28:00+00:00,1.0,0,1,187,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-D-B1-5
2025-01-24 05:40:00+00:00,1.0,0,1,20,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-D-B1-5
2025-02-01 15:01:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,HOUSEMOV-24-D-B1-5
