datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2024-12-06 21:17:00+00:00,1.0,0,1,152,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2024-12-06 21:54:00+00:00,1.0,0,1,92,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2024-12-09 04:06:00+00:00,1.0,0,1,175,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2024-12-09 06:50:00+00:00,1.0,0,1,467,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2024-12-09 16:12:00+00:00,1.0,0,1,348,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2024-12-10 00:39:00+00:00,1.0,0,1,3974,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2024-12-10 07:13:00+00:00,1.0,0,1,2000,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2024-12-11 22:11:00+00:00,1.0,0,1,469,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2024-12-12 01:06:00+00:00,1.0,0,1,1028,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2024-12-12 05:25:00+00:00,1.0,0,1,93,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2024-12-12 14:16:00+00:00,1.0,0,1,99,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2024-12-12 19:51:00+00:00,1.0,0,1,100,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2024-12-12 19:57:00+00:00,1.0,0,1,899,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2024-12-12 19:58:00+00:00,1.0,0,1,1001,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2024-12-12 21:20:00+00:00,1.0,0,1,7,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2024-12-13 17:21:00+00:00,1.0,0,1,366,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2024-12-13 17:36:00+00:00,1.0,0,1,1000,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2024-12-14 07:19:00+00:00,1.0,0,1,100,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2024-12-14 15:36:00+00:00,1.0,0,1,935,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2024-12-14 17:11:00+00:00,1.0,0,1,250,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2024-12-16 21:24:00+00:00,1.0,0,1,500,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2024-12-17 18:38:00+00:00,1.0,0,1,1598,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2024-12-18 00:37:00+00:00,1.0,0,1,225,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2024-12-19 03:29:00+00:00,1.0,0,1,764,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2024-12-19 21:56:00+00:00,1.0,0,1,93,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2024-12-20 04:11:00+00:00,1.0,0,1,4000,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2024-12-22 17:44:00+00:00,1.0,0,1,1,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2024-12-27 21:36:00+00:00,1.0,0,1,2500,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2024-12-29 02:40:00+00:00,1.0,0,1,1000,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2024-12-30 04:30:00+00:00,1.0,0,1,12,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2024-12-31 06:18:00+00:00,1.0,0,1,98,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2025-01-03 13:17:00+00:00,1.0,0,1,93,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2025-01-06 23:03:00+00:00,1.0,0,1,1943,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2025-01-07 13:26:00+00:00,1.0,0,1,175,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2025-01-11 20:15:00+00:00,1.0,0,1,15,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2025-01-17 03:14:00+00:00,1.0,0,1,64,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
2025-01-17 03:15:00+00:00,1.0,0,1,4,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-B6-10
