datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2024-12-07 03:35:00+00:00,,0,2,0,,,,0,0,0,3,3,2,,HOUSEMOV-24-R-T16
2024-12-13 22:00:00+00:00,2.0,0,2,100,2.0,2.0,2.0,0,0,0,2,2,2,,HOUSEMOV-24-R-T16
2024-12-17 16:32:00+00:00,,0,1,0,,,,0,0,0,2,2,1,,HOUSEMOV-24-R-T16
2025-01-07 14:37:00+00:00,1.0,0,1,1300,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-T16
2025-01-11 16:55:00+00:00,1.0,0,1,300,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-T16
2025-01-13 20:50:00+00:00,1.0,0,1,133,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-T16
2025-01-14 17:09:00+00:00,1.0,0,1,51,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-T16
2025-01-20 14:15:00+00:00,1.0,0,1,45,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-T16
2025-01-27 00:16:00+00:00,1.0,0,1,21,1.0,1.0,1.0,0,0,0,1,1,1,,HOUSEMOV-24-R-T16
2025-02-01 15:01:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,HOUSEMOV-24-R-T16
