datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-01-29 15:09:00+00:00,,90,100,0,,,,40,90,40,100,100,100,,KXDJTJOINTSESSION-25MAR04-A15
2025-01-29 15:10:00+00:00,,40,100,0,,,,90,90,40,100,100,100,,KXDJTJOINTSESSION-25MAR04-A15
2025-01-29 15:11:00+00:00,,90,100,0,,,,40,90,40,100,100,100,,KXDJTJOINTSESSION-25MAR04-A15
2025-01-29 22:06:00+00:00,,90,99,0,,,,90,90,90,100,100,99,,KXDJTJOINTSESSION-25MAR04-A15
2025-01-30 02:58:00+00:00,90.0,90,99,20,90.0,90.0,90.0,90,90,90,99,99,99,,KXDJTJOINTSESSION-25MAR04-A15
2025-01-30 16:16:00+00:00,90.0,90,99,9,90.0,90.0,90.0,90,90,90,99,99,99,,KXDJTJOINTSESSION-25MAR04-A15
2025-01-30 16:42:00+00:00,,40,99,0,,,,90,90,40,99,99,99,,KXDJTJOINTSESSION-25MAR04-A15
2025-01-30 16:43:00+00:00,,90,99,0,,,,40,90,40,99,99,99,,KXDJTJOINTSESSION-25MAR04-A15
2025-01-30 18:43:00+00:00,90.0,90,99,10,90.0,90.0,90.0,90,90,90,99,99,99,,KXDJTJOINTSESSION-25MAR04-A15
2025-01-30 21:45:00+00:00,,91,99,0,,,,90,91,90,99,99,99,,KXDJTJOINTSESSION-25MAR04-A15
2025-01-31 00:17:00+00:00,,91,98,0,,,,91,91,91,99,99,98,,KXDJTJOINTSESSION-25MAR04-A15
2025-01-31 01:48:00+00:00,,91,96,0,,,,91,91,91,98,98,96,,KXDJTJOINTSESSION-25MAR04-A15
2025-01-31 04:56:00+00:00,90.0,90,96,47,91.0,91.0,90.0,91,91,90,96,96,96,,KXDJTJOINTSESSION-25MAR04-A15
2025-01-31 05:07:00+00:00,,91,96,0,,,,90,91,90,96,96,96,,KXDJTJOINTSESSION-25MAR04-A15
2025-01-31 05:14:00+00:00,,93,96,0,,,,91,93,91,96,96,96,,KXDJTJOINTSESSION-25MAR04-A15
2025-01-31 14:22:00+00:00,,93,95,0,,,,93,93,93,96,96,95,,KXDJTJOINTSESSION-25MAR04-A15
2025-01-31 17:05:00+00:00,93.0,92,95,1,93.0,93.0,93.0,93,93,91,95,95,93,,KXDJTJOINTSESSION-25MAR04-A15
2025-01-31 17:29:00+00:00,,92,94,0,,,,92,92,92,95,95,94,,KXDJTJOINTSESSION-25MAR04-A15
2025-01-31 17:35:00+00:00,94.0,92,95,30,94.0,94.0,94.0,92,92,92,94,95,94,,KXDJTJOINTSESSION-25MAR04-A15
2025-01-31 19:31:00+00:00,,93,95,0,,,,92,93,92,95,95,95,,KXDJTJOINTSESSION-25MAR04-A15
2025-01-31 20:09:00+00:00,95.0,93,95,1,95.0,95.0,95.0,93,93,93,95,95,95,,KXDJTJOINTSESSION-25MAR04-A15
2025-01-31 21:53:00+00:00,93.0,93,95,23,93.0,93.0,93.0,93,93,93,95,95,95,,KXDJTJOINTSESSION-25MAR04-A15
2025-02-01 00:07:00+00:00,95.0,95,96,99,95.0,95.0,95.0,93,95,93,95,96,95,,KXDJTJOINTSESSION-25MAR04-A15
2025-02-01 13:59:00+00:00,96.0,95,96,11,96.0,96.0,96.0,95,95,95,96,96,96,,KXDJTJOINTSESSION-25MAR04-A15
2025-02-01 14:21:00+00:00,95.0,93,95,1,95.0,95.0,95.0,95,95,93,96,96,95,,KXDJTJOINTSESSION-25MAR04-A15
2025-02-01 14:52:00+00:00,93.0,92,93,27,93.0,93.0,93.0,93,93,92,95,95,93,,KXDJTJOINTSESSION-25MAR04-A15
2025-02-01 16:22:00+00:00,90.0,90,93,9,92.0,92.0,90.0,92,92,90,93,93,93,,KXDJTJOINTSESSION-25MAR04-A15
2025-02-01 16:25:00+00:00,90.0,90,93,18,90.0,90.0,90.0,90,90,90,93,93,93,,KXDJTJOINTSESSION-25MAR04-A15
2025-02-01 16:30:00+00:00,90.0,90,93,64,90.0,90.0,90.0,90,90,90,93,93,93,,KXDJTJOINTSESSION-25MAR04-A15
2025-02-01 16:40:00+00:00,,89,93,0,,,,90,90,89,93,93,93,,KXDJTJOINTSESSION-25MAR04-A15
2025-02-01 17:07:00+00:00,,90,93,0,,,,89,90,89,93,93,93,,KXDJTJOINTSESSION-25MAR04-A15
2025-02-01 18:25:00+00:00,90.0,89,93,153,90.0,90.0,90.0,90,90,89,93,93,93,,KXDJTJOINTSESSION-25MAR04-A15
