datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-01-29 15:09:00+00:00,,80,90,0,,,,29,80,29,100,100,90,,KXDJTJOINTSESSION-25MAR04-AI
2025-01-29 15:10:00+00:00,,0,100,0,,,,80,80,0,90,100,90,,KXDJTJOINTSESSION-25MAR04-AI
2025-01-29 15:11:00+00:00,,80,90,0,,,,0,80,0,100,100,90,,KXDJTJOINTSESSION-25MAR04-AI
2025-01-29 15:27:00+00:00,,80,89,0,,,,80,80,80,90,90,89,,KXDJTJOINTSESSION-25MAR04-AI
2025-01-30 00:23:00+00:00,89.0,80,89,20,89.0,89.0,89.0,80,80,80,89,89,89,,KXDJTJOINTSESSION-25MAR04-AI
2025-01-30 05:10:00+00:00,81.0,81,89,5,81.0,81.0,81.0,80,81,80,89,89,89,,KXDJTJOINTSESSION-25MAR04-AI
2025-01-30 05:12:00+00:00,,81,88,0,,,,81,81,81,89,89,88,,KXDJTJOINTSESSION-25MAR04-AI
2025-01-30 21:37:00+00:00,,83,88,0,,,,81,83,81,88,88,88,,KXDJTJOINTSESSION-25MAR04-AI
2025-01-30 22:35:00+00:00,88.0,88,89,5,88.0,88.0,88.0,83,88,83,88,89,88,,KXDJTJOINTSESSION-25MAR04-AI
2025-01-31 00:10:00+00:00,88.0,88,89,39,88.0,88.0,88.0,88,88,88,89,89,89,,KXDJTJOINTSESSION-25MAR04-AI
2025-01-31 05:13:00+00:00,89.0,88,89,1,89.0,89.0,89.0,88,88,88,89,89,89,,KXDJTJOINTSESSION-25MAR04-AI
2025-01-31 05:35:00+00:00,89.0,88,89,1,89.0,89.0,89.0,88,88,88,89,89,89,,KXDJTJOINTSESSION-25MAR04-AI
2025-01-31 14:53:00+00:00,89.0,88,89,23,89.0,89.0,89.0,88,88,88,89,89,89,,KXDJTJOINTSESSION-25MAR04-AI
2025-01-31 19:31:00+00:00,89.0,89,90,55,89.0,89.0,89.0,88,89,88,89,90,89,,KXDJTJOINTSESSION-25MAR04-AI
2025-01-31 20:02:00+00:00,90.0,89,90,50,90.0,90.0,90.0,89,89,89,90,90,90,,KXDJTJOINTSESSION-25MAR04-AI
2025-01-31 23:28:00+00:00,90.0,89,90,5,90.0,90.0,90.0,89,89,89,90,90,90,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 00:42:00+00:00,,89,99,0,,,,89,89,89,90,99,90,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 00:43:00+00:00,,89,90,0,,,,89,89,89,99,99,90,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 00:46:00+00:00,,89,99,0,,,,89,89,89,90,99,90,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 00:47:00+00:00,,89,90,0,,,,89,89,89,99,99,90,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 02:49:00+00:00,88.0,85,90,201,89.0,89.0,88.0,89,89,85,90,90,90,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 02:57:00+00:00,,85,89,0,,,,85,85,85,90,90,89,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 03:14:00+00:00,89.0,85,90,50,89.0,89.0,89.0,85,85,85,89,90,89,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 03:33:00+00:00,,85,89,0,,,,85,85,85,90,90,89,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 04:03:00+00:00,83.0,83,89,100,85.0,85.0,83.0,85,85,83,89,89,89,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 04:45:00+00:00,83.0,83,89,100,83.0,83.0,83.0,83,83,83,89,89,89,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 04:53:00+00:00,83.0,81,89,100,83.0,83.0,83.0,83,83,81,89,89,89,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 05:39:00+00:00,,76,88,0,,,,81,81,75,89,89,88,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 05:44:00+00:00,,75,89,0,,,,76,76,75,88,89,88,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 05:45:00+00:00,,76,88,0,,,,75,76,75,89,89,88,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 05:50:00+00:00,,75,89,0,,,,76,76,75,88,89,88,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 05:51:00+00:00,,76,88,0,,,,75,76,75,89,89,88,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 05:56:00+00:00,,75,88,0,,,,76,76,75,88,88,88,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 05:57:00+00:00,,76,87,0,,,,75,76,75,88,88,87,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 06:03:00+00:00,,76,87,0,,,,76,76,75,87,99,87,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 06:09:00+00:00,,76,97,0,,,,76,76,75,87,98,87,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 06:15:00+00:00,,76,97,0,,,,76,76,75,97,98,97,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 06:17:00+00:00,,76,96,0,,,,76,76,76,97,97,96,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 06:21:00+00:00,,76,95,0,,,,76,76,75,96,96,95,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 06:27:00+00:00,,76,95,0,,,,76,76,75,95,96,95,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 06:33:00+00:00,,76,98,0,,,,76,76,75,95,99,95,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 06:39:00+00:00,,76,98,0,,,,76,76,75,98,99,98,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 06:45:00+00:00,,76,98,0,,,,76,76,75,98,99,98,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 06:51:00+00:00,,76,98,0,,,,76,76,75,98,99,98,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 06:57:00+00:00,,76,98,0,,,,76,76,75,98,99,98,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 07:03:00+00:00,,75,99,0,,,,76,76,75,98,99,98,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 07:04:00+00:00,,76,98,0,,,,75,76,75,99,99,98,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 07:09:00+00:00,,75,99,0,,,,76,76,75,98,99,98,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 07:10:00+00:00,,76,98,0,,,,75,76,75,99,99,98,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 07:15:00+00:00,,75,99,0,,,,76,76,75,98,99,98,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 07:16:00+00:00,,76,98,0,,,,75,76,75,99,99,98,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 07:22:00+00:00,,76,98,0,,,,76,76,75,98,99,98,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 07:28:00+00:00,,76,98,0,,,,76,76,75,98,99,98,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 07:34:00+00:00,,76,98,0,,,,76,76,75,98,99,98,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 07:40:00+00:00,,76,98,0,,,,76,76,75,98,99,98,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 07:46:00+00:00,,76,98,0,,,,76,76,75,98,99,98,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 07:52:00+00:00,,76,98,0,,,,76,76,75,98,99,98,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 07:58:00+00:00,,76,98,0,,,,76,76,75,98,99,98,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 08:04:00+00:00,,75,99,0,,,,76,76,75,98,99,98,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 13:06:00+00:00,,76,98,0,,,,75,76,75,99,99,98,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 13:12:00+00:00,,76,98,0,,,,76,76,75,98,99,98,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 13:18:00+00:00,,76,98,0,,,,76,76,75,98,99,98,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 13:24:00+00:00,,76,98,0,,,,76,76,75,98,99,98,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 13:30:00+00:00,,75,99,0,,,,76,76,75,98,99,98,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 13:31:00+00:00,,76,98,0,,,,75,76,75,99,99,98,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 13:36:00+00:00,,75,99,0,,,,76,76,75,98,99,98,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 13:37:00+00:00,,76,98,0,,,,75,76,75,99,99,98,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 13:40:00+00:00,,81,89,0,,,,76,81,76,98,98,89,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 13:41:00+00:00,,81,88,0,,,,81,81,81,89,89,88,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 15:12:00+00:00,,81,88,0,,,,81,81,75,88,88,88,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 15:30:00+00:00,88.0,81,88,1,88.0,88.0,88.0,81,81,81,88,88,88,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 15:47:00+00:00,,82,87,0,,,,81,82,81,88,88,87,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 16:36:00+00:00,,82,86,0,,,,82,82,82,87,87,86,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 17:22:00+00:00,86.0,82,86,1,86.0,86.0,86.0,82,82,82,86,86,86,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 17:46:00+00:00,81.0,81,86,124,82.0,82.0,81.0,82,82,81,86,86,86,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 18:02:00+00:00,,81,85,0,,,,81,81,81,86,86,85,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 18:09:00+00:00,85.0,81,85,5,85.0,85.0,85.0,81,81,81,85,85,85,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 18:30:00+00:00,,81,86,0,,,,81,81,81,85,86,85,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 19:00:00+00:00,81.0,81,86,61,81.0,81.0,81.0,81,81,81,86,86,86,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 19:25:00+00:00,86.0,81,86,2,86.0,86.0,86.0,81,81,81,86,86,86,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 19:34:00+00:00,,81,83,0,,,,81,81,81,86,86,83,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 21:17:00+00:00,83.0,81,83,1,83.0,83.0,83.0,81,81,81,83,83,83,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 22:40:00+00:00,81.0,81,83,9,81.0,81.0,81.0,81,81,81,83,83,83,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-01 23:28:00+00:00,85.0,81,86,587,83.0,85.0,83.0,81,81,81,83,86,83,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-02 00:02:00+00:00,,81,85,0,,,,81,81,81,86,86,85,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-02 00:31:00+00:00,85.0,81,85,1,85.0,85.0,85.0,81,81,81,85,85,85,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-02 01:15:00+00:00,85.0,81,85,5,85.0,85.0,85.0,81,81,81,85,85,85,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-02 02:57:00+00:00,85.0,81,84,23,85.0,85.0,85.0,81,81,81,85,85,84,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-02 04:17:00+00:00,84.0,81,84,2,84.0,84.0,84.0,81,81,81,84,84,84,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-02 05:18:00+00:00,89.0,82,88,28,84.0,89.0,84.0,81,82,81,84,89,84,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-02 05:19:00+00:00,,82,87,0,,,,82,82,82,88,88,87,,KXDJTJOINTSESSION-25MAR04-AI
2025-02-02 05:31:00+00:00,,82,88,0,,,,82,82,82,87,88,87,,KXDJTJOINTSESSION-25MAR04-AI
