datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-01-29 15:09:00+00:00,27.0,15,29,2250,25.0,27.0,25.0,4,15,4,100,100,25,,KXDJTJOINTSESSION-25MAR04-B
2025-01-29 15:10:00+00:00,,0,100,0,,,,15,15,0,29,100,29,,KXDJTJOINTSESSION-25MAR04-B
2025-01-29 15:11:00+00:00,,25,35,0,,,,0,25,0,100,100,35,,KXDJTJOINTSESSION-25MAR04-B
2025-01-29 16:31:00+00:00,,26,35,0,,,,25,26,25,35,35,35,,KXDJTJOINTSESSION-25MAR04-B
2025-01-29 17:10:00+00:00,35.0,26,35,30,35.0,35.0,35.0,26,26,26,35,35,35,,KXDJTJOINTSESSION-25MAR04-B
2025-01-29 17:35:00+00:00,,27,34,0,,,,26,27,26,35,35,34,,KXDJTJOINTSESSION-25MAR04-B
2025-01-29 17:36:00+00:00,,26,35,0,,,,27,27,26,34,35,34,,KXDJTJOINTSESSION-25MAR04-B
2025-01-29 17:43:00+00:00,,26,35,0,,,,26,27,26,35,35,35,,KXDJTJOINTSESSION-25MAR04-B
2025-01-29 17:45:00+00:00,,27,35,0,,,,26,27,26,35,35,35,,KXDJTJOINTSESSION-25MAR04-B
2025-01-29 17:46:00+00:00,,26,35,0,,,,27,27,26,35,35,35,,KXDJTJOINTSESSION-25MAR04-B
2025-01-29 17:47:00+00:00,,26,35,0,,,,26,27,26,35,35,35,,KXDJTJOINTSESSION-25MAR04-B
2025-01-29 17:48:00+00:00,,26,34,0,,,,26,26,26,35,35,34,,KXDJTJOINTSESSION-25MAR04-B
2025-01-29 17:49:00+00:00,,26,35,0,,,,26,26,26,34,35,34,,KXDJTJOINTSESSION-25MAR04-B
2025-01-29 17:51:00+00:00,,26,35,0,,,,26,27,26,35,35,34,,KXDJTJOINTSESSION-25MAR04-B
2025-01-29 17:53:00+00:00,,26,35,0,,,,26,26,26,35,35,34,,KXDJTJOINTSESSION-25MAR04-B
2025-01-29 17:54:00+00:00,,26,35,0,,,,26,26,26,35,35,34,,KXDJTJOINTSESSION-25MAR04-B
2025-01-29 17:55:00+00:00,,26,35,0,,,,26,26,26,35,35,34,,KXDJTJOINTSESSION-25MAR04-B
2025-01-29 18:04:00+00:00,,26,35,0,,,,26,27,26,35,35,34,,KXDJTJOINTSESSION-25MAR04-B
2025-01-29 18:07:00+00:00,,26,35,0,,,,26,26,26,35,35,34,,KXDJTJOINTSESSION-25MAR04-B
2025-01-29 18:11:00+00:00,,26,35,0,,,,26,26,26,35,35,34,,KXDJTJOINTSESSION-25MAR04-B
2025-01-29 18:17:00+00:00,,26,35,0,,,,26,27,26,35,35,35,,KXDJTJOINTSESSION-25MAR04-B
2025-01-29 18:19:00+00:00,,26,35,0,,,,26,27,26,35,35,35,,KXDJTJOINTSESSION-25MAR04-B
2025-01-29 18:20:00+00:00,,26,35,0,,,,26,26,26,35,35,34,,KXDJTJOINTSESSION-25MAR04-B
2025-01-29 18:27:00+00:00,,26,35,0,,,,26,27,26,35,35,35,,KXDJTJOINTSESSION-25MAR04-B
2025-01-29 18:31:00+00:00,,26,34,0,,,,26,26,26,35,35,34,,KXDJTJOINTSESSION-25MAR04-B
2025-01-29 18:32:00+00:00,,26,35,0,,,,26,26,26,34,35,34,,KXDJTJOINTSESSION-25MAR04-B
2025-01-29 18:33:00+00:00,,26,35,0,,,,26,26,26,35,35,34,,KXDJTJOINTSESSION-25MAR04-B
2025-01-29 18:40:00+00:00,,26,35,0,,,,26,26,26,35,35,34,,KXDJTJOINTSESSION-25MAR04-B
2025-01-29 18:48:00+00:00,,26,35,0,,,,26,26,26,35,35,34,,KXDJTJOINTSESSION-25MAR04-B
2025-01-29 18:59:00+00:00,,27,35,0,,,,26,27,26,35,35,35,,KXDJTJOINTSESSION-25MAR04-B
2025-01-29 19:00:00+00:00,,26,35,0,,,,27,27,26,35,35,35,,KXDJTJOINTSESSION-25MAR04-B
