datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-01-29 15:09:00+00:00,,35,45,0,,,,1,35,1,100,100,45,,KXDJTJOINTSESSION-25MAR04-C
2025-01-29 15:10:00+00:00,,0,100,0,,,,35,35,0,45,100,45,,KXDJTJOINTSESSION-25MAR04-C
2025-01-29 15:11:00+00:00,,35,45,0,,,,0,35,0,100,100,45,,KXDJTJOINTSESSION-25MAR04-C
2025-01-29 16:48:00+00:00,45.0,35,45,32,45.0,45.0,45.0,35,35,35,45,45,45,,KXDJTJOINTSESSION-25MAR04-C
2025-01-29 18:48:00+00:00,,35,44,0,,,,35,35,35,45,45,44,,KXDJTJOINTSESSION-25MAR04-C
2025-01-29 22:24:00+00:00,35.0,35,44,100,35.0,35.0,35.0,35,35,35,44,44,44,,KXDJTJOINTSESSION-25MAR04-C
2025-01-30 01:17:00+00:00,,36,44,0,,,,35,36,35,44,44,44,,KXDJTJOINTSESSION-25MAR04-C
2025-01-30 01:41:00+00:00,45.0,36,45,111,44.0,45.0,44.0,36,36,36,44,45,44,,KXDJTJOINTSESSION-25MAR04-C
2025-01-30 03:18:00+00:00,,43,45,0,,,,36,43,36,45,45,45,,KXDJTJOINTSESSION-25MAR04-C
2025-01-30 03:45:00+00:00,45.0,45,47,221,45.0,45.0,45.0,43,45,43,45,47,45,,KXDJTJOINTSESSION-25MAR04-C
2025-01-30 03:47:00+00:00,,44,47,0,,,,45,45,44,47,47,47,,KXDJTJOINTSESSION-25MAR04-C
2025-01-30 04:46:00+00:00,47.0,44,46,102,47.0,47.0,47.0,44,44,44,47,51,46,,KXDJTJOINTSESSION-25MAR04-C
2025-01-30 05:35:00+00:00,,45,46,0,,,,44,45,44,46,46,46,,KXDJTJOINTSESSION-25MAR04-C
2025-01-30 05:40:00+00:00,46.0,45,46,2,46.0,46.0,46.0,45,45,45,46,46,46,,KXDJTJOINTSESSION-25MAR04-C
