datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-01-29 15:09:00+00:00,,10,20,0,,,,1,10,1,100,100,20,,KXDJTJOINTSESSION-25MAR04-D
2025-01-29 15:10:00+00:00,,0,100,0,,,,10,10,0,20,100,20,,KXDJTJOINTSESSION-25MAR04-D
2025-01-29 15:11:00+00:00,,10,20,0,,,,0,10,0,100,100,20,,KXDJTJOINTSESSION-25MAR04-D
2025-01-29 17:56:00+00:00,24.0,1,25,1270,20.0,24.0,20.0,10,10,1,20,25,20,,KXDJTJOINTSESSION-25MAR04-D
2025-01-29 17:57:00+00:00,,17,27,0,,,,1,17,1,25,27,23,,KXDJTJOINTSESSION-25MAR04-D
2025-01-29 22:05:00+00:00,,18,27,0,,,,17,18,17,27,27,27,,KXDJTJOINTSESSION-25MAR04-D
2025-01-30 01:52:00+00:00,27.0,18,27,92,27.0,27.0,27.0,18,18,18,27,27,27,,KXDJTJOINTSESSION-25MAR04-D
2025-01-30 07:05:00+00:00,27.0,19,27,4,27.0,27.0,27.0,18,19,18,27,27,27,,KXDJTJOINTSESSION-25MAR04-D
2025-01-30 07:09:00+00:00,,26,27,0,,,,19,26,19,27,27,27,,KXDJTJOINTSESSION-25MAR04-D
2025-01-30 14:09:00+00:00,,26,29,0,,,,26,26,26,27,29,27,,KXDJTJOINTSESSION-25MAR04-D
2025-01-30 14:10:00+00:00,,26,27,0,,,,26,26,26,29,29,27,,KXDJTJOINTSESSION-25MAR04-D
2025-01-30 16:42:00+00:00,,26,98,0,,,,26,26,26,27,98,27,,KXDJTJOINTSESSION-25MAR04-D
2025-01-30 16:43:00+00:00,,26,27,0,,,,26,26,26,98,98,27,,KXDJTJOINTSESSION-25MAR04-D
2025-01-30 19:50:00+00:00,27.0,26,27,18,27.0,27.0,27.0,26,26,26,27,27,27,,KXDJTJOINTSESSION-25MAR04-D
2025-01-30 22:33:00+00:00,27.0,27,29,135,27.0,27.0,27.0,26,27,26,27,29,27,,KXDJTJOINTSESSION-25MAR04-D
2025-01-30 22:39:00+00:00,,28,29,0,,,,27,28,27,29,29,29,,KXDJTJOINTSESSION-25MAR04-D
2025-01-31 01:22:00+00:00,,28,98,0,,,,28,28,28,29,98,29,,KXDJTJOINTSESSION-25MAR04-D
2025-01-31 01:27:00+00:00,,28,29,0,,,,28,28,28,98,98,29,,KXDJTJOINTSESSION-25MAR04-D
2025-01-31 01:30:00+00:00,28.0,26,28,115,28.0,28.0,28.0,28,28,26,29,30,28,,KXDJTJOINTSESSION-25MAR04-D
2025-01-31 02:40:00+00:00,28.0,26,28,10,28.0,28.0,28.0,26,26,26,28,28,28,,KXDJTJOINTSESSION-25MAR04-D
2025-01-31 02:43:00+00:00,28.0,26,28,10,28.0,28.0,28.0,26,26,26,28,28,28,,KXDJTJOINTSESSION-25MAR04-D
2025-01-31 03:14:00+00:00,,26,30,0,,,,26,26,26,28,30,28,,KXDJTJOINTSESSION-25MAR04-D
2025-01-31 03:17:00+00:00,,26,28,0,,,,26,26,26,30,30,28,,KXDJTJOINTSESSION-25MAR04-D
2025-01-31 04:57:00+00:00,28.0,26,28,17,28.0,28.0,28.0,26,26,26,28,28,28,,KXDJTJOINTSESSION-25MAR04-D
2025-01-31 05:00:00+00:00,,20,28,0,,,,26,26,20,28,28,28,,KXDJTJOINTSESSION-25MAR04-D
2025-01-31 05:25:00+00:00,20.0,20,28,6,20.0,20.0,20.0,20,20,20,28,28,28,,KXDJTJOINTSESSION-25MAR04-D
