datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-01-29 15:09:00+00:00,,35,45,0,,,,1,35,1,100,100,45,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-29 15:10:00+00:00,,0,100,0,,,,35,35,0,45,100,45,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-29 15:11:00+00:00,,35,45,0,,,,0,35,0,100,100,45,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-29 16:48:00+00:00,45.0,35,45,21,45.0,45.0,45.0,35,35,35,45,45,45,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-29 18:48:00+00:00,,35,44,0,,,,35,35,35,45,45,44,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-30 00:22:00+00:00,44.0,35,44,20,44.0,44.0,44.0,35,35,35,44,44,44,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-30 00:33:00+00:00,45.0,35,45,17,44.0,45.0,44.0,35,35,35,44,45,44,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-30 02:56:00+00:00,45.0,35,45,2,45.0,45.0,45.0,35,35,35,45,45,45,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-30 03:16:00+00:00,,41,45,0,,,,35,41,35,45,45,45,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-30 03:39:00+00:00,45.0,41,45,21,45.0,45.0,45.0,41,41,41,45,45,45,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-30 07:04:00+00:00,,42,45,0,,,,41,42,41,45,45,45,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-30 13:45:00+00:00,45.0,42,45,2,45.0,45.0,45.0,42,42,42,45,45,45,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-30 14:28:00+00:00,,42,44,0,,,,42,42,42,45,45,44,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-30 14:54:00+00:00,44.0,42,44,10,44.0,44.0,44.0,42,42,42,44,44,44,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-30 17:39:00+00:00,42.0,41,42,15,42.0,42.0,42.0,42,42,41,44,44,42,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-30 18:43:00+00:00,41.0,41,42,1,41.0,41.0,41.0,41,41,41,42,42,42,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-30 18:55:00+00:00,42.0,41,42,10,42.0,42.0,42.0,41,41,41,42,42,42,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-30 19:29:00+00:00,42.0,41,42,2,42.0,42.0,42.0,41,41,41,42,42,42,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-30 19:51:00+00:00,42.0,41,42,11,42.0,42.0,42.0,41,41,41,42,42,42,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-30 19:54:00+00:00,42.0,41,42,11,42.0,42.0,42.0,41,41,41,42,42,42,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-30 19:56:00+00:00,42.0,41,42,11,42.0,42.0,42.0,41,41,41,42,42,42,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-30 20:03:00+00:00,42.0,41,42,6,42.0,42.0,42.0,41,41,41,42,42,42,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-30 20:43:00+00:00,42.0,41,42,9,42.0,42.0,42.0,41,41,41,42,42,42,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-30 20:46:00+00:00,42.0,41,44,25,42.0,42.0,42.0,41,41,41,42,44,42,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-30 21:03:00+00:00,44.0,41,44,10,44.0,44.0,44.0,41,41,41,44,44,44,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-30 21:11:00+00:00,45.0,41,45,58,44.0,45.0,44.0,41,41,41,44,45,44,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-30 21:29:00+00:00,45.0,41,45,11,45.0,45.0,45.0,41,41,41,45,45,45,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-30 21:31:00+00:00,47.0,41,46,175,45.0,47.0,45.0,41,41,41,45,98,45,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-30 21:52:00+00:00,46.0,41,46,24,46.0,46.0,46.0,41,41,41,46,46,46,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-30 22:30:00+00:00,48.0,41,47,318,46.0,48.0,46.0,41,41,41,46,52,46,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-30 22:38:00+00:00,47.0,41,47,10,47.0,47.0,47.0,41,41,41,47,47,47,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-30 23:09:00+00:00,,42,47,0,,,,41,42,41,47,47,47,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 00:05:00+00:00,,42,46,0,,,,42,42,42,47,47,46,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 00:07:00+00:00,47.0,42,47,104,46.0,47.0,46.0,42,42,42,46,47,46,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 00:21:00+00:00,47.0,42,47,102,47.0,47.0,47.0,42,42,42,47,47,47,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 00:26:00+00:00,,43,47,0,,,,42,43,42,47,47,47,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 00:34:00+00:00,43.0,43,47,3,43.0,43.0,43.0,43,43,43,47,47,47,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 01:11:00+00:00,47.0,44,47,10,47.0,47.0,47.0,43,44,43,47,47,47,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 02:18:00+00:00,47.0,44,47,2,47.0,47.0,47.0,44,44,44,47,47,47,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 02:45:00+00:00,47.0,44,47,100,47.0,47.0,47.0,44,44,44,47,47,47,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 03:05:00+00:00,47.0,44,47,6,47.0,47.0,47.0,44,44,44,47,47,47,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 03:14:00+00:00,,44,49,0,,,,44,44,44,47,49,47,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 03:17:00+00:00,,44,47,0,,,,44,44,44,49,49,47,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 03:45:00+00:00,49.0,44,49,201,47.0,49.0,47.0,44,44,44,47,49,47,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 03:46:00+00:00,,44,48,0,,,,44,44,44,49,53,48,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 03:47:00+00:00,48.0,44,48,134,48.0,48.0,48.0,44,44,44,48,48,48,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 03:53:00+00:00,48.0,44,48,2,48.0,48.0,48.0,44,44,44,48,48,48,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 03:54:00+00:00,48.0,44,48,2,48.0,48.0,48.0,44,44,44,48,48,48,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 03:55:00+00:00,,47,48,0,,,,44,47,44,48,48,48,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 04:03:00+00:00,48.0,47,48,5,48.0,48.0,48.0,47,47,47,48,48,48,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 04:27:00+00:00,48.0,47,48,20,48.0,48.0,48.0,47,47,47,48,48,48,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 04:59:00+00:00,48.0,47,48,9,48.0,48.0,48.0,47,47,47,48,48,48,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 05:01:00+00:00,,45,48,0,,,,47,47,44,48,48,48,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 05:39:00+00:00,48.0,45,48,5,48.0,48.0,48.0,45,45,45,48,48,48,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 05:40:00+00:00,48.0,45,48,2,48.0,48.0,48.0,45,45,45,48,48,48,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 05:50:00+00:00,48.0,45,48,102,48.0,48.0,48.0,45,45,45,48,48,48,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 05:52:00+00:00,48.0,45,48,10,48.0,48.0,48.0,45,45,45,48,48,48,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 06:07:00+00:00,48.0,45,48,100,48.0,48.0,48.0,45,45,45,48,48,48,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 06:10:00+00:00,,45,98,0,,,,45,45,45,48,98,48,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 06:11:00+00:00,,46,97,0,,,,45,46,45,98,98,97,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 06:17:00+00:00,,47,96,0,,,,46,47,46,97,97,96,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 06:23:00+00:00,,48,95,0,,,,47,48,47,96,96,95,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 06:28:00+00:00,,44,95,0,,,,48,48,44,95,95,95,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 06:29:00+00:00,,45,94,0,,,,44,45,44,95,95,94,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 06:30:00+00:00,,45,93,0,,,,45,45,45,94,94,93,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 06:35:00+00:00,,46,92,0,,,,45,46,45,93,93,92,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 06:41:00+00:00,,47,91,0,,,,46,47,46,92,92,91,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 06:47:00+00:00,,48,90,0,,,,47,48,47,91,91,90,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 06:52:00+00:00,,44,90,0,,,,48,48,44,90,90,90,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 06:53:00+00:00,,45,89,0,,,,44,45,44,90,90,89,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 06:59:00+00:00,,46,88,0,,,,45,46,45,89,89,88,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 07:05:00+00:00,,47,87,0,,,,46,47,46,88,88,87,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 07:11:00+00:00,,48,86,0,,,,47,48,47,87,87,86,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 07:17:00+00:00,,45,84,0,,,,48,48,44,86,86,84,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 07:23:00+00:00,,46,82,0,,,,45,46,45,84,84,82,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 07:29:00+00:00,,47,81,0,,,,46,47,46,82,82,81,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 07:35:00+00:00,,46,80,0,,,,47,47,44,81,82,80,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 07:41:00+00:00,,47,78,0,,,,46,47,46,80,80,78,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 07:47:00+00:00,,48,77,0,,,,47,48,47,78,78,77,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 07:53:00+00:00,,45,76,0,,,,48,48,44,77,77,76,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 07:59:00+00:00,,46,75,0,,,,45,46,45,76,76,75,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 08:05:00+00:00,,44,90,0,,,,46,46,44,75,90,75,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 13:01:00+00:00,,44,52,0,,,,44,44,44,90,90,52,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 13:58:00+00:00,52.0,44,52,99,52.0,52.0,52.0,44,44,44,52,52,52,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 13:59:00+00:00,52.0,44,52,1,52.0,52.0,52.0,44,44,44,52,52,52,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 14:44:00+00:00,52.0,44,52,9,52.0,52.0,52.0,44,44,44,52,52,52,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 14:48:00+00:00,52.0,44,52,93,52.0,52.0,52.0,44,44,44,52,52,52,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 15:11:00+00:00,,44,90,0,,,,44,44,44,52,90,52,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 15:12:00+00:00,,44,52,0,,,,44,44,44,90,90,52,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 15:34:00+00:00,52.0,44,52,5,52.0,52.0,52.0,44,44,44,52,52,52,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 15:36:00+00:00,54.0,44,53,180,52.0,54.0,52.0,44,44,44,52,58,52,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 16:49:00+00:00,44.0,44,53,1,44.0,44.0,44.0,44,44,44,53,53,53,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 16:52:00+00:00,44.0,44,53,50,44.0,44.0,44.0,44,44,44,53,53,53,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 17:35:00+00:00,53.0,44,53,45,53.0,53.0,53.0,44,44,44,53,53,53,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 18:10:00+00:00,53.0,44,53,182,53.0,53.0,53.0,44,44,44,53,53,53,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 18:13:00+00:00,53.0,53,55,137,53.0,53.0,53.0,44,53,44,53,55,53,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 18:46:00+00:00,44.0,44,53,99,53.0,53.0,44.0,53,53,44,55,55,53,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 18:50:00+00:00,44.0,44,53,11,44.0,44.0,44.0,44,44,44,53,53,53,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 18:53:00+00:00,53.0,44,53,18,53.0,53.0,53.0,44,44,44,53,53,53,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 18:56:00+00:00,53.0,44,53,4,53.0,53.0,53.0,44,44,44,53,53,53,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 19:10:00+00:00,55.0,46,56,300,53.0,55.0,53.0,44,46,44,53,57,53,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 19:15:00+00:00,56.0,46,55,3,56.0,56.0,56.0,46,46,46,56,56,55,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 19:16:00+00:00,,50,60,0,,,,46,50,45,55,90,55,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 19:19:00+00:00,,51,59,0,,,,50,51,50,60,60,59,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 19:20:00+00:00,,50,60,0,,,,51,51,50,59,60,59,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 19:22:00+00:00,,50,60,0,,,,50,50,45,60,60,60,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 19:23:00+00:00,,50,59,0,,,,50,50,50,60,60,59,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 19:29:00+00:00,,50,60,0,,,,50,50,50,59,60,59,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 19:35:00+00:00,,51,59,0,,,,50,51,50,60,60,59,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 19:40:00+00:00,,50,59,0,,,,51,51,50,59,59,59,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 19:42:00+00:00,59.0,50,60,24,59.0,59.0,59.0,50,50,50,59,60,59,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 19:47:00+00:00,,51,59,0,,,,50,51,50,60,60,59,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 19:52:00+00:00,,51,60,0,,,,51,51,51,59,60,59,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 19:58:00+00:00,,52,59,0,,,,51,52,50,60,60,59,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 19:59:00+00:00,,52,60,0,,,,52,53,52,59,60,59,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 20:01:00+00:00,,51,60,0,,,,52,52,50,60,60,60,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 20:24:00+00:00,,51,55,0,,,,51,51,51,60,60,55,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 20:25:00+00:00,51.0,51,60,20,51.0,51.0,51.0,51,51,51,55,60,55,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 20:26:00+00:00,,50,60,0,,,,51,51,50,60,60,60,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 20:29:00+00:00,,51,59,0,,,,50,51,50,60,60,59,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 20:34:00+00:00,,50,59,0,,,,51,51,50,59,59,59,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 20:50:00+00:00,59.0,50,59,24,59.0,59.0,59.0,50,50,50,59,59,59,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 20:55:00+00:00,,50,58,0,,,,50,50,50,59,59,58,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 20:56:00+00:00,,50,59,0,,,,50,50,50,58,59,58,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 21:05:00+00:00,,50,59,0,,,,50,50,50,59,59,58,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 21:06:00+00:00,,50,58,0,,,,50,50,50,59,59,58,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 21:07:00+00:00,,50,59,0,,,,50,50,50,58,59,58,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 21:10:00+00:00,,50,58,0,,,,50,50,50,59,59,58,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 21:11:00+00:00,,50,59,0,,,,50,50,50,58,59,58,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 21:13:00+00:00,,50,58,0,,,,50,50,50,59,59,58,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 21:14:00+00:00,,50,59,0,,,,50,50,50,58,59,58,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 21:19:00+00:00,58.0,50,59,8,58.0,58.0,58.0,50,50,50,59,59,58,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 21:22:00+00:00,,51,58,0,,,,50,51,50,59,59,58,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 21:24:00+00:00,,52,58,0,,,,51,52,51,58,58,58,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 21:30:00+00:00,,52,59,0,,,,52,52,52,58,59,58,,KXDJTJOINTSESSION-25MAR04-EM
2025-01-31 21:32:00+00:00,,51,59,0,,,,52,52,50,59,59,59,,KXDJTJOINTSESSION-25MAR04-EM
