datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-01-29 15:02:00+00:00,,1,100,0,,,,1,1,1,100,100,100,,KXDJTJOINTSESSION-25MAR04-I
2025-01-29 15:09:00+00:00,,90,100,0,,,,1,90,1,100,100,100,,KXDJTJOINTSESSION-25MAR04-I
2025-01-29 15:10:00+00:00,,1,100,0,,,,90,90,1,100,100,100,,KXDJTJOINTSESSION-25MAR04-I
2025-01-29 15:11:00+00:00,,90,100,0,,,,1,90,1,100,100,100,,KXDJTJOINTSESSION-25MAR04-I
2025-01-30 01:44:00+00:00,90.0,90,100,199,90.0,90.0,90.0,90,90,90,100,100,100,,KXDJTJOINTSESSION-25MAR04-I
2025-01-30 02:27:00+00:00,,90,99,0,,,,90,90,90,100,100,99,,KXDJTJOINTSESSION-25MAR04-I
2025-01-30 06:59:00+00:00,,90,98,0,,,,90,90,90,99,99,98,,KXDJTJOINTSESSION-25MAR04-I
2025-01-30 13:47:00+00:00,,90,97,0,,,,90,90,90,98,98,97,,KXDJTJOINTSESSION-25MAR04-I
2025-01-30 14:09:00+00:00,,88,97,0,,,,90,90,88,97,97,97,,KXDJTJOINTSESSION-25MAR04-I
2025-01-30 14:10:00+00:00,,90,97,0,,,,88,90,88,97,97,97,,KXDJTJOINTSESSION-25MAR04-I
2025-01-30 16:15:00+00:00,97.0,97,98,100,97.0,97.0,97.0,90,97,90,97,98,97,,KXDJTJOINTSESSION-25MAR04-I
2025-01-30 20:57:00+00:00,97.0,97,98,333,97.0,97.0,97.0,97,97,97,98,98,98,,KXDJTJOINTSESSION-25MAR04-I
2025-01-30 20:58:00+00:00,97.0,91,98,67,97.0,97.0,97.0,97,97,91,98,98,98,,KXDJTJOINTSESSION-25MAR04-I
2025-01-30 21:02:00+00:00,,91,97,0,,,,91,91,91,98,98,97,,KXDJTJOINTSESSION-25MAR04-I
2025-01-30 21:08:00+00:00,,91,96,0,,,,91,91,91,97,97,96,,KXDJTJOINTSESSION-25MAR04-I
2025-01-30 21:09:00+00:00,,92,96,0,,,,91,92,91,96,96,96,,KXDJTJOINTSESSION-25MAR04-I
2025-01-30 22:41:00+00:00,,94,97,0,,,,92,94,92,96,97,96,,KXDJTJOINTSESSION-25MAR04-I
2025-01-31 05:13:00+00:00,97.0,95,97,1,97.0,97.0,97.0,94,95,94,97,97,97,,KXDJTJOINTSESSION-25MAR04-I
2025-01-31 05:37:00+00:00,,96,97,0,,,,95,96,95,97,97,97,,KXDJTJOINTSESSION-25MAR04-I
2025-01-31 05:38:00+00:00,,95,97,0,,,,96,96,95,97,97,97,,KXDJTJOINTSESSION-25MAR04-I
2025-02-01 00:31:00+00:00,97.0,95,97,2,97.0,97.0,97.0,95,95,95,97,97,97,,KXDJTJOINTSESSION-25MAR04-I
2025-02-01 01:20:00+00:00,97.0,95,98,12,97.0,97.0,97.0,95,95,95,97,98,97,,KXDJTJOINTSESSION-25MAR04-I
2025-02-01 02:42:00+00:00,98.0,98,99,75,98.0,98.0,98.0,95,98,95,98,99,98,,KXDJTJOINTSESSION-25MAR04-I
2025-02-01 04:38:00+00:00,98.0,98,99,17,98.0,98.0,98.0,98,98,98,99,99,99,,KXDJTJOINTSESSION-25MAR04-I
2025-02-01 16:00:00+00:00,98.0,95,99,8,98.0,98.0,98.0,98,98,95,99,99,99,,KXDJTJOINTSESSION-25MAR04-I
2025-02-01 16:26:00+00:00,90.0,90,99,200,95.0,95.0,90.0,95,95,90,99,99,99,,KXDJTJOINTSESSION-25MAR04-I
2025-02-01 16:40:00+00:00,,90,98,0,,,,90,90,90,99,99,98,,KXDJTJOINTSESSION-25MAR04-I
2025-02-01 16:52:00+00:00,98.0,90,99,50,98.0,98.0,98.0,90,90,90,98,99,98,,KXDJTJOINTSESSION-25MAR04-I
2025-02-01 17:04:00+00:00,,91,98,0,,,,90,91,90,99,99,98,,KXDJTJOINTSESSION-25MAR04-I
2025-02-01 18:02:00+00:00,,92,97,0,,,,91,92,91,98,98,97,,KXDJTJOINTSESSION-25MAR04-I
2025-02-01 18:04:00+00:00,,93,97,0,,,,92,93,92,97,97,97,,KXDJTJOINTSESSION-25MAR04-I
