datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-02-11 15:08:00+00:00,,60,70,0,,,,1,60,1,100,100,70,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 15:10:00+00:00,,55,75,0,,,,60,60,55,70,75,70,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 15:30:00+00:00,75.0,55,75,10,75.0,75.0,75.0,55,55,55,75,75,75,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 15:31:00+00:00,,55,74,0,,,,55,55,55,75,75,74,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 15:33:00+00:00,,67,74,0,,,,55,67,55,74,74,74,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 16:39:00+00:00,74.0,67,74,26,74.0,74.0,74.0,67,67,67,74,74,74,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 16:58:00+00:00,74.0,67,74,5,74.0,74.0,74.0,67,67,67,74,74,74,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 17:23:00+00:00,74.0,67,74,135,74.0,74.0,74.0,67,67,67,74,74,74,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 17:24:00+00:00,,68,74,0,,,,67,68,67,74,74,74,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 17:25:00+00:00,74.0,68,74,27,74.0,74.0,74.0,68,68,68,74,74,74,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 17:30:00+00:00,74.0,68,74,13,74.0,74.0,74.0,68,68,68,74,74,74,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 18:23:00+00:00,,73,74,0,,,,68,73,68,74,74,74,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 18:43:00+00:00,,73,75,0,,,,73,73,73,74,75,74,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 18:46:00+00:00,,73,74,0,,,,73,73,73,75,75,74,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 18:52:00+00:00,74.0,73,74,10,74.0,74.0,74.0,73,73,73,74,74,74,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 19:01:00+00:00,,73,75,0,,,,73,73,73,74,75,74,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 19:06:00+00:00,,73,74,0,,,,73,73,73,75,75,74,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 19:07:00+00:00,,73,75,0,,,,73,73,73,74,75,74,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 19:10:00+00:00,,73,74,0,,,,73,73,73,75,75,74,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 19:17:00+00:00,74.0,73,74,26,74.0,74.0,74.0,73,73,73,74,74,74,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 20:03:00+00:00,74.0,73,74,13,74.0,74.0,74.0,73,73,73,74,74,74,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 20:16:00+00:00,,73,75,0,,,,73,73,73,74,75,74,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 20:32:00+00:00,,73,75,0,,,,73,73,73,75,75,74,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 20:35:00+00:00,,73,74,0,,,,73,73,73,75,75,74,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 21:04:00+00:00,,73,75,0,,,,73,73,73,74,75,74,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 21:12:00+00:00,,73,74,0,,,,73,73,73,75,75,74,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 21:21:00+00:00,,73,75,0,,,,73,73,73,74,75,74,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 21:22:00+00:00,74.0,73,75,47,74.0,74.0,74.0,73,73,73,75,75,74,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 21:24:00+00:00,75.0,73,74,14,75.0,75.0,75.0,73,73,73,75,75,74,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 21:38:00+00:00,,73,75,0,,,,73,73,73,74,75,74,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 21:45:00+00:00,75.0,73,75,13,75.0,75.0,75.0,73,73,73,75,75,75,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 22:27:00+00:00,75.0,73,75,6,75.0,75.0,75.0,73,73,73,75,75,75,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 22:32:00+00:00,,73,74,0,,,,73,73,73,75,75,74,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 22:43:00+00:00,,73,75,0,,,,73,73,73,74,75,74,,KXDJTJOINTSESSION-25MAR04-M
2025-02-11 22:44:00+00:00,,73,74,0,,,,73,73,73,75,75,74,,KXDJTJOINTSESSION-25MAR04-M
