datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-01-29 15:09:00+00:00,35.0,15,27,200,35.0,35.0,35.0,35,35,15,100,100,25,,KXDJTJOINTSESSION-25MAR04-M3
2025-01-29 15:10:00+00:00,,0,100,0,,,,15,15,0,27,100,27,,KXDJTJOINTSESSION-25MAR04-M3
2025-01-29 15:11:00+00:00,,24,34,0,,,,0,24,0,100,100,34,,KXDJTJOINTSESSION-25MAR04-M3
2025-01-29 15:17:00+00:00,,25,34,0,,,,24,25,24,34,34,34,,KXDJTJOINTSESSION-25MAR04-M3
2025-01-29 17:35:00+00:00,,25,34,0,,,,25,26,25,34,34,33,,KXDJTJOINTSESSION-25MAR04-M3
2025-01-29 17:36:00+00:00,,25,34,0,,,,25,26,25,34,34,33,,KXDJTJOINTSESSION-25MAR04-M3
2025-01-29 17:44:00+00:00,,25,33,0,,,,25,25,25,34,34,33,,KXDJTJOINTSESSION-25MAR04-M3
2025-01-29 17:45:00+00:00,,25,34,0,,,,25,25,25,33,34,33,,KXDJTJOINTSESSION-25MAR04-M3
2025-01-29 17:57:00+00:00,,25,34,0,,,,25,25,25,34,34,33,,KXDJTJOINTSESSION-25MAR04-M3
2025-01-29 17:59:00+00:00,,25,34,0,,,,25,25,25,34,34,33,,KXDJTJOINTSESSION-25MAR04-M3
2025-01-29 18:05:00+00:00,,25,33,0,,,,25,25,25,34,34,33,,KXDJTJOINTSESSION-25MAR04-M3
2025-01-29 18:06:00+00:00,,25,34,0,,,,25,25,25,33,34,33,,KXDJTJOINTSESSION-25MAR04-M3
2025-01-29 18:09:00+00:00,,25,34,0,,,,25,25,25,34,34,33,,KXDJTJOINTSESSION-25MAR04-M3
2025-01-29 18:21:00+00:00,,25,34,0,,,,25,25,25,34,34,33,,KXDJTJOINTSESSION-25MAR04-M3
2025-01-29 18:33:00+00:00,,25,34,0,,,,25,25,25,34,34,33,,KXDJTJOINTSESSION-25MAR04-M3
2025-01-29 18:47:00+00:00,,25,34,0,,,,25,25,25,34,34,33,,KXDJTJOINTSESSION-25MAR04-M3
2025-01-29 18:49:00+00:00,,26,34,0,,,,25,26,25,34,34,34,,KXDJTJOINTSESSION-25MAR04-M3
2025-01-29 23:27:00+00:00,36.0,26,36,300,34.0,36.0,34.0,26,26,26,34,36,34,,KXDJTJOINTSESSION-25MAR04-M3
2025-01-29 23:28:00+00:00,,26,35,0,,,,26,26,26,36,39,35,,KXDJTJOINTSESSION-25MAR04-M3
