datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-03-04 14:38:00+00:00,,1,100,0,,,,1,1,1,100,100,100,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 14:39:00+00:00,,21,100,0,,,,1,21,1,100,100,100,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 14:40:00+00:00,,25,100,0,,,,21,25,21,100,100,100,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 14:50:00+00:00,,55,100,0,,,,25,55,25,100,100,100,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 14:54:00+00:00,,80,90,0,,,,55,80,55,100,100,90,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 14:57:00+00:00,91.0,81,92,282,90.0,91.0,90.0,80,81,80,90,92,90,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 15:00:00+00:00,,85,92,0,,,,81,85,81,92,92,92,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 15:01:00+00:00,,86,92,0,,,,85,86,85,92,92,92,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 15:02:00+00:00,92.0,86,92,3,92.0,92.0,92.0,86,86,86,92,92,92,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 15:04:00+00:00,,86,94,0,,,,86,86,86,92,94,92,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 15:05:00+00:00,,87,94,0,,,,86,87,86,94,94,94,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 15:10:00+00:00,,88,94,0,,,,87,88,87,94,94,94,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 15:11:00+00:00,94.0,88,94,158,94.0,94.0,94.0,88,88,88,94,94,94,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 15:12:00+00:00,,89,95,0,,,,88,89,88,94,95,94,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 15:13:00+00:00,,91,95,0,,,,89,91,89,95,95,95,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 15:14:00+00:00,,92,94,0,,,,91,92,91,95,95,94,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 15:15:00+00:00,,93,94,0,,,,92,93,92,94,94,94,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 15:16:00+00:00,,93,95,0,,,,93,93,93,94,95,94,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 15:18:00+00:00,,93,94,0,,,,93,93,93,95,95,94,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 15:24:00+00:00,94.0,93,94,1,94.0,94.0,94.0,93,93,93,94,94,94,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 15:30:00+00:00,,93,95,0,,,,93,93,93,94,95,94,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 15:31:00+00:00,,93,94,0,,,,93,93,93,95,95,94,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 15:35:00+00:00,94.0,93,95,77,94.0,94.0,94.0,93,93,93,94,95,94,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 15:45:00+00:00,93.0,91,94,158,93.0,93.0,93.0,93,93,90,95,95,94,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 15:46:00+00:00,93.0,90,93,148,91.0,93.0,91.0,91,91,90,94,94,93,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 15:48:00+00:00,93.0,90,93,3,93.0,93.0,93.0,90,90,90,93,93,93,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 15:54:00+00:00,90.0,89,93,250,90.0,90.0,90.0,90,90,89,93,93,93,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 15:55:00+00:00,,90,93,0,,,,89,90,89,93,93,93,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 16:08:00+00:00,,91,93,0,,,,90,91,90,93,93,93,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 16:10:00+00:00,93.0,91,93,5,93.0,93.0,93.0,91,91,91,93,93,93,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 16:12:00+00:00,93.0,91,93,5,93.0,93.0,93.0,91,91,91,93,93,93,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 16:20:00+00:00,93.0,91,93,1,93.0,93.0,93.0,91,91,91,93,93,93,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 16:21:00+00:00,93.0,90,93,63,91.0,93.0,90.0,91,91,90,93,93,93,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 16:25:00+00:00,93.0,90,93,1,93.0,93.0,93.0,90,90,90,93,93,93,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 16:28:00+00:00,90.0,90,93,9,90.0,90.0,90.0,90,90,90,93,93,93,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 16:31:00+00:00,93.0,90,93,53,93.0,93.0,93.0,90,90,90,93,93,93,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 16:32:00+00:00,,90,92,0,,,,90,90,90,93,93,92,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 16:34:00+00:00,93.0,90,92,200,92.0,93.0,92.0,90,90,90,92,93,92,,KXDJTJOINTSESSION-25MAR04-UKRAINE
2025-03-04 17:10:00+00:00,90.0,90,92,5,90.0,90.0,90.0,90,90,90,92,92,92,,KXDJTJOINTSESSION-25MAR04-UKRAINE
