datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-03 20:01:00+00:00,,10,20,0,,,,9,10,9,100,100,20,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:02:00+00:00,,10,19,0,,,,10,10,10,20,21,19,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:03:00+00:00,,10,19,0,,,,10,10,10,19,19,19,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:04:00+00:00,,10,19,0,,,,10,10,10,19,19,19,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:05:00+00:00,,11,19,0,,,,10,11,10,19,19,19,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:06:00+00:00,,11,19,0,,,,11,11,11,19,19,19,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:07:00+00:00,,11,19,0,,,,11,11,11,19,19,19,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:08:00+00:00,,11,18,0,,,,11,11,11,19,19,18,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:09:00+00:00,,11,18,0,,,,11,11,11,18,18,18,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:10:00+00:00,,11,18,0,,,,11,11,11,18,18,18,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:11:00+00:00,,11,18,0,,,,11,11,11,18,18,18,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:12:00+00:00,,11,18,0,,,,11,11,11,18,18,18,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:13:00+00:00,,11,18,0,,,,11,11,11,18,18,18,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:14:00+00:00,,11,18,0,,,,11,11,11,18,18,18,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:15:00+00:00,,11,18,0,,,,11,11,11,18,18,18,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:16:00+00:00,,11,18,0,,,,11,11,11,18,18,18,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:17:00+00:00,,10,18,0,,,,11,11,10,18,18,18,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:18:00+00:00,,10,18,0,,,,10,10,10,18,18,18,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:19:00+00:00,,10,18,0,,,,10,10,10,18,18,18,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:20:00+00:00,,10,18,0,,,,10,10,10,18,18,18,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:21:00+00:00,,10,18,0,,,,10,10,9,18,18,18,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:22:00+00:00,,10,18,0,,,,10,10,10,18,18,18,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:24:00+00:00,,10,18,0,,,,10,10,10,18,18,18,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:26:00+00:00,,10,18,0,,,,10,10,10,18,18,18,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:27:00+00:00,,10,17,0,,,,10,10,10,18,18,17,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:28:00+00:00,17.0,11,17,277,17.0,17.0,17.0,10,11,10,17,17,17,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:29:00+00:00,,11,17,0,,,,11,11,11,17,17,17,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:30:00+00:00,,11,17,0,,,,11,11,11,17,17,17,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:33:00+00:00,,11,15,0,,,,11,11,11,17,17,15,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:34:00+00:00,,11,15,0,,,,11,11,11,15,15,15,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:35:00+00:00,,11,15,0,,,,11,11,11,15,15,15,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:38:00+00:00,,11,14,0,,,,11,11,11,15,15,14,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:39:00+00:00,,11,14,0,,,,11,11,11,14,14,14,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:42:00+00:00,,11,14,0,,,,11,11,11,14,14,14,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:43:00+00:00,,11,14,0,,,,11,11,11,14,14,14,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:44:00+00:00,,11,14,0,,,,11,11,11,14,14,14,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:46:00+00:00,,11,15,0,,,,11,11,11,14,15,14,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:47:00+00:00,15.0,11,13,1,15.0,15.0,15.0,11,11,11,15,15,13,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:48:00+00:00,,11,13,0,,,,11,11,11,13,13,13,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:49:00+00:00,,11,12,0,,,,11,11,11,13,13,12,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:50:00+00:00,,11,12,0,,,,11,11,11,12,12,12,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:53:00+00:00,,11,13,0,,,,11,11,11,12,13,12,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:54:00+00:00,,11,13,0,,,,11,11,11,13,13,13,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:57:00+00:00,,11,13,0,,,,11,11,11,13,13,13,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:58:00+00:00,,11,13,0,,,,11,11,11,13,13,13,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 20:59:00+00:00,,11,13,0,,,,11,11,11,13,13,13,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 21:02:00+00:00,,11,13,0,,,,11,11,11,13,13,13,,KXGOVSHUTLENGTH-26JAN01-40D
2025-10-03 21:05:00+00:00,,11,13,0,,,,11,11,11,13,13,13,,KXGOVSHUTLENGTH-26JAN01-40D
