datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-06-23 01:01:00+00:00,,1,98,0,,,,1,1,1,100,100,98,,KXMAYORNYCPARTY-25-EADA
2025-06-23 01:33:00+00:00,,1,96,0,,,,1,1,1,98,98,96,,KXMAYORNYCPARTY-25-EADA
2025-06-23 01:34:00+00:00,,1,78,0,,,,1,1,1,96,96,78,,KXMAYORNYCPARTY-25-EADA
2025-06-23 01:35:00+00:00,,1,50,0,,,,1,1,1,78,78,50,,KXMAYORNYCPARTY-25-EADA
2025-06-23 01:43:00+00:00,,1,46,0,,,,1,1,1,50,50,46,,KXMAYORNYCPARTY-25-EADA
2025-06-23 01:50:00+00:00,,2,46,0,,,,1,2,1,46,46,46,,KXMAYORNYCPARTY-25-EADA
2025-06-23 01:51:00+00:00,,3,46,0,,,,2,3,2,46,46,46,,KXMAYORNYCPARTY-25-EADA
2025-06-23 01:54:00+00:00,,5,46,0,,,,3,5,3,46,46,46,,KXMAYORNYCPARTY-25-EADA
2025-06-23 01:59:00+00:00,,5,46,0,,,,5,5,5,46,46,46,,KXMAYORNYCPARTY-25-EADA
2025-06-23 02:02:00+00:00,,5,46,0,,,,5,5,5,46,46,46,,KXMAYORNYCPARTY-25-EADA
2025-06-23 02:03:00+00:00,,5,44,0,,,,5,5,5,46,46,44,,KXMAYORNYCPARTY-25-EADA
2025-06-23 02:04:00+00:00,,5,42,0,,,,5,5,5,44,44,42,,KXMAYORNYCPARTY-25-EADA
2025-06-23 02:05:00+00:00,,5,40,0,,,,5,5,5,42,42,40,,KXMAYORNYCPARTY-25-EADA
2025-06-23 02:06:00+00:00,,5,34,0,,,,5,5,5,40,40,34,,KXMAYORNYCPARTY-25-EADA
2025-06-23 02:07:00+00:00,,5,14,0,,,,5,5,5,34,34,14,,KXMAYORNYCPARTY-25-EADA
2025-06-23 02:08:00+00:00,,5,12,0,,,,5,5,5,14,14,12,,KXMAYORNYCPARTY-25-EADA
2025-06-23 02:09:00+00:00,12.0,5,73,1,12.0,12.0,12.0,5,5,5,12,98,12,,KXMAYORNYCPARTY-25-EADA
2025-06-23 02:10:00+00:00,,5,41,0,,,,5,5,5,73,73,41,,KXMAYORNYCPARTY-25-EADA
2025-06-23 02:11:00+00:00,,5,17,0,,,,5,5,5,41,41,17,,KXMAYORNYCPARTY-25-EADA
2025-06-23 02:28:00+00:00,,5,15,0,,,,5,5,5,17,17,15,,KXMAYORNYCPARTY-25-EADA
2025-06-23 02:30:00+00:00,,5,13,0,,,,5,5,5,15,15,13,,KXMAYORNYCPARTY-25-EADA
2025-06-23 02:32:00+00:00,,5,13,0,,,,5,5,5,13,13,13,,KXMAYORNYCPARTY-25-EADA
2025-06-23 02:33:00+00:00,,5,13,0,,,,5,5,5,13,13,13,,KXMAYORNYCPARTY-25-EADA
2025-06-23 02:35:00+00:00,,5,13,0,,,,5,5,5,13,13,13,,KXMAYORNYCPARTY-25-EADA
2025-06-23 02:36:00+00:00,,5,13,0,,,,5,5,5,13,13,13,,KXMAYORNYCPARTY-25-EADA
2025-06-23 02:37:00+00:00,,5,13,0,,,,5,5,5,13,13,13,,KXMAYORNYCPARTY-25-EADA
2025-06-23 02:38:00+00:00,,5,13,0,,,,5,5,5,13,13,13,,KXMAYORNYCPARTY-25-EADA
2025-06-23 02:39:00+00:00,,5,13,0,,,,5,5,5,13,13,13,,KXMAYORNYCPARTY-25-EADA
2025-06-23 02:42:00+00:00,,5,13,0,,,,5,5,5,13,13,13,,KXMAYORNYCPARTY-25-EADA
2025-06-23 02:44:00+00:00,,5,13,0,,,,5,5,5,13,13,13,,KXMAYORNYCPARTY-25-EADA
2025-06-23 02:47:00+00:00,,5,13,0,,,,5,5,5,13,13,13,,KXMAYORNYCPARTY-25-EADA
2025-06-23 02:50:00+00:00,,5,13,0,,,,5,5,5,13,13,13,,KXMAYORNYCPARTY-25-EADA
2025-06-23 02:51:00+00:00,,5,13,0,,,,5,5,5,13,13,13,,KXMAYORNYCPARTY-25-EADA
2025-06-23 02:52:00+00:00,,5,13,0,,,,5,5,5,13,13,13,,KXMAYORNYCPARTY-25-EADA
2025-06-23 02:53:00+00:00,,5,13,0,,,,5,5,5,13,13,13,,KXMAYORNYCPARTY-25-EADA
2025-06-23 02:54:00+00:00,,5,13,0,,,,5,5,5,13,13,13,,KXMAYORNYCPARTY-25-EADA
2025-06-23 02:55:00+00:00,,5,13,0,,,,5,5,5,13,13,13,,KXMAYORNYCPARTY-25-EADA
2025-06-23 02:56:00+00:00,,5,13,0,,,,5,5,5,13,13,13,,KXMAYORNYCPARTY-25-EADA
2025-06-23 02:57:00+00:00,,5,13,0,,,,5,5,5,13,13,13,,KXMAYORNYCPARTY-25-EADA
2025-06-23 02:58:00+00:00,,5,13,0,,,,5,5,5,13,13,13,,KXMAYORNYCPARTY-25-EADA
2025-06-23 02:59:00+00:00,,5,13,0,,,,5,5,5,13,13,13,,KXMAYORNYCPARTY-25-EADA
2025-06-23 03:00:00+00:00,,5,13,0,,,,5,5,5,13,13,13,,KXMAYORNYCPARTY-25-EADA
2025-06-23 03:01:00+00:00,,5,13,0,,,,5,5,5,13,13,13,,KXMAYORNYCPARTY-25-EADA
2025-06-23 03:14:00+00:00,,5,13,0,,,,5,5,5,13,13,13,,KXMAYORNYCPARTY-25-EADA
2025-06-23 03:15:00+00:00,,5,13,0,,,,5,5,5,13,13,13,,KXMAYORNYCPARTY-25-EADA
2025-06-23 03:16:00+00:00,,5,13,0,,,,5,5,5,13,13,13,,KXMAYORNYCPARTY-25-EADA
2025-06-23 03:18:00+00:00,,5,13,0,,,,5,5,5,13,13,13,,KXMAYORNYCPARTY-25-EADA
