datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-06-24 15:51:00+00:00,,1,98,0,,,,1,1,1,100,100,98,,KXMAYORNYCPARTY-25-JWAL
2025-06-24 15:52:00+00:00,,1,98,0,,,,1,1,1,98,99,98,,KXMAYORNYCPARTY-25-JWAL
2025-06-24 16:07:00+00:00,,1,4,0,,,,1,1,1,98,98,4,,KXMAYORNYCPARTY-25-JWAL
2025-06-24 16:08:00+00:00,,1,4,0,,,,1,1,1,4,4,4,,KXMAYORNYCPARTY-25-JWAL
2025-06-24 16:32:00+00:00,,1,4,0,,,,1,1,1,4,4,4,,KXMAYORNYCPARTY-25-JWAL
2025-06-24 16:40:00+00:00,1.0,0,4,800,1.0,1.0,1.0,1,1,0,4,4,4,,KXMAYORNYCPARTY-25-JWAL
2025-06-24 16:41:00+00:00,,0,1,0,,,,0,0,0,4,4,1,,KXMAYORNYCPARTY-25-JWAL
2025-06-24 16:58:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXMAYORNYCPARTY-25-JWAL
2025-06-24 17:20:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXMAYORNYCPARTY-25-JWAL
2025-06-24 17:29:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXMAYORNYCPARTY-25-JWAL
2025-06-24 17:44:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXMAYORNYCPARTY-25-JWAL
2025-06-24 18:12:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXMAYORNYCPARTY-25-JWAL
2025-06-24 18:14:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXMAYORNYCPARTY-25-JWAL
2025-06-24 19:09:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXMAYORNYCPARTY-25-JWAL
2025-06-24 19:31:00+00:00,1.0,0,1,1870,1.0,1.0,1.0,0,0,0,1,1,1,,KXMAYORNYCPARTY-25-JWAL
2025-06-24 19:59:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXMAYORNYCPARTY-25-JWAL
2025-06-24 20:49:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXMAYORNYCPARTY-25-JWAL
2025-06-24 21:03:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXMAYORNYCPARTY-25-JWAL
2025-06-24 21:07:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXMAYORNYCPARTY-25-JWAL
2025-06-24 21:36:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXMAYORNYCPARTY-25-JWAL
2025-06-24 22:25:00+00:00,1.0,0,1,300,1.0,1.0,1.0,0,0,0,1,1,1,,KXMAYORNYCPARTY-25-JWAL
2025-06-24 22:39:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXMAYORNYCPARTY-25-JWAL
2025-06-24 23:05:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXMAYORNYCPARTY-25-JWAL
2025-06-24 23:36:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXMAYORNYCPARTY-25-JWAL
2025-06-25 00:03:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXMAYORNYCPARTY-25-JWAL
2025-06-25 00:11:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXMAYORNYCPARTY-25-JWAL
2025-06-25 00:18:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXMAYORNYCPARTY-25-JWAL
