datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2024-12-10 02:06:00+00:00,1.0,0,1,11,1.0,1.0,1.0,0,0,0,1,1,1,,POPVOTEMOV-24-D-B1.5
2024-12-10 21:31:00+00:00,1.0,0,1,2000,1.0,1.0,1.0,0,0,0,1,1,1,,POPVOTEMOV-24-D-B1.5
2024-12-10 22:44:00+00:00,1.0,0,1,488,1.0,1.0,1.0,0,0,0,1,1,1,,POPVOTEMOV-24-D-B1.5
2024-12-21 19:07:00+00:00,1.0,0,1,5,1.0,1.0,1.0,0,0,0,1,1,1,,POPVOTEMOV-24-D-B1.5
2024-12-27 21:49:00+00:00,1.0,0,1,2,1.0,1.0,1.0,0,0,0,1,1,1,,POPVOTEMOV-24-D-B1.5
2024-12-27 21:57:00+00:00,1.0,0,1,2,1.0,1.0,1.0,0,0,0,1,1,1,,POPVOTEMOV-24-D-B1.5
2024-12-27 21:59:00+00:00,1.0,0,1,2,1.0,1.0,1.0,0,0,0,1,1,1,,POPVOTEMOV-24-D-B1.5
2024-12-27 22:00:00+00:00,1.0,0,1,2,1.0,1.0,1.0,0,0,0,1,1,1,,POPVOTEMOV-24-D-B1.5
2024-12-27 22:01:00+00:00,1.0,0,1,4,1.0,1.0,1.0,0,0,0,1,1,1,,POPVOTEMOV-24-D-B1.5
2024-12-27 22:02:00+00:00,1.0,0,1,4,1.0,1.0,1.0,0,0,0,1,1,1,,POPVOTEMOV-24-D-B1.5
2024-12-27 22:15:00+00:00,1.0,0,1,4,1.0,1.0,1.0,0,0,0,1,1,1,,POPVOTEMOV-24-D-B1.5
2024-12-27 22:16:00+00:00,1.0,0,1,8,1.0,1.0,1.0,0,0,0,1,1,1,,POPVOTEMOV-24-D-B1.5
2024-12-27 22:18:00+00:00,1.0,0,1,4,1.0,1.0,1.0,0,0,0,1,1,1,,POPVOTEMOV-24-D-B1.5
2024-12-27 22:19:00+00:00,1.0,0,1,10,1.0,1.0,1.0,0,0,0,1,1,1,,POPVOTEMOV-24-D-B1.5
2024-12-27 22:20:00+00:00,1.0,0,1,4,1.0,1.0,1.0,0,0,0,1,1,1,,POPVOTEMOV-24-D-B1.5
2024-12-28 00:08:00+00:00,1.0,0,1,1,1.0,1.0,1.0,0,0,0,1,1,1,,POPVOTEMOV-24-D-B1.5
2024-12-29 02:36:00+00:00,1.0,0,1,2,1.0,1.0,1.0,0,0,0,1,1,1,,POPVOTEMOV-24-D-B1.5
2024-12-31 07:28:00+00:00,1.0,0,1,1,1.0,1.0,1.0,0,0,0,1,1,1,,POPVOTEMOV-24-D-B1.5
2025-01-06 19:00:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,POPVOTEMOV-24-D-B1.5
