datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2024-12-06 20:14:00+00:00,96.0,96,97,182,96.0,96.0,96.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-06 20:46:00+00:00,96.0,96,97,111,96.0,96.0,96.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-06 23:53:00+00:00,96.0,96,97,12,96.0,96.0,96.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-07 02:01:00+00:00,97.0,96,97,95,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-07 04:26:00+00:00,96.0,96,97,3498,96.0,96.0,96.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-07 05:08:00+00:00,96.0,96,97,13,96.0,96.0,96.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-07 06:12:00+00:00,97.0,96,97,48,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-07 14:05:00+00:00,96.0,96,97,337,96.0,96.0,96.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-07 14:23:00+00:00,96.0,96,97,5500,96.0,96.0,96.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-07 15:12:00+00:00,96.0,96,97,18,96.0,96.0,96.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-07 16:50:00+00:00,97.0,96,97,139,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-07 22:14:00+00:00,96.0,96,97,5348,96.0,96.0,96.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-07 23:27:00+00:00,96.0,96,97,20,96.0,96.0,96.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-08 00:07:00+00:00,96.0,96,97,234,96.0,96.0,96.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-08 01:46:00+00:00,96.0,96,97,9,96.0,96.0,96.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-08 03:20:00+00:00,96.0,96,97,54,96.0,96.0,96.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-08 03:33:00+00:00,97.0,96,97,494,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-08 05:07:00+00:00,96.0,96,97,5000,96.0,96.0,96.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-08 06:43:00+00:00,97.0,96,97,180,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-08 15:38:00+00:00,97.0,96,97,43022,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-08 16:14:00+00:00,97.0,96,97,100,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-08 19:46:00+00:00,96.0,96,97,800,96.0,96.0,96.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-08 21:02:00+00:00,97.0,96,97,50,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-08 21:03:00+00:00,97.0,96,97,50,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-08 21:13:00+00:00,97.0,96,97,100,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-08 21:44:00+00:00,97.0,96,97,100,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-08 22:46:00+00:00,97.0,96,97,20,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-09 03:40:00+00:00,96.0,96,97,207,96.0,96.0,96.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-09 04:18:00+00:00,97.0,96,97,6,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-09 04:46:00+00:00,97.0,96,97,1543,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-09 05:23:00+00:00,97.0,96,97,1030,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-09 05:49:00+00:00,96.0,96,97,132,96.0,96.0,96.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-09 06:13:00+00:00,97.0,96,97,2577,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-09 07:19:00+00:00,97.0,96,97,1648,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-09 08:00:00+00:00,96.0,96,97,147,96.0,96.0,96.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-09 14:32:00+00:00,97.0,96,97,20,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-09 14:35:00+00:00,97.0,96,97,40,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-09 15:00:00+00:00,96.0,96,97,100,96.0,96.0,96.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-09 15:46:00+00:00,96.0,96,97,3,96.0,96.0,96.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-09 15:57:00+00:00,96.0,96,97,53,96.0,96.0,96.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-09 16:21:00+00:00,96.0,96,97,12,96.0,96.0,96.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-09 17:14:00+00:00,97.0,96,97,111,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-09 17:33:00+00:00,97.0,96,97,1031,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-09 19:34:00+00:00,97.0,96,97,20,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-10 03:43:00+00:00,97.0,96,97,2000,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-10 04:23:00+00:00,97.0,96,97,20000,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-10 04:24:00+00:00,97.0,96,97,10000,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-10 04:25:00+00:00,96.0,96,97,18000,96.0,96.0,96.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-10 04:35:00+00:00,97.0,96,97,2577,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-10 05:36:00+00:00,96.0,96,97,142,96.0,96.0,96.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-10 07:21:00+00:00,97.0,96,97,81,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-10 07:59:00+00:00,97.0,96,97,1000,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-10 16:19:00+00:00,97.0,96,97,1000,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-10 19:26:00+00:00,97.0,96,97,278,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-10 21:28:00+00:00,96.0,96,97,50,96.0,96.0,96.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-10 21:43:00+00:00,97.0,96,97,5772,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-10 22:31:00+00:00,97.0,96,97,100,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-10 23:49:00+00:00,97.0,96,97,100,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-11 01:02:00+00:00,97.0,96,97,120,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-11 03:26:00+00:00,97.0,96,97,50,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-11 03:43:00+00:00,96.0,96,97,3,96.0,96.0,96.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-11 04:16:00+00:00,96.0,96,97,20,96.0,96.0,96.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-11 04:36:00+00:00,97.0,96,97,145,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-11 04:46:00+00:00,97.0,96,97,5000,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-11 04:47:00+00:00,97.0,96,97,3000,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-11 05:24:00+00:00,96.0,96,97,271,96.0,96.0,96.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-11 05:31:00+00:00,97.0,96,97,2578,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-11 14:00:00+00:00,96.0,96,97,517,96.0,96.0,96.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-11 15:15:00+00:00,97.0,96,97,50,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-11 15:31:00+00:00,96.0,96,97,1000,96.0,96.0,96.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-11 15:32:00+00:00,97.0,96,97,3507,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-11 17:37:00+00:00,96.0,96,97,52,96.0,96.0,96.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-11 18:19:00+00:00,97.0,96,97,14000,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-11 18:43:00+00:00,96.0,96,97,89,96.0,96.0,96.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-11 19:10:00+00:00,97.0,96,97,1000,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-11 20:18:00+00:00,96.0,96,97,5,96.0,96.0,96.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-11 20:47:00+00:00,97.0,96,97,100000,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-11 21:06:00+00:00,97.0,96,97,100000,97.0,97.0,97.0,96,96,96,97,97,97,,POPVOTEMOV-24-R-B-1.5
2024-12-11 21:10:00+00:00,97.0,96,98,107559,97.0,97.0,97.0,96,96,96,97,98,97,,POPVOTEMOV-24-R-B-1.5
2024-12-11 21:11:00+00:00,,97,98,0,,,,96,97,96,98,98,98,,POPVOTEMOV-24-R-B-1.5
2024-12-11 21:39:00+00:00,98.0,97,98,36,98.0,98.0,98.0,97,97,97,98,98,98,,POPVOTEMOV-24-R-B-1.5
2024-12-11 21:43:00+00:00,98.0,97,98,50000,98.0,98.0,98.0,97,97,97,98,98,98,,POPVOTEMOV-24-R-B-1.5
