datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2024-12-06 19:52:00+00:00,99.0,99,100,1802,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 20:00:00+00:00,99.0,99,100,51,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 20:19:00+00:00,99.0,99,100,181,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 20:22:00+00:00,99.0,99,100,209,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 20:24:00+00:00,99.0,99,100,361,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 20:34:00+00:00,99.0,99,100,187,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 20:47:00+00:00,99.0,99,100,791,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 20:58:00+00:00,99.0,99,100,1387,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 21:04:00+00:00,99.0,99,100,54,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 21:05:00+00:00,99.0,99,100,256,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 21:06:00+00:00,99.0,99,100,862,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 21:07:00+00:00,99.0,99,100,2034,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 21:11:00+00:00,99.0,99,100,96,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 21:12:00+00:00,99.0,99,100,443,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 21:20:00+00:00,99.0,99,100,1110,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 21:21:00+00:00,99.0,99,100,17,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 21:24:00+00:00,99.0,99,100,3,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 21:35:00+00:00,99.0,99,100,8,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 21:43:00+00:00,99.0,99,100,8500,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 21:44:00+00:00,99.0,99,100,178,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 21:50:00+00:00,99.0,99,100,2500,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 21:52:00+00:00,99.0,99,100,163,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 21:53:00+00:00,99.0,99,100,208,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 22:14:00+00:00,99.0,99,100,1720,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 22:22:00+00:00,99.0,99,100,163,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 22:31:00+00:00,99.0,99,100,1151,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 22:34:00+00:00,99.0,99,100,115,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 22:42:00+00:00,99.0,99,100,137,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 22:56:00+00:00,99.0,99,100,30,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 23:00:00+00:00,99.0,99,100,6915,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 23:12:00+00:00,99.0,99,100,96,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 23:23:00+00:00,99.0,99,100,256,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 23:27:00+00:00,99.0,99,100,36,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 23:37:00+00:00,99.0,99,100,254,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 23:38:00+00:00,99.0,99,100,86,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 23:43:00+00:00,99.0,99,100,74,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-06 23:53:00+00:00,99.0,99,100,125,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 00:07:00+00:00,99.0,99,100,862,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 00:09:00+00:00,99.0,99,100,43,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 00:12:00+00:00,99.0,99,100,105,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 00:17:00+00:00,99.0,99,100,324,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 00:18:00+00:00,99.0,99,100,210,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 00:20:00+00:00,99.0,99,100,1454,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 00:32:00+00:00,99.0,99,100,107,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 00:51:00+00:00,99.0,99,100,607,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 00:58:00+00:00,99.0,99,100,222,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 01:25:00+00:00,99.0,99,100,31,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 01:29:00+00:00,99.0,99,100,769,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 01:33:00+00:00,99.0,99,100,254,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 01:40:00+00:00,99.0,99,100,101,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 01:48:00+00:00,99.0,99,100,185,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 01:58:00+00:00,99.0,99,100,480,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 02:03:00+00:00,99.0,99,100,36363,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 02:10:00+00:00,99.0,99,100,177,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 02:11:00+00:00,99.0,99,100,5,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 02:12:00+00:00,99.0,99,100,1688,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 02:17:00+00:00,99.0,99,100,621,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 02:25:00+00:00,99.0,99,100,1749,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 02:29:00+00:00,99.0,99,100,847,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 02:38:00+00:00,99.0,99,100,3417,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 03:18:00+00:00,99.0,99,100,2000,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 03:25:00+00:00,99.0,99,100,254,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 03:33:00+00:00,99.0,99,100,283,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 03:36:00+00:00,99.0,99,100,37,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 03:53:00+00:00,99.0,99,100,1250,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 04:07:00+00:00,99.0,99,100,926,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 04:13:00+00:00,99.0,99,100,10,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 04:19:00+00:00,99.0,99,100,194,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 04:20:00+00:00,99.0,99,100,2,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 04:57:00+00:00,99.0,99,100,335,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 05:36:00+00:00,99.0,99,100,676,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 05:40:00+00:00,99.0,99,100,158,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 05:50:00+00:00,99.0,99,100,90,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 05:54:00+00:00,99.0,99,100,593,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 05:58:00+00:00,99.0,99,100,17,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 06:03:00+00:00,99.0,99,100,15,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 06:24:00+00:00,99.0,99,100,148,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 06:29:00+00:00,99.0,99,100,454,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 06:54:00+00:00,99.0,99,100,1851,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 07:40:00+00:00,99.0,99,100,172,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 13:41:00+00:00,99.0,99,100,1642,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 13:47:00+00:00,99.0,99,100,344,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 13:57:00+00:00,99.0,99,100,526,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 14:05:00+00:00,99.0,99,100,263,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 14:23:00+00:00,99.0,99,100,204,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 14:32:00+00:00,99.0,99,100,43,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 14:37:00+00:00,99.0,99,100,2636,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 14:38:00+00:00,99.0,99,100,403,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 15:10:00+00:00,99.0,99,100,587,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 15:16:00+00:00,99.0,99,100,77,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 15:28:00+00:00,99.0,99,100,132,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 15:30:00+00:00,99.0,99,100,166,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 15:39:00+00:00,99.0,99,100,704,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
2024-12-07 15:40:00+00:00,99.0,99,100,110,99.0,99.0,99.0,99,99,99,100,100,100,,PRES-2024-DJT
