datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2024-12-06 20:13:00+00:00,1.0,0,1,616,1.0,1.0,1.0,0,0,0,1,1,1,,PRES-2024-KH
2024-12-06 20:33:00+00:00,1.0,0,1,178,1.0,1.0,1.0,0,0,0,1,1,1,,PRES-2024-KH
2024-12-06 21:44:00+00:00,1.0,0,1,8209,1.0,1.0,1.0,0,0,0,1,1,1,,PRES-2024-KH
2024-12-06 21:50:00+00:00,1.0,0,1,2500,1.0,1.0,1.0,0,0,0,1,1,1,,PRES-2024-KH
2024-12-06 21:54:00+00:00,1.0,0,1,467,1.0,1.0,1.0,0,0,0,1,1,1,,PRES-2024-KH
2024-12-06 23:14:00+00:00,1.0,0,1,24948,1.0,1.0,1.0,0,0,0,1,1,1,,PRES-2024-KH
2024-12-06 23:15:00+00:00,1.0,0,1,1616,1.0,1.0,1.0,0,0,0,1,1,1,,PRES-2024-KH
2024-12-06 23:20:00+00:00,1.0,0,1,9457,1.0,1.0,1.0,0,0,0,1,1,1,,PRES-2024-KH
2024-12-06 23:26:00+00:00,1.0,0,1,613,1.0,1.0,1.0,0,0,0,1,1,1,,PRES-2024-KH
2024-12-07 00:01:00+00:00,1.0,0,1,9351,1.0,1.0,1.0,0,0,0,1,1,1,,PRES-2024-KH
2024-12-07 00:29:00+00:00,1.0,0,1,46759,1.0,1.0,1.0,0,0,0,1,1,1,,PRES-2024-KH
2024-12-07 04:20:00+00:00,1.0,0,1,2,1.0,1.0,1.0,0,0,0,1,1,1,,PRES-2024-KH
2024-12-07 07:42:00+00:00,1.0,0,1,9351,1.0,1.0,1.0,0,0,0,1,1,1,,PRES-2024-KH
2024-12-07 15:28:00+00:00,1.0,0,1,34,1.0,1.0,1.0,0,0,0,1,1,1,,PRES-2024-KH
2024-12-07 16:28:00+00:00,1.0,0,1,193958,1.0,1.0,1.0,0,0,0,1,1,1,,PRES-2024-KH
2024-12-07 18:05:00+00:00,1.0,0,1,561,1.0,1.0,1.0,0,0,0,1,1,1,,PRES-2024-KH
2024-12-07 18:30:00+00:00,1.0,0,1,10,1.0,1.0,1.0,0,0,0,1,1,1,,PRES-2024-KH
2024-12-07 19:18:00+00:00,1.0,0,1,155,1.0,1.0,1.0,0,0,0,1,1,1,,PRES-2024-KH
2024-12-07 20:44:00+00:00,1.0,0,1,72976,1.0,1.0,1.0,0,0,0,1,1,1,,PRES-2024-KH
2024-12-07 21:46:00+00:00,1.0,0,1,30299,1.0,1.0,1.0,0,0,0,1,1,1,,PRES-2024-KH
2024-12-08 02:22:00+00:00,1.0,0,1,1,1.0,1.0,1.0,0,0,0,1,1,1,,PRES-2024-KH
2024-12-08 03:29:00+00:00,1.0,0,1,9351,1.0,1.0,1.0,0,0,0,1,1,1,,PRES-2024-KH
