datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-11-03 19:56:00+00:00,,25,100,0,,,,4,25,4,100,100,100,,KXATPMATCH-25NOV04CAZNOR-NOR
2025-11-03 20:29:00+00:00,,25,98,0,,,,25,25,25,100,100,98,,KXATPMATCH-25NOV04CAZNOR-NOR
2025-11-03 20:30:00+00:00,,25,82,0,,,,25,25,25,98,98,82,,KXATPMATCH-25NOV04CAZNOR-NOR
2025-11-03 20:44:00+00:00,,25,82,0,,,,25,25,25,82,82,82,,KXATPMATCH-25NOV04CAZNOR-NOR
2025-11-03 21:04:00+00:00,,25,82,0,,,,25,25,25,82,82,82,,KXATPMATCH-25NOV04CAZNOR-NOR
2025-11-03 21:36:00+00:00,,25,82,0,,,,25,25,25,82,82,82,,KXATPMATCH-25NOV04CAZNOR-NOR
2025-11-03 22:38:00+00:00,,25,82,0,,,,25,25,25,82,82,82,,KXATPMATCH-25NOV04CAZNOR-NOR
2025-11-03 23:13:00+00:00,,55,56,0,,,,25,55,25,82,82,56,,KXATPMATCH-25NOV04CAZNOR-NOR
2025-11-03 23:16:00+00:00,,55,56,0,,,,55,55,55,56,56,56,,KXATPMATCH-25NOV04CAZNOR-NOR
2025-11-03 23:21:00+00:00,,55,56,0,,,,55,55,55,56,56,56,,KXATPMATCH-25NOV04CAZNOR-NOR
2025-11-03 23:23:00+00:00,,55,56,0,,,,55,55,55,56,56,56,,KXATPMATCH-25NOV04CAZNOR-NOR
2025-11-03 23:27:00+00:00,,55,56,0,,,,55,55,55,56,56,56,,KXATPMATCH-25NOV04CAZNOR-NOR
2025-11-03 23:36:00+00:00,56.0,55,56,17,56.0,56.0,56.0,55,55,55,56,56,56,,KXATPMATCH-25NOV04CAZNOR-NOR
2025-11-03 23:46:00+00:00,56.0,55,56,43,56.0,56.0,56.0,55,55,55,56,56,56,,KXATPMATCH-25NOV04CAZNOR-NOR
2025-11-03 23:55:00+00:00,56.0,55,56,216,56.0,56.0,56.0,55,55,54,56,56,56,,KXATPMATCH-25NOV04CAZNOR-NOR
2025-11-03 23:56:00+00:00,,55,56,0,,,,55,55,54,56,56,56,,KXATPMATCH-25NOV04CAZNOR-NOR
2025-11-04 00:12:00+00:00,,55,56,0,,,,55,55,54,56,56,56,,KXATPMATCH-25NOV04CAZNOR-NOR
2025-11-04 00:13:00+00:00,,55,56,0,,,,55,55,55,56,57,56,,KXATPMATCH-25NOV04CAZNOR-NOR
2025-11-04 00:14:00+00:00,56.0,55,56,1,56.0,56.0,56.0,55,55,55,56,56,56,,KXATPMATCH-25NOV04CAZNOR-NOR
2025-11-04 00:15:00+00:00,,55,56,0,,,,55,55,25,56,59,56,,KXATPMATCH-25NOV04CAZNOR-NOR
2025-11-04 00:20:00+00:00,56.0,55,56,100,56.0,56.0,56.0,55,55,55,56,56,56,,KXATPMATCH-25NOV04CAZNOR-NOR
2025-11-04 00:22:00+00:00,,55,56,0,,,,55,55,55,56,56,56,,KXATPMATCH-25NOV04CAZNOR-NOR
2025-11-04 00:59:00+00:00,,55,56,0,,,,55,55,55,56,56,56,,KXATPMATCH-25NOV04CAZNOR-NOR
2025-11-04 01:00:00+00:00,,55,56,0,,,,55,55,55,56,56,56,,KXATPMATCH-25NOV04CAZNOR-NOR
2025-11-04 01:12:00+00:00,,55,56,0,,,,55,55,54,56,56,56,,KXATPMATCH-25NOV04CAZNOR-NOR
2025-11-04 01:13:00+00:00,56.0,55,56,34,56.0,56.0,56.0,55,55,55,56,57,56,,KXATPMATCH-25NOV04CAZNOR-NOR
2025-11-04 01:14:00+00:00,,55,56,0,,,,55,55,55,56,56,56,,KXATPMATCH-25NOV04CAZNOR-NOR
2025-11-04 01:18:00+00:00,56.0,55,56,25,56.0,56.0,56.0,55,55,54,56,56,56,,KXATPMATCH-25NOV04CAZNOR-NOR
2025-11-04 01:20:00+00:00,,55,56,0,,,,55,55,55,56,56,56,,KXATPMATCH-25NOV04CAZNOR-NOR
2025-11-04 01:21:00+00:00,,55,56,0,,,,55,55,55,56,56,56,,KXATPMATCH-25NOV04CAZNOR-NOR
2025-11-04 01:22:00+00:00,,55,56,0,,,,55,55,55,56,56,56,,KXATPMATCH-25NOV04CAZNOR-NOR
2025-11-04 01:23:00+00:00,,55,56,0,,,,55,55,55,56,56,56,,KXATPMATCH-25NOV04CAZNOR-NOR
2025-11-04 01:25:00+00:00,,55,56,0,,,,55,55,55,56,56,56,,KXATPMATCH-25NOV04CAZNOR-NOR
