datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-11-06 14:47:00+00:00,,25,99,0,,,,1,25,1,100,100,99,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 14:51:00+00:00,,25,98,0,,,,25,25,25,99,99,98,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 15:00:00+00:00,,25,98,0,,,,25,25,25,98,98,98,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 15:20:00+00:00,,25,94,0,,,,25,25,25,98,98,94,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 15:36:00+00:00,,26,94,0,,,,25,26,25,94,94,94,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 15:50:00+00:00,,57,61,0,,,,26,57,26,94,94,61,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 15:51:00+00:00,,57,61,0,,,,57,57,57,61,61,61,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 15:53:00+00:00,,57,61,0,,,,57,57,57,61,61,61,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 15:54:00+00:00,,57,60,0,,,,57,57,57,61,61,60,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 16:00:00+00:00,,55,58,0,,,,57,57,55,60,60,58,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 16:01:00+00:00,,26,77,0,,,,55,55,26,58,77,58,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 16:09:00+00:00,,26,77,0,,,,26,26,26,77,77,77,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 16:12:00+00:00,,53,57,0,,,,26,53,26,77,77,55,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 16:18:00+00:00,,54,57,0,,,,53,54,53,57,57,57,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 16:28:00+00:00,,54,57,0,,,,54,54,54,57,57,57,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 16:31:00+00:00,,54,57,0,,,,54,54,54,57,57,57,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 16:32:00+00:00,,54,57,0,,,,54,54,54,57,57,57,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 16:39:00+00:00,,54,57,0,,,,54,54,54,57,57,57,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 16:53:00+00:00,57.0,54,57,17,57.0,57.0,57.0,54,54,54,57,57,57,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 16:55:00+00:00,57.0,53,57,85,57.0,57.0,57.0,54,54,53,57,57,57,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 17:01:00+00:00,,55,57,0,,,,53,55,53,57,57,57,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 17:02:00+00:00,,55,58,0,,,,55,55,55,57,58,57,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 17:10:00+00:00,,55,58,0,,,,55,55,55,58,58,58,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 17:25:00+00:00,58.0,55,58,11,58.0,58.0,58.0,55,55,55,58,58,58,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 17:26:00+00:00,57.0,54,57,25,57.0,57.0,57.0,55,55,54,58,58,57,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 17:32:00+00:00,57.0,54,57,3,57.0,57.0,57.0,54,54,54,57,57,57,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 17:49:00+00:00,,54,57,0,,,,54,54,54,57,57,57,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 17:51:00+00:00,57.0,54,57,76,57.0,57.0,57.0,54,54,54,57,57,57,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 17:56:00+00:00,,54,57,0,,,,54,54,54,57,57,57,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 17:58:00+00:00,,54,57,0,,,,54,54,54,57,57,57,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 17:59:00+00:00,57.0,54,57,42,57.0,57.0,57.0,54,54,54,57,57,57,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 18:00:00+00:00,,54,57,0,,,,54,54,54,57,57,57,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 18:02:00+00:00,,55,57,0,,,,54,55,54,57,57,57,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 18:06:00+00:00,,55,57,0,,,,55,55,55,57,57,57,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 18:07:00+00:00,,55,57,0,,,,55,55,55,57,57,57,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 18:08:00+00:00,,55,57,0,,,,55,55,55,57,57,57,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 18:13:00+00:00,,55,56,0,,,,55,55,55,57,57,56,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 18:14:00+00:00,,55,56,0,,,,55,55,55,56,56,56,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 18:17:00+00:00,,55,56,0,,,,55,55,55,56,56,56,,KXATPMATCH-25NOV07KORMUS-MUS
2025-11-06 18:19:00+00:00,56.0,55,56,5,56.0,56.0,56.0,55,55,55,56,57,56,,KXATPMATCH-25NOV07KORMUS-MUS
