datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-11-06 18:16:00+00:00,,25,100,0,,,,4,25,4,100,100,100,,KXATPMATCH-25NOV07NORSON-NOR
2025-11-06 18:17:00+00:00,,25,100,0,,,,25,25,25,100,100,100,,KXATPMATCH-25NOV07NORSON-NOR
2025-11-06 18:34:00+00:00,,25,95,0,,,,25,25,25,100,100,95,,KXATPMATCH-25NOV07NORSON-NOR
2025-11-06 19:13:00+00:00,,56,57,0,,,,25,56,25,95,95,57,,KXATPMATCH-25NOV07NORSON-NOR
2025-11-06 19:14:00+00:00,,56,57,0,,,,56,56,56,57,57,57,,KXATPMATCH-25NOV07NORSON-NOR
2025-11-06 19:16:00+00:00,,56,57,0,,,,56,56,56,57,57,57,,KXATPMATCH-25NOV07NORSON-NOR
2025-11-06 19:28:00+00:00,,56,57,0,,,,56,56,56,57,57,57,,KXATPMATCH-25NOV07NORSON-NOR
2025-11-06 19:31:00+00:00,,56,57,0,,,,56,56,56,57,57,57,,KXATPMATCH-25NOV07NORSON-NOR
2025-11-06 19:32:00+00:00,57.0,56,57,8,57.0,57.0,57.0,56,56,56,57,57,57,,KXATPMATCH-25NOV07NORSON-NOR
2025-11-06 19:43:00+00:00,,56,57,0,,,,56,56,56,57,57,57,,KXATPMATCH-25NOV07NORSON-NOR
2025-11-06 19:49:00+00:00,,56,57,0,,,,56,56,55,57,57,57,,KXATPMATCH-25NOV07NORSON-NOR
2025-11-06 19:52:00+00:00,,56,57,0,,,,56,56,56,57,57,57,,KXATPMATCH-25NOV07NORSON-NOR
2025-11-06 19:55:00+00:00,,56,57,0,,,,56,56,56,57,57,57,,KXATPMATCH-25NOV07NORSON-NOR
2025-11-06 19:56:00+00:00,57.0,56,57,68,57.0,57.0,57.0,56,56,56,57,57,57,,KXATPMATCH-25NOV07NORSON-NOR
2025-11-06 19:59:00+00:00,57.0,56,57,17,57.0,57.0,57.0,56,56,56,57,57,57,,KXATPMATCH-25NOV07NORSON-NOR
2025-11-06 20:04:00+00:00,57.0,56,57,70,57.0,57.0,57.0,56,56,55,57,57,57,,KXATPMATCH-25NOV07NORSON-NOR
2025-11-06 20:05:00+00:00,,56,57,0,,,,56,56,56,57,57,57,,KXATPMATCH-25NOV07NORSON-NOR
2025-11-06 20:08:00+00:00,57.0,56,57,170,57.0,57.0,57.0,56,56,56,57,57,57,,KXATPMATCH-25NOV07NORSON-NOR
2025-11-06 20:13:00+00:00,57.0,56,57,91,57.0,57.0,57.0,56,56,55,57,57,57,,KXATPMATCH-25NOV07NORSON-NOR
2025-11-06 20:15:00+00:00,57.0,56,57,8,57.0,57.0,57.0,56,56,56,57,58,57,,KXATPMATCH-25NOV07NORSON-NOR
2025-11-06 20:16:00+00:00,56.0,56,57,8,56.0,56.0,56.0,56,56,56,57,58,57,,KXATPMATCH-25NOV07NORSON-NOR
2025-11-06 20:21:00+00:00,,56,57,0,,,,56,56,56,57,57,57,,KXATPMATCH-25NOV07NORSON-NOR
2025-11-06 20:22:00+00:00,,56,57,0,,,,56,56,56,57,57,57,,KXATPMATCH-25NOV07NORSON-NOR
2025-11-06 20:25:00+00:00,57.0,56,57,7,57.0,57.0,57.0,56,56,55,57,57,57,,KXATPMATCH-25NOV07NORSON-NOR
2025-11-06 20:26:00+00:00,,56,57,0,,,,56,56,56,57,57,57,,KXATPMATCH-25NOV07NORSON-NOR
2025-11-06 20:27:00+00:00,57.0,56,57,17,57.0,57.0,57.0,56,56,56,57,57,57,,KXATPMATCH-25NOV07NORSON-NOR
2025-11-06 20:31:00+00:00,,56,57,0,,,,56,56,56,57,57,57,,KXATPMATCH-25NOV07NORSON-NOR
2025-11-06 20:32:00+00:00,57.0,56,57,20,57.0,57.0,57.0,56,56,56,57,57,57,,KXATPMATCH-25NOV07NORSON-NOR
2025-11-06 20:33:00+00:00,,56,57,0,,,,56,56,56,57,58,57,,KXATPMATCH-25NOV07NORSON-NOR
