datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-11-07 19:47:00+00:00,,25,99,0,,,,1,25,1,100,100,99,,KXATPMATCH-25NOV08DJOMUS-DJO
2025-11-07 19:48:00+00:00,,25,99,0,,,,25,25,25,99,99,99,,KXATPMATCH-25NOV08DJOMUS-DJO
2025-11-07 19:51:00+00:00,,25,98,0,,,,25,25,25,99,99,98,,KXATPMATCH-25NOV08DJOMUS-DJO
2025-11-07 19:55:00+00:00,,26,98,0,,,,25,26,25,98,98,98,,KXATPMATCH-25NOV08DJOMUS-DJO
2025-11-07 19:56:00+00:00,,26,81,0,,,,26,26,26,98,98,81,,KXATPMATCH-25NOV08DJOMUS-DJO
2025-11-07 19:58:00+00:00,,33,81,0,,,,26,33,26,81,81,81,,KXATPMATCH-25NOV08DJOMUS-DJO
2025-11-07 19:59:00+00:00,,33,81,0,,,,33,33,33,81,81,81,,KXATPMATCH-25NOV08DJOMUS-DJO
2025-11-07 20:01:00+00:00,,34,81,0,,,,33,34,33,81,81,81,,KXATPMATCH-25NOV08DJOMUS-DJO
2025-11-07 20:02:00+00:00,,34,76,0,,,,34,34,34,81,81,76,,KXATPMATCH-25NOV08DJOMUS-DJO
2025-11-07 20:03:00+00:00,,34,91,0,,,,34,34,34,76,92,76,,KXATPMATCH-25NOV08DJOMUS-DJO
2025-11-07 20:06:00+00:00,91.0,34,91,5,91.0,91.0,91.0,34,34,34,91,92,77,,KXATPMATCH-25NOV08DJOMUS-DJO
2025-11-07 20:10:00+00:00,,64,67,0,,,,34,65,34,91,91,67,,KXATPMATCH-25NOV08DJOMUS-DJO
2025-11-07 20:11:00+00:00,67.0,64,67,5,67.0,67.0,67.0,64,64,64,67,67,67,,KXATPMATCH-25NOV08DJOMUS-DJO
2025-11-07 20:12:00+00:00,67.0,64,67,36,67.0,67.0,67.0,64,64,64,67,67,67,,KXATPMATCH-25NOV08DJOMUS-DJO
2025-11-07 20:13:00+00:00,66.0,63,66,22,66.0,66.0,66.0,64,64,63,67,67,66,,KXATPMATCH-25NOV08DJOMUS-DJO
2025-11-07 20:14:00+00:00,,63,67,0,,,,63,63,63,66,67,66,,KXATPMATCH-25NOV08DJOMUS-DJO
